EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VEZPT20,和平東路三段234號前,往東,2017-03-03,00:00:00,2.0,271.0,303.2143,24.0,247.0,0.0,31.527712,2.015,96.215
VEZPT20,和平東路三段234號前,往東,2017-03-03,01:00:00,2.0,164.0,181.05263,16.0,148.0,0.0,34.305428,1.15,96.2
VEZPT20,和平東路三段234號前,往東,2017-03-03,02:00:00,2.0,95.0,98.0,6.0,89.0,0.0,34.832737,0.415,95.125
VEZPT20,和平東路三段234號前,往東,2017-03-03,03:00:00,2.0,73.0,74.5,3.0,70.0,0.0,35.286987,0.31,86.425
VEZPT20,和平東路三段234號前,往東,2017-03-03,04:00:00,2.0,61.0,61.5,1.0,60.0,0.0,30.525902,0.42499998,72.385
VEZPT20,和平東路三段234號前,往東,2017-03-03,05:00:00,2.0,59.0,59.0,0.0,59.0,0.0,35.471523,0.24,53.125
VEZPT20,和平東路三段234號前,往東,2017-03-03,06:00:00,2.0,88.0,89.5,3.0,85.0,0.0,33.205452,0.435,71.94
VEZPT20,和平東路三段234號前,往東,2017-03-03,07:00:00,2.0,159.0,175.5,33.0,126.0,0.0,36.280754,1.25,117.03
VEZPT20,和平東路三段234號前,往東,2017-03-03,08:00:00,2.0,261.0,282.0,42.0,219.0,0.0,35.38333,1.9,119.325
VEZPT20,和平東路三段234號前,往東,2017-03-03,09:00:00,2.0,286.0,310.5,49.0,237.0,0.0,35.67692,2.24,103.395004
VEZPT20,和平東路三段234號前,往東,2017-03-03,10:00:00,2.0,345.0,383.0,76.0,269.0,0.0,36.757477,3.49,112.399994
VEZPT20,和平東路三段234號前,往東,2017-03-03,11:00:00,2.0,330.0,364.5,69.0,261.0,0.0,36.947998,3.525,116.765
VEZPT20,和平東路三段234號前,往東,2017-03-03,12:00:00,2.0,238.0,279.0,82.0,156.0,0.0,39.782684,3.385,103.365
VEZPT20,和平東路三段234號前,往東,2017-03-03,13:00:00,2.0,332.0,354.5,45.0,287.0,0.0,34.07943,2.525,126.17999
VEZPT20,和平東路三段234號前,往東,2017-03-03,14:00:00,2.0,300.0,320.5,41.0,259.0,0.0,34.5848,2.15,127.535
VEZPT20,和平東路三段234號前,往東,2017-03-03,15:00:00,2.0,368.0,392.0339,35.0,333.0,0.0,33.947445,2.71,126.895
VEZPT20,和平東路三段234號前,往東,2017-03-03,16:00:00,2.0,321.0,338.5,35.0,286.0,0.0,33.57271,2.39,135.79001
