EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,00:00:00,2.0,352.0,373.6842,6.0,346.0,0.0,51.87722,1.48,190.38501
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,01:00:00,2.0,245.0,262.5,0.0,245.0,0.0,54.70196,0.92,216.51001
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,02:00:00,2.0,165.0,165.5,1.0,164.0,0.0,54.156666,0.535,238.83499
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,03:00:00,2.0,118.0,119.0,2.0,116.0,0.0,56.28729,0.29,242.91501
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,04:00:00,2.0,128.0,129.0,2.0,126.0,0.0,55.887814,0.36,243.08499
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,05:00:00,2.0,97.0,97.0,0.0,97.0,0.0,54.111443,0.235,243.75
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,06:00:00,2.0,103.0,104.5,3.0,100.0,0.0,53.911938,0.325,245.16501
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,07:00:00,2.0,271.0,277.0,12.0,259.0,0.0,51.37572,1.185,211.975
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,08:00:00,2.0,905.0,918.5,27.0,878.0,0.0,45.236145,4.73,131.955
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,09:00:00,2.0,1046.0,1065.5,39.0,1007.0,0.0,41.4983,6.48,125.9
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,10:00:00,2.0,1001.0,1030.0,58.0,943.0,0.0,42.46188,6.2650003,116.3
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,11:00:00,2.0,919.0,936.0,34.0,885.0,0.0,46.25382,4.75,118.465
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,12:00:00,2.0,929.0,949.0,40.0,889.0,0.0,45.959213,4.925,122.895004
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,13:00:00,2.0,869.0,888.0,38.0,831.0,0.0,43.073868,5.08,133.205
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,14:00:00,2.0,847.0,869.0,44.0,803.0,0.0,44.276012,4.8149996,132.375
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,15:00:00,2.0,972.0,992.5,41.0,931.0,0.0,45.179855,5.29,120.295
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,16:00:00,2.0,945.0,969.5,49.0,896.0,0.0,45.136192,5.215,121.295
VHKQP20,信義五段-莊敬路往東,往東,2017-03-03,17:00:00,2.0,916.0,942.0,52.0,864.0,0.0,44.032032,5.355,123.06
