EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9R760,松壽-市府 往西,往東,2017-03-03,00:00:00,2.0,169.0,188.42105,20.0,149.0,0.0,45.72562,0.96,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,01:00:00,2.0,107.0,114.64285,0.0,107.0,0.0,48.52402,0.15,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,02:00:00,2.0,78.0,78.5,1.0,77.0,0.0,48.987053,0.085,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,03:00:00,2.0,69.0,70.5,3.0,66.0,0.0,48.403046,0.049999997,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,04:00:00,2.0,75.0,79.0,8.0,67.0,0.0,45.655197,0.099999994,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,05:00:00,2.0,59.0,60.0,2.0,57.0,0.0,49.117794,0.08,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,06:00:00,2.0,75.0,83.0,16.0,59.0,0.0,48.908,0.37,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,07:00:00,2.0,189.0,220.5,63.0,126.0,0.0,37.752857,1.8499999,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,08:00:00,2.0,498.0,547.5,99.0,399.0,0.0,38.551384,5.035,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,09:00:00,2.0,650.0,715.0,127.0,510.0,0.0,36.32953,7.59,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,10:00:00,2.0,610.0,679.1271,128.0,482.0,0.0,36.564064,6.965,-0.01
VI9R760,松壽-市府 往西,往東,2017-03-03,11:00:00,2.0,551.0,606.0,114.0,435.0,2.0,34.461,6.1049995,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,12:00:00,2.0,565.0,606.5,83.0,476.0,0.0,37.97626,5.295,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,13:00:00,2.0,488.0,530.80505,81.0,405.0,2.0,38.740265,4.3450003,-0.01
VI9R760,松壽-市府 往西,往東,2017-03-03,14:00:00,2.0,580.0,623.0,86.0,494.0,0.0,35.973915,6.13,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,15:00:00,2.0,689.0,739.0,102.0,586.0,1.0,34.988464,6.3650002,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,16:00:00,2.0,645.0,704.5,119.0,526.0,0.0,37.10566,7.8650002,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,17:00:00,2.0,671.0,722.0,102.0,569.0,0.0,36.37213,6.66,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,18:00:00,2.0,696.0,765.0,138.0,558.0,0.0,33.068047,9.33,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,19:00:00,2.0,731.0,792.0,122.0,609.0,0.0,32.29635,8.77,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,20:00:00,2.0,565.0,618.0,106.0,459.0,0.0,36.399326,7.5950003,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,21:00:00,2.0,544.0,586.0,84.0,460.0,0.0,36.327206,4.9,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,22:00:00,2.0,594.0,635.0847,65.0,527.0,2.0,40.433296,5.315,0.0
VI9R760,松壽-市府 往西,往東,2017-03-03,23:00:00,2.0,520.0,556.0,72.0,448.0,0.0,42.059998,4.19,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,00:00:00,2.0,295.0,308.0,26.0,269.0,0.0,44.773224,1.685,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,01:00:00,2.0,197.0,198.5,3.0,194.0,0.0,48.64751,0.34,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,02:00:00,2.0,159.0,160.0,2.0,157.0,0.0,47.179626,0.225,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,03:00:00,2.0,143.0,144.0,2.0,141.0,0.0,47.03462,0.21,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,04:00:00,2.0,137.0,138.0,2.0,135.0,0.0,48.826057,0.24000001,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,05:00:00,2.0,116.0,117.5,3.0,113.0,0.0,48.308624,0.155,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,06:00:00,2.0,96.0,99.5,7.0,89.0,0.0,41.46719,0.275,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,07:00:00,2.0,129.0,145.5,33.0,96.0,0.0,38.53411,0.95,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,08:00:00,2.0,204.0,228.5,51.0,152.0,1.0,38.772797,1.8599999,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,09:00:00,2.0,279.0,302.0,46.0,233.0,0.0,42.812115,2.275,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,10:00:00,2.0,333.0,369.0,72.0,261.0,0.0,43.33021,2.475,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,11:00:00,2.0,372.0,399.0,54.0,318.0,0.0,40.451397,2.74,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,12:00:00,2.0,431.0,466.0,70.0,361.0,0.0,39.881462,3.51,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,13:00:00,2.0,438.0,477.5,79.0,359.0,0.0,40.990818,3.1799998,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,14:00:00,2.0,466.0,504.5,79.0,386.0,1.0,39.076565,4.175,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,15:00:00,2.0,550.0,596.5,93.0,457.0,0.0,35.502457,5.85,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,16:00:00,2.0,559.0,600.5,85.0,473.0,1.0,34.86984,6.2650003,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,17:00:00,2.0,565.0,604.5,79.0,486.0,0.0,39.14168,5.6,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,18:00:00,2.0,712.0,776.5,129.0,583.0,0.0,37.36232,7.35,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,19:00:00,2.0,645.0,679.0,70.0,574.0,1.0,38.513813,5.1800003,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,20:00:00,2.0,504.0,538.5,69.0,435.0,0.0,37.570396,4.59,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,21:00:00,2.0,489.0,520.5,67.0,420.0,2.0,38.87873,4.4700003,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,22:00:00,2.0,587.0,640.34485,66.0,520.0,1.0,39.307087,5.48,0.0
VI9R760,松壽-市府 往西,往東,2017-03-04,23:00:00,2.0,548.0,575.0,54.0,494.0,0.0,40.842976,4.575,0.0
