EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIWR760,松高路-興雅路 往西,往東,2017-03-03,00:00:00,3.0,1171.0,1453.1578,419.0,752.0,0.0,42.899258,7.56,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,01:00:00,3.0,674.0,827.8947,225.0,449.0,0.0,43.82614,4.0099998,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,02:00:00,3.0,265.0,320.17242,89.0,176.0,0.0,45.211357,1.3266667,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,03:00:00,3.0,277.0,323.0,92.0,185.0,0.0,47.720867,1.2266668,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,04:00:00,3.0,472.0,546.5,149.0,323.0,0.0,47.400166,2.2766666,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,05:00:00,3.0,734.0,863.0,258.0,476.0,0.0,43.596844,4.2400002,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,06:00:00,3.0,1240.0,1471.0,462.0,778.0,0.0,44.218487,7.4066663,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,07:00:00,3.0,1661.0,1939.0,556.0,1105.0,0.0,36.05812,12.103333,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,08:00:00,3.0,3471.0,4058.5,1175.0,2296.0,0.0,22.159716,41.99,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,09:00:00,3.0,3850.0,4501.0,1302.0,2548.0,0.0,28.71482,36.936665,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,10:00:00,3.0,3469.0,4057.0,1176.0,2293.0,0.0,35.0754,28.166666,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,11:00:00,3.0,3088.0,3606.5,1037.0,2051.0,0.0,38.94126,22.093332,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,12:00:00,3.0,1884.0,2199.5,631.0,1253.0,0.0,42.95535,11.636666,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,13:00:00,3.0,1493.0,1752.0,518.0,975.0,0.0,44.098747,8.846667,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,14:00:00,3.0,1186.0,1505.8928,439.0,747.0,0.0,43.156197,7.6766663,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,15:00:00,3.0,1349.0,1576.5,455.0,894.0,0.0,44.504223,7.83,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,16:00:00,3.0,1285.0,1509.0,448.0,837.0,0.0,43.60535,7.65,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,17:00:00,3.0,1649.0,1917.0,536.0,1113.0,0.0,42.12049,10.41,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,18:00:00,3.0,3504.0,4097.0,1186.0,2318.0,0.0,31.720041,30.563332,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,19:00:00,3.0,3946.0,4604.5,1317.0,2629.0,0.0,28.67734,37.906666,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,20:00:00,3.0,3877.0,4510.0,1266.0,2611.0,0.0,29.008781,36.54333,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,21:00:00,3.0,3475.0,4072.0,1194.0,2281.0,0.0,29.32482,32.64,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,22:00:00,3.0,3069.0,3590.0,1042.0,2027.0,0.0,31.532162,26.586664,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-03,23:00:00,3.0,1805.0,2102.5,595.0,1210.0,0.0,40.481373,11.62,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-04,00:00:00,3.0,1228.0,1446.5,437.0,791.0,0.0,42.718273,7.5866666,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-04,01:00:00,3.0,697.0,814.5,235.0,462.0,0.0,41.646984,4.1733336,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-04,02:00:00,3.0,253.0,308.7931,91.0,162.0,0.0,45.703278,1.2733334,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-04,03:00:00,3.0,270.0,317.5,95.0,175.0,0.0,47.969337,1.1833333,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-04,04:00:00,3.0,491.0,570.0,158.0,333.0,0.0,46.994377,2.45,0.0
VIWR760,松高路-興雅路 往西,往東,2017-03-04,05:00:00,3.0,689.0,813.0,248.0,441.0,0.0,42.925922,4.02,0.0
