EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJES820,忠孝東-松仁往東,往東,2017-03-03,00:00:00,3.0,430.0,476.3158,45.0,385.0,0.0,48.550446,1.2166667,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,01:00:00,3.0,334.0,372.10526,39.0,295.0,0.0,47.63039,0.8733333,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,02:00:00,3.0,229.0,244.0,30.0,199.0,0.0,45.718517,0.51666665,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,03:00:00,3.0,191.0,206.0,30.0,161.0,0.0,50.394196,0.42333332,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,04:00:00,3.0,170.0,180.0,20.0,150.0,0.0,48.407883,0.33666667,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,05:00:00,3.0,142.0,159.82759,25.0,117.0,0.0,41.03444,0.4,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,06:00:00,3.0,178.0,190.0,24.0,154.0,0.0,44.262417,0.36999997,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,07:00:00,3.0,347.0,370.5,47.0,300.0,0.0,46.134064,0.8766667,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,08:00:00,3.0,957.0,1002.0,90.0,867.0,0.0,41.681286,3.0966666,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,09:00:00,3.0,1060.0,1120.0,120.0,940.0,0.0,40.05049,3.8499997,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,10:00:00,3.0,1086.0,1149.5,127.0,959.0,0.0,38.921078,4.2333336,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,11:00:00,3.0,972.0,1020.0,96.0,876.0,0.0,42.31655,3.4033334,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,12:00:00,3.0,967.0,1024.5,115.0,852.0,0.0,42.017105,3.7600002,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,13:00:00,3.0,906.0,951.5,91.0,815.0,0.0,39.749958,3.4399998,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,14:00:00,3.0,965.0,1016.5,103.0,862.0,0.0,42.182987,3.4733334,0.0
VJES820,忠孝東-松仁往東,往東,2017-03-03,15:00:00,3.0,1037.0,1104.5,135.0,902.0,0.0,39.747185,4.33,0.0
