EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,00:00:00,2.0,8.0,12.631579,8.0,0.0,0.0,0.0,0.07,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,01:00:00,2.0,10.0,13.928571,6.0,4.0,0.0,20.4,0.06,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,02:00:00,2.0,10.0,10.5,1.0,9.0,0.0,33.902996,0.085,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,03:00:00,2.0,1.0,1.0344828,0.0,1.0,0.0,27.0,0.01,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,04:00:00,2.0,1.0,1.5,1.0,0.0,0.0,0.0,0.01,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,05:00:00,2.0,1.0,1.5517242,1.0,0.0,0.0,0.0,0.01,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,06:00:00,2.0,2.0,3.0508473,2.0,0.0,0.0,0.0,0.02,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,07:00:00,2.0,7.0,8.275863,2.0,5.0,0.0,53.0,0.04,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,08:00:00,2.0,22.0,28.5,13.0,9.0,0.0,43.727272,0.2,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,09:00:00,2.0,26.0,37.24138,20.0,6.0,0.0,15.54077,0.23500001,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,10:00:00,2.0,15.0,18.5,7.0,8.0,0.0,8.933333,0.115,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,11:00:00,2.0,30.0,39.827587,17.0,13.0,0.0,14.002,0.19500001,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,12:00:00,2.0,30.0,30.0,0.0,30.0,0.0,29.133,0.2,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,13:00:00,2.0,19.0,19.83051,1.0,18.0,0.0,44.36842,0.135,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,14:00:00,2.0,30.0,35.5,11.0,19.0,0.0,37.2,0.215,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,15:00:00,2.0,27.0,32.068966,8.0,19.0,0.0,47.666668,0.235,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,16:00:00,2.0,20.0,23.5,7.0,13.0,0.0,30.203999,0.16000001,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,17:00:00,2.0,16.0,24.827587,16.0,0.0,0.0,0.12375,0.115,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,18:00:00,2.0,23.0,31.5,17.0,6.0,0.0,4.1730437,0.24000001,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,19:00:00,2.0,63.0,71.89655,13.0,50.0,0.0,9.4607935,0.895,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,20:00:00,2.0,4.0,4.0,0.0,4.0,0.0,14.75,0.04,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,21:00:00,2.0,6.0,6.206897,0.0,6.0,0.0,11.0,0.1,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,22:00:00,2.0,14.0,14.0,0.0,14.0,0.0,16.0,0.18,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-03,23:00:00,2.0,12.0,18.103449,11.0,1.0,0.0,1.3291668,0.11,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,00:00:00,2.0,13.0,19.5,13.0,0.0,0.0,0.0,0.09,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,01:00:00,2.0,10.0,12.413794,4.0,6.0,0.0,22.8,0.085,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,02:00:00,2.0,12.0,14.0,4.0,8.0,0.0,15.5,0.095,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,03:00:00,2.0,4.0,5.6896553,3.0,1.0,0.0,4.7475,0.035,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,04:00:00,2.0,6.0,9.0,6.0,0.0,0.0,0.33333334,0.075,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,05:00:00,2.0,7.0,10.862069,7.0,0.0,0.0,0.0,0.045,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,06:00:00,2.0,3.0,4.6551723,3.0,0.0,0.0,0.0,0.025,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,07:00:00,2.0,5.0,7.2413793,4.0,1.0,0.0,15.6,0.04,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,08:00:00,2.0,7.0,10.0,6.0,1.0,0.0,7.714286,0.060000002,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,09:00:00,2.0,20.0,27.931036,14.0,6.0,0.0,15.9,0.13,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,10:00:00,2.0,18.0,19.5,3.0,15.0,0.0,44.166668,0.115,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,11:00:00,2.0,16.0,23.275864,13.0,3.0,0.0,7.690625,0.12,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,12:00:00,2.0,36.0,39.0,6.0,30.0,0.0,29.030003,0.29999998,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,13:00:00,2.0,20.0,21.206898,1.0,19.0,0.0,25.2,0.175,0.0
VJFQQ60,忠孝東路四段508號前,往東,2017-03-04,14:00:00,2.0,29.0,29.5,1.0,28.0,0.0,27.76207,0.23,0.0
