EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VKESJ10,永吉路195號前,往東,2017-03-03,00:00:00,1.0,580.0,637.2414,72.0,508.0,0.0,54.14,12.0,119.46
VKESJ10,永吉路195號前,往東,2017-03-03,01:00:00,1.0,570.0,619.4737,37.0,533.0,0.0,58.140003,12.0,152.42
VKESJ10,永吉路195號前,往東,2017-03-03,02:00:00,1.0,600.0,617.5,35.0,565.0,0.0,62.18,12.0,172.97
VKESJ10,永吉路195號前,往東,2017-03-03,03:00:00,1.0,600.0,613.0,26.0,574.0,0.0,62.52,12.0,198.43
VKESJ10,永吉路195號前,往東,2017-03-03,04:00:00,1.0,600.0,610.0,20.0,580.0,0.0,61.33,12.0,211.3
VKESJ10,永吉路195號前,往東,2017-03-03,05:00:00,1.0,600.0,611.5,23.0,577.0,0.0,57.92,12.0,216.78
VKESJ10,永吉路195號前,往東,2017-03-03,06:00:00,1.0,590.0,619.8305,39.0,551.0,0.0,58.829998,12.0,183.67
VKESJ10,永吉路195號前,往東,2017-03-03,07:00:00,1.0,600.0,637.0,74.0,526.0,0.0,54.92,12.0,126.6
VKESJ10,永吉路195號前,往東,2017-03-03,08:00:00,1.0,856.0,945.5,179.0,677.0,0.0,47.91,12.0,74.32
VKESJ10,永吉路195號前,往東,2017-03-03,09:00:00,1.0,600.0,689.0,178.0,422.0,0.0,53.82,12.0,55.72
VKESJ10,永吉路195號前,往東,2017-03-03,10:00:00,1.0,600.0,699.5,199.0,401.0,0.0,49.4,12.0,52.47
VKESJ10,永吉路195號前,往東,2017-03-03,11:00:00,1.0,602.0,710.0,216.0,386.0,0.0,47.05,12.0,52.62
VKESJ10,永吉路195號前,往東,2017-03-03,12:00:00,1.0,600.0,690.0,180.0,420.0,0.0,47.17,12.0,47.25
VKESJ10,永吉路195號前,往東,2017-03-03,13:00:00,1.0,1112.0,1231.5,239.0,873.0,0.0,44.82,12.0,51.8
