EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,00:00:00,2.0,197.0,226.07141,28.0,169.0,0.0,35.12208,1.39,135.635
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,01:00:00,2.0,149.0,170.35713,20.0,129.0,0.0,33.58624,0.8,114.035
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,02:00:00,2.0,85.0,89.0,8.0,77.0,0.0,35.89706,0.325,93.135
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,03:00:00,2.0,74.0,79.5,11.0,63.0,0.0,33.51392,0.355,83.17
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,04:00:00,2.0,51.0,54.5,7.0,44.0,0.0,35.58765,0.20500001,71.774994
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,05:00:00,2.0,48.0,53.5,11.0,37.0,0.0,37.395,0.215,68.95
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,06:00:00,2.0,67.0,70.5,7.0,60.0,0.0,33.730595,0.31,75.685
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,07:00:00,2.0,175.0,176.0,2.0,173.0,0.0,50.233143,0.46,105.41
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,08:00:00,2.0,521.0,530.5,19.0,502.0,0.0,45.386524,2.545,105.259995
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,09:00:00,2.0,710.0,723.0,26.0,684.0,0.0,44.479126,3.85,93.25
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,10:00:00,2.0,654.0,664.5,21.0,633.0,0.0,44.06849,3.5349998,111.175
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,11:00:00,2.0,555.0,574.5,39.0,516.0,0.0,42.553368,3.74,122.715004
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,12:00:00,2.0,583.0,595.5,25.0,558.0,0.0,43.35307,3.095,123.634995
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,13:00:00,2.0,583.0,591.5,17.0,566.0,0.0,40.827133,3.625,117.05
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,14:00:00,2.0,553.0,571.5,37.0,516.0,0.0,44.18805,3.04,113.595
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,15:00:00,2.0,664.0,676.0,24.0,640.0,0.0,42.990665,3.975,100.15
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,16:00:00,2.0,743.0,756.0,26.0,717.0,0.0,39.563713,5.9,89.104996
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,17:00:00,2.0,713.0,728.5,31.0,682.0,0.0,39.367237,5.035,93.565
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,18:00:00,2.0,716.0,743.5,55.0,661.0,0.0,39.13251,5.04,105.149994
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,19:00:00,2.0,503.0,562.37286,100.0,403.0,0.0,35.34632,4.2,120.7
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,20:00:00,2.0,512.0,569.5,115.0,397.0,0.0,32.23242,4.875,125.99
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,21:00:00,2.0,483.0,526.5,87.0,396.0,0.0,31.470371,4.71,133.275
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,22:00:00,2.0,516.0,573.5,115.0,401.0,0.0,31.967213,4.65,129.545
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-03,23:00:00,2.0,466.0,512.5,93.0,373.0,0.0,31.823029,4.2200003,127.685005
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,00:00:00,2.0,263.0,282.0,38.0,225.0,0.0,34.564182,1.61,127.29
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,01:00:00,2.0,198.0,214.0,32.0,166.0,0.0,32.652325,1.2049999,127.90001
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,02:00:00,2.0,160.0,170.5,21.0,139.0,0.0,33.994,0.83,131.065
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,03:00:00,2.0,129.0,133.0,8.0,121.0,0.0,31.611862,0.595,112.8
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,04:00:00,2.0,116.0,125.0,18.0,98.0,0.0,34.076897,0.61,120.55
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,05:00:00,2.0,77.0,83.0,12.0,65.0,0.0,34.507793,0.375,96.05
VKXRL60,市民大道四段京華城對面人行道,往東,2017-03-04,06:00:00,2.0,71.0,74.5,7.0,64.0,0.0,35.660843,0.23500001,87.875
