EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VL6RM20,八德路四段318號前,往東,2017-03-03,00:00:00,1.0,80.0,91.57895,14.0,66.0,0.0,44.15,1.41,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,01:00:00,1.0,64.0,70.178566,3.0,61.0,0.0,40.23,1.18,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,02:00:00,1.0,35.0,35.0,0.0,35.0,0.0,40.69,0.58,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,03:00:00,1.0,42.0,45.0,3.0,39.0,0.0,45.36,0.67,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,04:00:00,1.0,17.0,18.0,2.0,15.0,0.0,48.24,0.28,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,05:00:00,1.0,23.0,24.310345,1.0,22.0,0.0,41.48,0.4,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,06:00:00,1.0,23.0,25.0,4.0,19.0,0.0,42.48,0.45,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,07:00:00,1.0,76.0,86.89655,16.0,60.0,0.0,38.09,1.58,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,08:00:00,1.0,296.0,312.5,33.0,263.0,0.0,46.39,4.32,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,09:00:00,1.0,331.0,364.13794,42.0,289.0,0.0,41.47,5.57,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,10:00:00,1.0,270.0,292.5,45.0,225.0,0.0,41.28,4.53,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,11:00:00,1.0,256.0,280.8621,31.0,225.0,0.0,43.17,4.36,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,12:00:00,1.0,248.0,264.5,33.0,215.0,0.0,43.49,3.98,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,13:00:00,1.0,233.0,258.10345,33.0,200.0,0.0,45.57,3.8,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,14:00:00,1.0,261.0,276.5,31.0,230.0,0.0,38.52,4.57,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,15:00:00,1.0,277.0,304.65518,35.0,242.0,0.0,39.87,5.08,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,16:00:00,1.0,329.0,348.0,38.0,291.0,0.0,38.48,5.85,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,17:00:00,1.0,299.0,332.10526,33.0,266.0,0.0,41.81,5.22,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,18:00:00,1.0,335.0,362.0,54.0,281.0,0.0,35.69,6.67,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,19:00:00,1.0,346.0,380.68967,44.0,302.0,0.0,36.68,6.79,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,20:00:00,1.0,286.0,306.5,41.0,245.0,0.0,36.06,5.53,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,21:00:00,1.0,240.0,266.89655,36.0,204.0,0.0,37.24,4.85,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,22:00:00,1.0,230.0,245.5,31.0,199.0,0.0,37.72,5.3,0.0
VL6RM20,八德路四段318號前,往東,2017-03-03,23:00:00,1.0,175.0,193.44829,24.0,151.0,0.0,39.2,3.36,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,00:00:00,1.0,127.0,133.0,12.0,115.0,0.0,42.63,2.02,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,01:00:00,1.0,84.0,95.17242,16.0,68.0,0.0,41.52,1.57,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,02:00:00,1.0,77.0,82.0,10.0,67.0,0.0,42.79,1.23,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,03:00:00,1.0,44.0,49.13793,7.0,37.0,0.0,45.82,0.81,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,04:00:00,1.0,43.0,45.0,4.0,39.0,0.0,42.35,0.72,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,05:00:00,1.0,26.0,28.965519,4.0,22.0,0.0,46.81,0.45,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,06:00:00,1.0,44.0,50.0,12.0,32.0,0.0,49.3,0.72,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,07:00:00,1.0,62.0,68.793106,9.0,53.0,0.0,41.95,1.11,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,08:00:00,1.0,123.0,131.0,16.0,107.0,0.0,44.26,2.02,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,09:00:00,1.0,147.0,161.37932,18.0,129.0,0.0,46.02,2.23,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,10:00:00,1.0,191.0,205.0,28.0,163.0,0.0,45.2,2.93,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,11:00:00,1.0,191.0,208.96552,22.0,169.0,0.0,43.31,2.98,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,12:00:00,1.0,238.0,249.5,23.0,215.0,0.0,44.68,3.57,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,13:00:00,1.0,251.0,271.0345,22.0,229.0,0.0,46.12,3.88,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,14:00:00,1.0,240.0,252.5,25.0,215.0,0.0,42.720005,3.78,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,15:00:00,1.0,273.0,307.75864,49.0,224.0,0.0,40.85,4.95,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,16:00:00,1.0,283.0,295.0,24.0,259.0,0.0,40.57,4.7,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,17:00:00,1.0,278.0,309.4737,32.0,246.0,0.0,39.78,4.91,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,18:00:00,1.0,320.0,341.5,43.0,277.0,0.0,40.45,5.45,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,19:00:00,1.0,277.0,304.65518,35.0,242.0,0.0,37.42,5.26,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,20:00:00,1.0,192.0,202.0,20.0,172.0,0.0,41.28,3.23,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,21:00:00,1.0,194.0,211.55173,21.0,173.0,0.0,45.36,3.09,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,22:00:00,1.0,174.0,181.0,14.0,160.0,0.0,44.79,2.58,0.0
VL6RM20,八德路四段318號前,往東,2017-03-04,23:00:00,1.0,158.0,172.24138,17.0,141.0,0.0,43.42,2.56,0.0
