EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,00:00:00,2.0,107.0,113.684204,2.0,105.0,0.0,65.16505,0.26,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,01:00:00,2.0,59.0,66.666664,2.0,57.0,0.0,65.510506,0.155,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,02:00:00,2.0,36.0,36.0,0.0,36.0,0.0,67.475006,0.015,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,03:00:00,2.0,27.0,29.482761,3.0,24.0,0.0,62.77889,0.065,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,04:00:00,2.0,12.0,12.5,1.0,11.0,0.0,63.75,0.015,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,05:00:00,2.0,10.0,11.379311,2.0,8.0,0.0,62.2,0.085,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,06:00:00,2.0,14.0,14.5,1.0,13.0,0.0,47.56643,0.015,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,07:00:00,2.0,51.0,54.827587,4.0,47.0,0.0,59.72647,0.125,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,08:00:00,2.0,253.0,255.0,4.0,249.0,0.0,66.11162,0.635,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,09:00:00,2.0,419.0,441.2069,15.0,404.0,0.0,65.32749,1.125,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,10:00:00,2.0,353.0,358.5,11.0,342.0,0.0,65.32405,0.89,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,11:00:00,2.0,255.0,266.3793,5.0,250.0,0.0,66.05949,0.64,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,12:00:00,2.0,293.0,296.0,6.0,287.0,0.0,63.632694,1.05,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,13:00:00,2.0,274.0,289.13794,11.0,263.0,0.0,64.26635,0.73499995,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,14:00:00,2.0,254.0,258.0,8.0,246.0,0.0,62.278893,0.96000004,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,15:00:00,2.0,299.0,313.9655,9.0,290.0,0.0,64.56,0.85,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,16:00:00,2.0,356.0,364.5,17.0,339.0,0.0,62.6118,1.055,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,17:00:00,2.0,371.0,393.10345,18.0,353.0,0.0,64.25774,1.0699999,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,18:00:00,2.0,366.0,370.5,9.0,357.0,0.0,64.75221,0.97499996,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,19:00:00,2.0,429.0,448.9655,10.0,419.0,0.0,63.758457,1.22,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,20:00:00,2.0,376.0,384.0,16.0,360.0,0.0,63.298035,1.1,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,21:00:00,2.0,288.0,297.9661,10.0,278.0,0.0,63.01559,0.82500005,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,22:00:00,2.0,275.0,277.0,4.0,271.0,0.0,63.90611,0.70500004,0.0
VL7TM20,市民大道松山車站機車地下停車場出入口南側,東,2017-03-03,23:00:00,2.0,218.0,228.6207,6.0,212.0,0.0,65.19913,0.565,0.0
