EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VLDTB20,八德路四段610號前,往東,2017-03-03,00:00:00,2.0,235.0,273.75,41.0,194.0,0.0,34.61192,1.76,120.415
VLDTB20,八德路四段610號前,往東,2017-03-03,01:00:00,2.0,153.0,169.2857,10.0,143.0,0.0,35.38745,0.835,108.455
VLDTB20,八德路四段610號前,往東,2017-03-03,02:00:00,2.0,123.0,134.0,22.0,101.0,0.0,38.705853,0.635,120.17
VLDTB20,八德路四段610號前,往東,2017-03-03,03:00:00,2.0,78.0,86.5,17.0,61.0,0.0,37.35077,0.36,86.245
VLDTB20,八德路四段610號前,往東,2017-03-03,04:00:00,2.0,62.0,66.5,9.0,53.0,0.0,40.420486,0.2,76.275
VLDTB20,八德路四段610號前,往東,2017-03-03,05:00:00,2.0,59.0,63.5,9.0,50.0,0.0,39.25356,0.125,84.975
VLDTB20,八德路四段610號前,往東,2017-03-03,06:00:00,2.0,78.0,83.0,10.0,68.0,0.0,37.31923,0.315,95.740005
VLDTB20,八德路四段610號前,往東,2017-03-03,07:00:00,2.0,140.0,146.5,13.0,127.0,0.0,36.557144,0.73,128.86
VLDTB20,八德路四段610號前,往東,2017-03-03,08:00:00,2.0,284.0,295.0,22.0,262.0,0.0,36.192783,1.385,115.835
VLDTB20,八德路四段610號前,往東,2017-03-03,09:00:00,2.0,405.0,415.5,21.0,384.0,0.0,35.96541,1.94,106.935
VLDTB20,八德路四段610號前,往東,2017-03-03,10:00:00,2.0,468.0,490.5,45.0,423.0,0.0,36.073845,3.1,84.2
VLDTB20,八德路四段610號前,往東,2017-03-03,11:00:00,2.0,463.0,482.0,38.0,425.0,0.0,35.159527,2.865,100.375
VLDTB20,八德路四段610號前,往東,2017-03-03,12:00:00,2.0,473.0,487.5,29.0,444.0,0.0,35.514927,2.7,88.985
VLDTB20,八德路四段610號前,往東,2017-03-03,13:00:00,2.0,413.0,426.0,26.0,387.0,0.0,35.29857,2.0,74.240005
VLDTB20,八德路四段610號前,往東,2017-03-03,14:00:00,2.0,462.0,481.0,38.0,424.0,0.0,33.24944,2.55,76.29
VLDTB20,八德路四段610號前,往東,2017-03-03,15:00:00,2.0,499.0,508.0,18.0,481.0,0.0,33.988697,2.545,86.505005
VLDTB20,八德路四段610號前,往東,2017-03-03,16:00:00,2.0,553.0,569.5,33.0,520.0,0.0,33.3398,2.875,93.33
VLDTB20,八德路四段610號前,往東,2017-03-03,17:00:00,2.0,483.0,500.0,34.0,449.0,0.0,33.31878,2.825,104.16
VLDTB20,八德路四段610號前,往東,2017-03-03,18:00:00,2.0,443.0,453.5,21.0,422.0,0.0,31.495441,2.69,113.4
VLDTB20,八德路四段610號前,往東,2017-03-03,19:00:00,2.0,334.0,365.0,62.0,272.0,0.0,34.051796,2.225,108.59
VLDTB20,八德路四段610號前,往東,2017-03-03,20:00:00,2.0,411.0,436.5,51.0,360.0,0.0,32.43029,2.9,122.59
VLDTB20,八德路四段610號前,往東,2017-03-03,21:00:00,2.0,407.0,446.5,79.0,328.0,0.0,31.22904,2.9,112.725006
VLDTB20,八德路四段610號前,往東,2017-03-03,22:00:00,2.0,375.0,398.0,46.0,329.0,0.0,33.76616,2.095,101.505005
VLDTB20,八德路四段610號前,往東,2017-03-03,23:00:00,2.0,400.0,431.5,63.0,337.0,0.0,34.560524,2.7350001,119.9
VLDTB20,八德路四段610號前,往東,2017-03-04,00:00:00,2.0,264.0,281.5,35.0,229.0,0.0,34.110832,1.635,114.295
VLDTB20,八德路四段610號前,往東,2017-03-04,01:00:00,2.0,132.0,141.5,19.0,113.0,0.0,34.95954,0.755,107.66499
VLDTB20,八德路四段610號前,往東,2017-03-04,02:00:00,2.0,70.0,74.5,9.0,61.0,0.0,37.715,0.215,81.7
VLDTB20,八德路四段610號前,往東,2017-03-04,03:00:00,2.0,41.0,43.0,4.0,37.0,0.0,36.19049,0.14,69.270004
VLDTB20,八德路四段610號前,往東,2017-03-04,04:00:00,2.0,52.0,55.0,6.0,46.0,0.0,39.285385,0.125,70.165
VLDTB20,八德路四段610號前,往東,2017-03-04,05:00:00,2.0,75.0,79.5,9.0,66.0,0.0,39.7232,0.215,100.32
VLDTB20,八德路四段610號前,往東,2017-03-04,06:00:00,2.0,89.0,94.5,11.0,78.0,0.0,38.011127,0.29999998,82.61
VLDTB20,八德路四段610號前,往東,2017-03-04,07:00:00,2.0,101.0,104.5,7.0,94.0,0.0,34.67673,0.465,103.09
VLDTB20,八德路四段610號前,往東,2017-03-04,08:00:00,2.0,189.0,194.5,11.0,178.0,0.0,36.636295,0.95500004,129.685
VLDTB20,八德路四段610號前,往東,2017-03-04,09:00:00,2.0,234.0,240.5,13.0,221.0,0.0,35.005383,1.125,140.765
VLDTB20,八德路四段610號前,往東,2017-03-04,10:00:00,2.0,319.0,327.5,17.0,302.0,0.0,37.06577,1.4499999,103.045
VLDTB20,八德路四段610號前,往東,2017-03-04,11:00:00,2.0,343.0,348.5,11.0,332.0,0.0,36.905304,1.5,99.215
VLDTB20,八德路四段610號前,往東,2017-03-04,12:00:00,2.0,360.0,368.5,17.0,343.0,0.0,37.272,1.715,110.17
VLDTB20,八德路四段610號前,往東,2017-03-04,13:00:00,2.0,415.0,422.5,15.0,400.0,0.0,36.349087,1.875,102.925
VLDTB20,八德路四段610號前,往東,2017-03-04,14:00:00,2.0,400.0,406.5,13.0,387.0,0.0,35.4985,1.9300001,94.31
VLDTB20,八德路四段610號前,往東,2017-03-04,15:00:00,2.0,442.0,446.5,9.0,433.0,0.0,35.404526,2.03,84.69
VLDTB20,八德路四段610號前,往東,2017-03-04,16:00:00,2.0,416.0,426.5,21.0,395.0,0.0,34.19423,2.295,77.68
VLDTB20,八德路四段610號前,往東,2017-03-04,17:00:00,2.0,418.0,433.5,31.0,387.0,0.0,35.42201,2.135,87.744995
VLDTB20,八德路四段610號前,往東,2017-03-04,18:00:00,2.0,476.0,484.5,17.0,459.0,0.0,34.940422,2.165,93.865005
VLDTB20,八德路四段610號前,往東,2017-03-04,19:00:00,2.0,454.0,494.5,81.0,373.0,0.0,32.598236,3.325,92.65
VLDTB20,八德路四段610號前,往東,2017-03-04,20:00:00,2.0,462.0,495.0,66.0,396.0,0.0,32.701168,3.3049998,100.649994
VLDTB20,八德路四段610號前,往東,2017-03-04,21:00:00,2.0,360.0,398.64407,64.0,296.0,0.0,30.346447,2.745,106.020004
VLDTB20,八德路四段610號前,往東,2017-03-04,22:00:00,2.0,362.0,388.0,52.0,310.0,0.0,30.603453,2.5,108.64
VLDTB20,八德路四段610號前,往東,2017-03-04,23:00:00,2.0,434.0,465.0,62.0,372.0,0.0,30.82871,2.885,113.850006
VLDTB20,八德路四段610號前,往東,2017-03-05,00:00:00,2.0,337.0,360.0,46.0,291.0,0.0,31.644716,2.4650002,119.965
VLDTB20,八德路四段610號前,往東,2017-03-05,01:00:00,2.0,240.0,250.5,21.0,219.0,0.0,33.51825,1.2650001,129.43
VLDTB20,八德路四段610號前,往東,2017-03-05,02:00:00,2.0,203.0,212.0,18.0,185.0,0.0,36.333397,0.91999996,118.655
VLDTB20,八德路四段610號前,往東,2017-03-05,03:00:00,2.0,116.0,130.0,28.0,88.0,0.0,36.519997,0.575,105.84
VLDTB20,八德路四段610號前,往東,2017-03-05,04:00:00,2.0,91.0,97.5,13.0,78.0,0.0,39.462418,0.325,98.12
VLDTB20,八德路四段610號前,往東,2017-03-05,05:00:00,2.0,72.0,74.5,5.0,67.0,0.0,40.955975,0.19,98.11
VLDTB20,八德路四段610號前,往東,2017-03-05,06:00:00,2.0,94.0,97.5,7.0,87.0,0.0,36.575104,0.34,109.71001
VLDTB20,八德路四段610號前,往東,2017-03-05,07:00:00,2.0,122.0,128.0,12.0,110.0,0.0,36.52377,0.56,108.69
VLDTB20,八德路四段610號前,往東,2017-03-05,08:00:00,2.0,148.0,154.0,12.0,136.0,0.0,36.298717,0.90999997,125.78
VLDTB20,八德路四段610號前,往東,2017-03-05,09:00:00,2.0,190.0,197.5,15.0,175.0,0.0,36.83179,0.90999997,129.20999
VLDTB20,八德路四段610號前,往東,2017-03-05,10:00:00,2.0,258.0,265.5,15.0,243.0,0.0,38.080853,1.15,116.8
VLDTB20,八德路四段610號前,往東,2017-03-05,11:00:00,2.0,266.0,272.0,12.0,254.0,0.0,36.82165,1.2149999,121.675
VLDTB20,八德路四段610號前,往東,2017-03-05,12:00:00,2.0,318.0,327.0,18.0,300.0,0.0,36.30566,1.5799999,102.09
VLDTB20,八德路四段610號前,往東,2017-03-05,13:00:00,2.0,297.0,303.0,12.0,285.0,0.0,35.787273,1.415,84.875
VLDTB20,八德路四段610號前,往東,2017-03-05,14:00:00,2.0,247.0,253.5,13.0,234.0,0.0,34.946926,1.235,105.68
VLDTB20,八德路四段610號前,往東,2017-03-05,15:00:00,2.0,332.0,344.0,24.0,308.0,0.0,35.98551,1.72,95.119995
VLDTB20,八德路四段610號前,往東,2017-03-05,16:00:00,2.0,422.0,428.5,13.0,409.0,0.0,35.497536,2.0349998,99.145004
VLDTB20,八德路四段610號前,往東,2017-03-05,17:00:00,2.0,404.0,412.0,16.0,388.0,0.0,34.224606,1.9549999,98.285
VLDTB20,八德路四段610號前,往東,2017-03-05,18:00:00,2.0,428.0,435.5,15.0,413.0,0.0,34.390606,2.255,115.11
VLDTB20,八德路四段610號前,往東,2017-03-05,19:00:00,2.0,388.0,415.5,55.0,333.0,0.0,33.658867,2.395,98.83
VLDTB20,八德路四段610號前,往東,2017-03-05,20:00:00,2.0,496.0,525.0,58.0,438.0,0.0,32.843468,2.9399998,103.85
VLDTB20,八德路四段610號前,往東,2017-03-05,21:00:00,2.0,359.0,394.57626,58.0,301.0,0.0,32.79869,2.605,117.835
VLDTB20,八德路四段610號前,往東,2017-03-05,22:00:00,2.0,311.0,334.0,46.0,265.0,0.0,33.092285,2.025,103.19
VLDTB20,八德路四段610號前,往東,2017-03-05,23:00:00,2.0,312.0,332.0,40.0,272.0,0.0,31.954615,1.9150001,106.595
VLDTB20,八德路四段610號前,往東,2017-03-06,00:00:00,2.0,215.0,235.93219,34.0,181.0,0.0,32.951164,1.51,122.155
VLDTB20,八德路四段610號前,往東,2017-03-06,01:00:00,2.0,81.0,87.5,13.0,68.0,0.0,34.712593,0.35,87.95
VLDTB20,八德路四段610號前,往東,2017-03-06,02:00:00,2.0,55.0,59.0,8.0,47.0,0.0,35.238,0.17,84.615005
VLDTB20,八德路四段610號前,往東,2017-03-06,03:00:00,2.0,36.0,40.0,8.0,28.0,0.0,38.27778,0.09,58.55
VLDTB20,八德路四段610號前,往東,2017-03-06,04:00:00,2.0,27.0,29.0,4.0,23.0,0.0,39.74074,0.05,47.100002
VLDTB20,八德路四段610號前,往東,2017-03-06,05:00:00,2.0,35.0,36.5,3.0,32.0,0.0,41.914,0.074999996,57.275
VLDTB20,八德路四段610號前,往東,2017-03-06,06:00:00,2.0,61.0,65.0,8.0,53.0,0.0,36.524426,0.285,83.95
VLDTB20,八德路四段610號前,往東,2017-03-06,07:00:00,2.0,113.0,116.0,6.0,107.0,0.0,33.765842,0.52,102.775
VLDTB20,八德路四段610號前,往東,2017-03-06,08:00:00,2.0,245.0,250.5,11.0,234.0,0.0,32.87163,1.2049999,100.575
