EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,04:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,05:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,06:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,07:00:00,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.035,2.085
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,08:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VHEPV40,光復路(信義-基隆)-光復南路620號前路燈桿(號誌控制箱旁),北,2017-03-03,09:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
