EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,00:00:00,2.0,350.0,482.6316,217.0,133.0,0.0,41.708054,2.07,104.634995
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,01:00:00,2.0,264.0,369.10712,161.0,103.0,0.0,42.671814,1.675,112.725006
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,02:00:00,2.0,212.0,273.5,123.0,89.0,0.0,42.75368,0.97499996,138.20999
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,03:00:00,2.0,173.0,219.5,93.0,80.0,0.0,42.236126,0.775,132.98
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,04:00:00,2.0,141.0,180.0,78.0,63.0,0.0,43.49858,0.51,110.58501
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,05:00:00,2.0,129.0,161.5,65.0,64.0,0.0,43.26667,0.42000002,107.130005
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,06:00:00,2.0,150.0,195.5,91.0,59.0,0.0,42.26173,0.91999996,96.615005
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,07:00:00,2.0,271.0,312.5,83.0,183.0,0.0,44.931885,1.705,109.08
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,08:00:00,2.0,728.0,813.1271,151.0,568.0,0.0,40.96406,5.3199997,85.395004
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,09:00:00,2.0,1080.0,1359.1948,528.0,553.0,-1.0,32.927887,19.67,71.0
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,10:00:00,2.0,1034.0,1190.0,312.0,722.0,0.0,38.927914,9.9,75.715004
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,11:00:00,2.0,920.0,1052.5,265.0,655.0,0.0,40.640404,7.625,73.88
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,12:00:00,2.0,921.0,1050.5,259.0,662.0,0.0,41.091698,6.325,69.02
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,13:00:00,2.0,824.0,910.0,172.0,652.0,0.0,43.97727,5.215,74.240005
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,14:00:00,2.0,807.0,902.5,191.0,616.0,0.0,42.015465,4.56,89.55
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,15:00:00,2.0,966.0,1078.0,222.0,731.0,0.0,39.281036,8.04,66.285
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,16:00:00,2.0,919.0,1071.6716,247.0,672.0,0.0,41.01328,6.96,73.020004
VIKPW00,光復路(仁愛-信義)-光復南路417-1號前附掛既設CMS(PJ04)桿,往北,2017-03-03,17:00:00,2.0,902.0,1047.5,291.0,611.0,0.0,37.767796,10.559999,82.925
