EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIVS602,松仁-松高 往北,往北,2017-03-03,00:00:00,3.0,271.0,295.78946,20.0,251.0,0.0,52.554462,0.5466667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,01:00:00,3.0,162.0,172.63159,4.0,158.0,0.0,55.26889,0.21666665,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,02:00:00,3.0,124.0,124.0,0.0,124.0,0.0,57.74782,0.07333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,03:00:00,3.0,70.0,70.0,0.0,70.0,0.0,58.258286,0.01,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,04:00:00,3.0,66.0,66.0,0.0,66.0,0.0,63.33212,0.02,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,05:00:00,3.0,52.0,54.310345,1.0,51.0,0.0,58.0625,0.023333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,06:00:00,3.0,71.0,75.0,8.0,63.0,0.0,58.377323,0.083333336,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,07:00:00,3.0,194.0,208.5,29.0,165.0,0.0,47.812267,0.5333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,08:00:00,3.0,462.0,486.5,49.0,413.0,0.0,50.892162,1.1999999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,09:00:00,3.0,610.0,642.0,64.0,546.0,0.0,49.118458,1.79,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,10:00:00,3.0,703.0,730.0,54.0,649.0,0.0,49.145348,1.8466667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,11:00:00,3.0,659.0,690.0,62.0,597.0,0.0,49.813625,1.6633333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,12:00:00,3.0,657.0,690.0,66.0,591.0,0.0,49.10528,1.8733333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,13:00:00,3.0,640.0,672.0,64.0,576.0,0.0,47.21117,1.9433333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,14:00:00,3.0,686.0,718.5,65.0,621.0,0.0,45.507114,2.2266665,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,15:00:00,3.0,701.0,733.5,65.0,636.0,0.0,49.24915,1.9366666,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,16:00:00,3.0,697.0,727.0,60.0,637.0,0.0,49.397232,1.8666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,17:00:00,3.0,740.0,777.5,75.0,665.0,0.0,49.640648,2.16,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,18:00:00,3.0,740.0,779.0,78.0,662.0,0.0,49.352623,2.1866667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,19:00:00,3.0,839.0,880.0,82.0,757.0,0.0,46.987175,2.6266668,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,20:00:00,3.0,702.0,739.0,74.0,628.0,0.0,44.413616,2.3333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,21:00:00,3.0,582.0,610.0,56.0,526.0,0.0,46.39947,1.69,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,22:00:00,3.0,676.0,701.5,51.0,625.0,0.0,48.19392,1.7599999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-03,23:00:00,3.0,557.0,571.5,29.0,528.0,0.0,52.07438,1.1999999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,00:00:00,3.0,390.0,396.5,13.0,377.0,0.0,52.183384,0.6933333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,01:00:00,3.0,310.0,311.5,3.0,307.0,0.0,55.92374,0.35999998,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,02:00:00,3.0,199.0,202.5,7.0,192.0,0.0,55.13925,0.15333334,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,03:00:00,3.0,165.0,166.0,2.0,163.0,0.0,59.62867,0.083333336,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,04:00:00,3.0,159.0,159.5,1.0,158.0,0.0,60.46151,0.1,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,05:00:00,3.0,116.0,121.034485,2.0,114.0,0.0,62.817673,0.06666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,06:00:00,3.0,94.0,96.0,4.0,90.0,0.0,56.48585,0.05666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,07:00:00,3.0,155.0,165.0,20.0,135.0,0.0,58.349545,0.31666666,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,08:00:00,3.0,276.0,289.0,26.0,250.0,0.0,51.454674,0.6066666,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,09:00:00,3.0,381.0,395.5,29.0,352.0,0.0,51.751446,0.91333336,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,10:00:00,3.0,469.0,488.0,38.0,431.0,0.0,50.151173,1.1733333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,11:00:00,3.0,490.0,505.5,31.0,459.0,0.0,50.639225,1.1333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,12:00:00,3.0,591.0,608.0,34.0,557.0,0.0,52.44345,1.3699999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,13:00:00,3.0,592.0,614.0,44.0,548.0,0.0,50.220913,1.57,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,14:00:00,3.0,548.0,570.5,45.0,503.0,0.0,51.562263,1.39,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,15:00:00,3.0,602.0,622.0,40.0,562.0,0.0,50.71425,1.46,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,16:00:00,3.0,605.0,625.5,41.0,564.0,0.0,49.030514,1.4899999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,17:00:00,3.0,612.0,648.5,73.0,539.0,0.0,50.11623,1.7266666,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,18:00:00,3.0,640.0,659.5,39.0,601.0,0.0,49.097797,1.65,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,19:00:00,3.0,671.0,696.0,50.0,621.0,0.0,48.80401,1.7833333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,20:00:00,3.0,554.0,573.0,38.0,516.0,0.0,49.197006,1.3433332,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,21:00:00,3.0,599.0,619.0,40.0,559.0,0.0,48.426147,1.5999999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,22:00:00,3.0,654.0,668.5,29.0,625.0,0.0,51.41647,1.4333334,0.0
VIVS602,松仁-松高 往北,往北,2017-03-04,23:00:00,3.0,539.0,550.0,22.0,517.0,0.0,51.936848,1.1999999,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,00:00:00,3.0,402.0,407.5,11.0,391.0,0.0,54.294075,0.64,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,01:00:00,3.0,296.0,299.0,6.0,290.0,0.0,57.064835,0.37666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,02:00:00,3.0,169.0,169.0,0.0,169.0,0.0,59.189175,0.1,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,03:00:00,3.0,153.0,153.5,1.0,152.0,0.0,58.42712,0.1,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,04:00:00,3.0,166.0,166.0,0.0,166.0,0.0,64.493195,0.1,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,05:00:00,3.0,93.0,97.24138,2.0,91.0,0.0,60.93807,0.05666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,06:00:00,3.0,96.0,97.0,2.0,94.0,0.0,59.64417,0.06666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,07:00:00,3.0,142.0,149.5,15.0,127.0,0.0,57.28197,0.21999998,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,08:00:00,3.0,223.0,236.0,26.0,197.0,0.0,53.11484,0.49,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,09:00:00,3.0,300.0,314.5,29.0,271.0,0.0,52.32547,0.6933333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,10:00:00,3.0,375.0,393.5,37.0,338.0,0.0,50.88576,0.81333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,11:00:00,3.0,404.0,420.5,33.0,371.0,0.0,50.968735,0.85999995,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,12:00:00,3.0,529.0,547.5,37.0,492.0,0.0,49.29476,1.3266667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,13:00:00,3.0,576.0,598.5,45.0,531.0,0.0,51.374584,1.4200001,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,14:00:00,3.0,499.0,516.0,34.0,465.0,0.0,50.508797,1.2166667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,15:00:00,3.0,582.0,600.5,37.0,545.0,0.0,48.482544,1.4433333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,16:00:00,3.0,609.0,635.5,53.0,556.0,0.0,45.431328,2.0166667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,17:00:00,3.0,578.0,599.5,43.0,535.0,0.0,50.18381,1.5333333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,18:00:00,3.0,572.0,594.5,45.0,527.0,0.0,48.96341,1.48,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,19:00:00,3.0,542.0,567.0,50.0,492.0,0.0,49.50531,1.4933333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,20:00:00,3.0,496.0,514.0,36.0,460.0,0.0,50.511288,1.1666666,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,21:00:00,3.0,516.0,534.0,36.0,480.0,0.0,49.759033,1.18,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,22:00:00,3.0,539.0,551.5,25.0,514.0,0.0,48.769444,1.2233334,0.0
VIVS602,松仁-松高 往北,往北,2017-03-05,23:00:00,3.0,382.0,389.0,14.0,368.0,0.0,52.321285,0.68333334,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,00:00:00,3.0,244.0,249.0,10.0,234.0,0.0,53.318153,0.33666667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,01:00:00,3.0,156.0,158.5,5.0,151.0,0.0,55.005577,0.19,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,02:00:00,3.0,105.0,105.5,1.0,104.0,0.0,58.285713,0.09,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,03:00:00,3.0,55.0,55.0,0.0,55.0,0.0,62.39873,0.0066666664,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,04:00:00,3.0,68.0,68.0,0.0,68.0,0.0,58.338234,0.030000001,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,05:00:00,3.0,34.0,36.842102,2.0,32.0,0.0,66.90823,0.01,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,06:00:00,3.0,75.0,80.5,11.0,64.0,0.0,54.1044,0.17666666,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,07:00:00,3.0,236.0,255.5,39.0,197.0,0.0,51.013218,0.5833333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,08:00:00,3.0,499.0,525.0,52.0,447.0,0.0,50.08581,1.3733333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,09:00:00,3.0,650.0,689.4915,56.0,594.0,0.0,48.63372,1.9033333,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,10:00:00,3.0,689.0,741.35596,80.0,609.0,0.0,49.353012,2.1966667,0.0
VIVS602,松仁-松高 往北,往北,2017-03-06,11:00:00,3.0,631.0,670.678,57.0,574.0,0.0,49.800095,1.7833333,0.0
