EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIWRJ00,松智路-松高 往北,往北,2017-03-03,00:00:00,3.0,147.0,207.36841,100.0,47.0,0.0,51.277145,0.96000004,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,01:00:00,3.0,105.0,150.54544,66.0,39.0,0.0,55.122566,0.72,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,02:00:00,3.0,56.0,71.0,30.0,26.0,0.0,53.109642,0.32000002,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,03:00:00,3.0,44.0,66.2069,40.0,4.0,0.0,64.502045,0.25,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,04:00:00,3.0,24.0,28.448278,7.0,17.0,0.0,52.335003,0.13333334,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,05:00:00,3.0,34.0,45.517242,20.0,14.0,0.0,60.56,0.17666666,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,06:00:00,3.0,41.0,53.0,24.0,17.0,0.0,57.89854,0.25666666,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,07:00:00,3.0,142.0,201.20691,105.0,37.0,0.0,51.73197,0.9866667,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,08:00:00,3.0,304.0,397.0,186.0,118.0,0.0,45.10405,2.2166665,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,09:00:00,3.0,578.0,778.9655,350.0,228.0,0.0,42.298756,4.523333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,10:00:00,3.0,624.0,798.5,349.0,275.0,0.0,39.048813,4.79,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,11:00:00,3.0,472.0,629.4828,273.0,199.0,0.0,38.724426,3.9133337,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,12:00:00,3.0,548.0,702.5,309.0,239.0,0.0,38.395985,4.3333335,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,13:00:00,3.0,453.0,606.7241,267.0,186.0,0.0,40.15119,3.5999997,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,14:00:00,3.0,532.0,697.0,330.0,202.0,0.0,37.947784,4.44,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,15:00:00,3.0,558.0,755.1725,344.0,214.0,0.0,37.34554,4.92,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,16:00:00,3.0,575.0,743.0,336.0,239.0,0.0,34.060715,5.4066663,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,17:00:00,3.0,534.0,735.0,353.0,181.0,0.0,36.85251,4.89,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,18:00:00,3.0,574.0,754.0,360.0,214.0,0.0,39.799896,4.57,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,19:00:00,3.0,619.0,820.86206,349.0,270.0,0.0,34.48774,5.9366665,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,20:00:00,3.0,537.0,702.0,330.0,207.0,0.0,36.980263,4.6,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,21:00:00,3.0,394.0,525.0,227.0,167.0,0.0,37.871117,3.3433335,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,22:00:00,3.0,463.0,600.0,274.0,189.0,0.0,36.73616,3.8333333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-03,23:00:00,3.0,370.0,511.0345,248.0,122.0,0.0,41.96559,3.01,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,00:00:00,3.0,271.0,354.5,167.0,104.0,0.0,48.37491,1.6166668,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,01:00:00,3.0,175.0,240.51726,115.0,60.0,0.0,56.185715,1.0133333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,02:00:00,3.0,117.0,151.0,68.0,49.0,0.0,59.91325,0.6,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,03:00:00,3.0,69.0,94.13793,44.0,25.0,0.0,60.03029,0.4,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,04:00:00,3.0,111.0,158.0357,73.0,38.0,0.0,62.623512,0.62333333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,05:00:00,3.0,152.0,207.4138,97.0,55.0,0.0,56.1025,0.83666664,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,06:00:00,3.0,59.0,77.0,36.0,23.0,0.0,54.56102,0.35333332,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,07:00:00,3.0,103.0,143.7931,72.0,31.0,0.0,49.501743,0.77,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,08:00:00,3.0,162.0,217.5,111.0,51.0,0.0,46.010433,1.2066666,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,09:00:00,3.0,233.0,323.79312,160.0,73.0,0.0,43.44579,1.84,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,10:00:00,3.0,284.0,379.5,191.0,93.0,0.0,47.641758,2.0766666,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,11:00:00,3.0,379.0,490.8621,191.0,188.0,0.0,41.498363,2.7933333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,12:00:00,3.0,480.0,620.5,281.0,199.0,0.0,43.514103,3.4066665,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,13:00:00,3.0,429.0,577.2414,258.0,171.0,0.0,43.477062,3.0833333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,14:00:00,3.0,455.0,591.5,273.0,182.0,0.0,42.523758,3.2566664,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,15:00:00,3.0,487.0,651.7241,286.0,201.0,0.0,43.048912,3.503333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,16:00:00,3.0,521.0,683.5,325.0,196.0,0.0,43.5467,3.5833333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,17:00:00,3.0,515.0,697.2414,318.0,197.0,0.0,45.043705,3.6133335,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,18:00:00,3.0,617.0,790.0,346.0,271.0,0.0,41.137146,4.4600005,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,19:00:00,3.0,567.0,769.13794,353.0,214.0,0.0,40.434746,4.46,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,20:00:00,3.0,517.0,673.0,312.0,205.0,0.0,37.831894,4.2599998,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,21:00:00,3.0,416.0,542.069,216.0,200.0,0.0,36.377716,3.486667,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,22:00:00,3.0,437.0,551.0,228.0,209.0,0.0,36.752335,3.5833333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-04,23:00:00,3.0,327.0,441.72415,200.0,127.0,0.0,37.81,2.6833334,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-05,00:00:00,3.0,211.0,285.0,148.0,63.0,0.0,45.777393,1.4033333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-05,01:00:00,3.0,158.0,227.67857,109.0,49.0,0.0,57.611206,0.8866667,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-05,02:00:00,3.0,88.0,119.5,63.0,25.0,0.0,57.522728,0.4533333,0.0
VIWRJ00,松智路-松高 往北,往北,2017-03-05,03:00:00,3.0,91.0,120.51724,51.0,40.0,0.0,63.077145,0.45666668,0.0
