EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,00:00:00,2.0,88.0,98.03571,7.0,81.0,0.0,43.065456,0.33,81.72
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,01:00:00,2.0,60.0,66.428566,4.0,56.0,0.0,42.434998,0.165,57.5
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,02:00:00,2.0,33.0,33.0,0.0,33.0,0.0,44.881817,0.06,40.335
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,03:00:00,2.0,18.0,18.0,0.0,18.0,0.0,45.10889,0.01,29.515
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,04:00:00,2.0,19.0,19.5,1.0,18.0,0.0,42.210526,0.025,30.21
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,05:00:00,2.0,9.0,9.0,0.0,9.0,0.0,37.671112,0.035,15.8
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,06:00:00,2.0,22.0,22.0,0.0,22.0,0.0,46.679996,0.035,35.41
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,07:00:00,2.0,68.0,77.0,18.0,50.0,0.0,41.379414,0.27999997,77.33
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,08:00:00,2.0,296.0,318.0,44.0,252.0,0.0,30.733109,4.9,89.54
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,09:00:00,2.0,374.0,402.0,56.0,318.0,0.0,26.332512,9.735001,79.045
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,10:00:00,2.0,361.0,392.5,63.0,298.0,0.0,29.870304,6.195,93.34
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,11:00:00,2.0,343.0,361.5,37.0,306.0,0.0,37.380524,2.0049999,86.87
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,12:00:00,2.0,337.0,354.5,35.0,302.0,0.0,38.547714,1.765,88.44
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,13:00:00,2.0,355.0,378.5,47.0,308.0,0.0,36.373158,2.57,94.28999
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,14:00:00,2.0,418.0,444.5,53.0,365.0,0.0,36.099926,3.625,88.384995
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,15:00:00,2.0,479.0,510.5,63.0,416.0,0.0,32.52787,6.0099998,82.740005
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,16:00:00,2.0,439.0,485.08475,76.0,363.0,0.0,31.225832,7.375,82.05
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,17:00:00,2.0,429.0,462.0,66.0,363.0,0.0,29.09874,7.535,86.465
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,18:00:00,2.0,493.0,522.5,59.0,434.0,0.0,24.746937,14.315,73.009995
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,19:00:00,2.0,567.0,658.5,183.0,384.0,0.0,29.02524,10.305,76.375
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,20:00:00,2.0,496.0,538.5,85.0,411.0,0.0,30.376953,5.745,83.535
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,21:00:00,2.0,422.0,459.5,75.0,347.0,0.0,30.579384,6.0,89.015
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,22:00:00,2.0,475.0,511.5,73.0,402.0,0.0,31.316317,7.79,93.25
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-03,23:00:00,2.0,416.0,441.0,50.0,366.0,0.0,31.575867,4.55,98.585
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,00:00:00,2.0,121.0,127.62712,9.0,112.0,0.0,40.163387,0.575,97.325
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,01:00:00,2.0,74.0,76.0,4.0,70.0,0.0,41.325676,0.19,88.5
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,02:00:00,2.0,42.0,43.0,2.0,40.0,0.0,43.805714,0.11,56.190002
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,03:00:00,2.0,24.0,24.5,1.0,23.0,0.0,43.289997,0.05,36.525
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,04:00:00,2.0,22.0,23.0,2.0,20.0,0.0,44.954544,0.015,42.775
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,05:00:00,2.0,29.0,29.5,1.0,28.0,0.0,40.720345,0.05,48.765
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,06:00:00,2.0,34.0,38.0,8.0,26.0,0.0,39.762943,0.035,46.844997
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,07:00:00,2.0,60.0,73.0,26.0,34.0,0.0,31.250668,0.53499997,74.17
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,08:00:00,2.0,101.0,112.5,23.0,78.0,0.0,33.65297,0.84999996,87.65
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,09:00:00,2.0,147.0,162.5,31.0,116.0,0.0,33.170204,0.94,93.515
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,10:00:00,2.0,166.0,175.0,18.0,148.0,0.0,39.629036,0.865,75.395
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,11:00:00,2.0,188.0,203.0,30.0,158.0,0.0,39.64649,1.175,88.915
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,12:00:00,2.0,204.0,219.0,30.0,174.0,0.0,39.33235,1.06,81.705
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,13:00:00,2.0,223.0,237.5,29.0,194.0,0.0,38.733673,1.19,104.149994
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,14:00:00,2.0,300.0,320.0,40.0,260.0,0.0,35.4292,1.85,84.850006
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,15:00:00,2.0,360.0,391.0,62.0,298.0,0.0,27.199335,5.375,81.305
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,16:00:00,2.0,341.0,379.13794,51.0,290.0,0.0,30.984194,4.325,84.805
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,17:00:00,2.0,353.0,375.5,45.0,308.0,0.0,29.680878,4.425,90.165
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,18:00:00,2.0,406.0,438.5,65.0,341.0,0.0,31.487932,5.5699997,79.32
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,19:00:00,2.0,445.0,524.5,159.0,286.0,0.0,32.089348,6.785,91.86
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,20:00:00,2.0,407.0,451.0,88.0,319.0,0.0,35.36263,3.705,99.96001
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,21:00:00,2.0,457.0,515.0,116.0,341.0,0.0,33.67781,5.235,99.97
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,22:00:00,2.0,502.0,574.0,144.0,358.0,0.0,28.359861,8.13,96.634995
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-04,23:00:00,2.0,330.0,355.0,50.0,280.0,0.0,32.4797,3.7749999,92.2
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,00:00:00,2.0,156.0,161.5,11.0,145.0,0.0,41.777306,0.5,103.490005
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,01:00:00,2.0,76.0,77.0,2.0,74.0,0.0,40.312897,0.19500001,85.775
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,02:00:00,2.0,46.0,46.0,0.0,46.0,0.0,41.499783,0.135,52.35
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,03:00:00,2.0,30.0,30.5,1.0,29.0,0.0,38.99967,0.05,49.675
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,04:00:00,2.0,28.0,30.0,4.0,24.0,0.0,42.787144,0.01,44.9
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,05:00:00,2.0,27.0,27.0,0.0,27.0,0.0,44.334446,0.05,38.14
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,06:00:00,2.0,15.0,15.5,1.0,14.0,0.0,44.802002,0.025,25.359999
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,07:00:00,2.0,26.0,29.0,6.0,20.0,0.0,41.42192,0.085,43.225002
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,08:00:00,2.0,60.0,67.5,15.0,45.0,0.0,41.071,0.175,78.79
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,09:00:00,2.0,92.0,99.5,15.0,77.0,0.0,40.547283,0.4,102.585
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,10:00:00,2.0,116.0,125.5,19.0,97.0,0.0,40.071728,0.49,87.975
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,11:00:00,2.0,145.0,152.0,14.0,131.0,0.0,40.938274,0.61,76.985
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,12:00:00,2.0,212.0,235.0,46.0,166.0,0.0,37.685093,1.355,115.59
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,13:00:00,2.0,212.0,236.5,49.0,163.0,0.0,37.50698,1.4250001,102.3
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,14:00:00,2.0,256.0,276.5,41.0,215.0,0.0,35.58938,1.74,78.33
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,15:00:00,2.0,399.0,431.5,65.0,334.0,0.0,29.744436,5.55,96.5
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,16:00:00,2.0,337.0,366.10168,46.0,291.0,0.0,30.715372,4.65,93.76
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,17:00:00,2.0,344.0,366.0,44.0,300.0,0.0,31.520872,3.61,81.765
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,18:00:00,2.0,386.0,411.5,51.0,335.0,0.0,29.196632,4.79,69.705
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,19:00:00,2.0,369.0,418.5,99.0,270.0,0.0,33.188946,3.85,79.215
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,20:00:00,2.0,355.0,381.5,53.0,302.0,0.0,34.56338,2.98,97.825
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,21:00:00,2.0,427.0,460.0,66.0,361.0,0.0,32.28417,4.2850003,99.18
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,22:00:00,2.0,352.0,382.0,60.0,292.0,0.0,35.585995,3.5,100.005005
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-05,23:00:00,2.0,175.0,187.0,24.0,151.0,0.0,37.04246,1.14,91.025
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,00:00:00,2.0,78.0,82.37288,6.0,72.0,0.0,41.01513,0.27,90.345
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,01:00:00,2.0,36.0,38.0,4.0,32.0,0.0,38.052223,0.17,53.840004
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,02:00:00,2.0,24.0,27.5,7.0,17.0,0.0,32.836666,0.025,39.64
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,03:00:00,2.0,11.0,13.5,5.0,6.0,0.0,38.18091,0.025,20.59
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,04:00:00,2.0,13.0,14.0,2.0,11.0,0.0,35.227695,0.04,18.855
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,05:00:00,2.0,9.0,9.0,0.0,9.0,0.0,36.00333,0.024999999,18.75
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,06:00:00,2.0,34.0,39.0,10.0,24.0,0.0,36.355293,0.115,48.745
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,07:00:00,2.0,83.0,99.0,32.0,51.0,0.0,33.20506,0.9,90.44
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,08:00:00,2.0,343.0,399.0,112.0,231.0,0.0,26.713642,7.0699997,117.37
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,09:00:00,2.0,364.0,439.0,150.0,214.0,0.0,21.102858,11.73,79.125
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,10:00:00,2.0,382.0,426.5,89.0,293.0,0.0,25.966806,8.175,95.475
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,11:00:00,2.0,296.0,318.30508,34.0,262.0,0.0,36.347332,1.94,86.015
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,12:00:00,2.0,342.0,360.0,36.0,306.0,0.0,37.060585,2.68,91.75
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,13:00:00,2.0,326.0,339.0,26.0,300.0,0.0,37.22745,1.92,82.7
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,14:00:00,2.0,410.0,436.0,52.0,358.0,0.0,36.093853,5.04,88.274994
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,15:00:00,2.0,447.0,478.5,63.0,384.0,0.0,34.983894,5.67,92.56
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,16:00:00,2.0,410.0,441.3559,48.0,362.0,0.0,31.070438,5.9,83.625
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,17:00:00,2.0,453.0,477.5,49.0,404.0,0.0,28.01384,9.4,85.655
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,18:00:00,2.0,444.0,505.0,122.0,322.0,0.0,26.276352,11.91,83.55
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,19:00:00,2.0,555.0,666.0,222.0,333.0,0.0,25.86445,12.34,100.41499
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,20:00:00,2.0,521.0,600.0,158.0,363.0,0.0,28.345932,9.125,84.845
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,21:00:00,2.0,427.0,462.5,71.0,356.0,0.0,31.672224,6.185,98.25
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,22:00:00,2.0,382.0,407.0,50.0,332.0,0.0,33.410213,3.175,98.475
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-06,23:00:00,2.0,212.0,226.0,28.0,184.0,0.0,35.757877,1.525,90.06
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,00:00:00,2.0,79.0,84.406784,8.0,71.0,0.0,42.533924,0.27499998,94.44
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,01:00:00,2.0,44.0,44.0,0.0,44.0,0.0,43.45364,0.065,51.835
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,02:00:00,2.0,41.0,42.0,2.0,39.0,0.0,41.999023,0.1,53.245
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,03:00:00,2.0,15.0,15.0,0.0,15.0,0.0,41.998665,0.015,25.884998
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,04:00:00,2.0,11.0,11.0,0.0,11.0,0.0,42.0,0.02,14.87
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,05:00:00,2.0,6.0,6.0,0.0,6.0,0.0,49.0,0.0,9.434999
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,06:00:00,2.0,19.0,19.5,1.0,18.0,0.0,45.16,0.025,30.994999
VJERC00,基隆路一段興雅路與松高路間(門架式),往北,2017-03-07,07:00:00,2.0,72.0,82.5,21.0,51.0,0.0,39.11125,0.435,70.775
