EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,00:00:00,2.0,622.0,738.421,159.0,463.0,0.0,42.57318,5.535,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,01:00:00,2.0,342.0,410.89285,83.0,259.0,0.0,41.892628,2.9,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,02:00:00,2.0,192.0,222.0,60.0,132.0,0.0,43.59,1.4100001,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,03:00:00,2.0,184.0,214.0,60.0,124.0,0.0,45.068913,1.29,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,04:00:00,2.0,244.0,274.0,60.0,184.0,0.0,44.241474,1.79,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,05:00:00,2.0,398.0,441.0,86.0,312.0,0.0,41.71995,3.25,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,06:00:00,2.0,732.0,822.0,180.0,552.0,0.0,42.79213,6.245,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,07:00:00,2.0,965.0,1079.5,229.0,736.0,0.0,35.24474,10.285,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,08:00:00,2.0,1892.0,2124.5,465.0,1427.0,0.0,22.090706,32.825,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,09:00:00,2.0,2053.0,2301.0,496.0,1557.0,0.0,28.033123,28.415,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,10:00:00,2.0,1832.0,2074.0,484.0,1348.0,0.0,34.01476,21.615,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,11:00:00,2.0,1727.0,1948.5,443.0,1284.0,0.0,36.380943,18.875,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,12:00:00,2.0,928.0,1046.5,237.0,691.0,0.0,41.039536,8.43,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,13:00:00,2.0,773.0,878.64404,182.0,591.0,0.0,41.58423,6.915,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,14:00:00,2.0,707.0,804.0,194.0,513.0,0.0,41.68304,6.255,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,15:00:00,2.0,723.0,826.5,207.0,516.0,0.0,41.586197,6.485,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,16:00:00,2.0,652.0,747.0,190.0,462.0,0.0,41.54325,5.82,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,17:00:00,2.0,924.0,1043.5,239.0,685.0,0.0,42.267265,8.225,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,18:00:00,2.0,1854.0,2085.5,463.0,1391.0,0.0,31.050442,23.425,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,19:00:00,2.0,2023.0,2349.8276,497.0,1526.0,0.0,27.876583,28.904999,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,20:00:00,2.0,2134.0,2396.5,525.0,1609.0,0.0,28.28688,29.310001,0.0
VJFQQ00,逸仙路-忠孝 往北,往北,2017-03-03,21:00:00,2.0,1887.0,2128.5,483.0,1404.0,0.0,28.01337,26.215,0.0
