EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V0160C0,市高光復西側往東,正向放置,2017-03-03,00:00:00,2.0,924.0,930.5,13.0,911.0,0.0,80.24481,2.0549998,92.02
V0160C0,市高光復西側往東,正向放置,2017-03-03,01:00:00,2.0,627.0,631.0,8.0,619.0,0.0,80.554535,1.39,132.8
V0160C0,市高光復西側往東,正向放置,2017-03-03,02:00:00,2.0,464.0,466.5,5.0,459.0,0.0,81.006165,0.985,167.85
V0160C0,市高光復西側往東,正向放置,2017-03-03,03:00:00,2.0,370.0,372.5,5.0,365.0,0.0,81.63656,0.725,192.20999
V0160C0,市高光復西側往東,正向放置,2017-03-03,04:00:00,2.0,324.0,324.5,1.0,323.0,0.0,83.01889,0.615,205.5
V0160C0,市高光復西側往東,正向放置,2017-03-03,05:00:00,2.0,326.0,327.0,2.0,324.0,0.0,82.2605,0.575,203.58499
V0160C0,市高光復西側往東,正向放置,2017-03-03,06:00:00,2.0,523.0,526.5,7.0,516.0,0.0,80.29399,1.155,156.29001
V0160C0,市高光復西側往東,正向放置,2017-03-03,07:00:00,2.0,1159.0,1169.0,20.0,1139.0,0.0,81.13182,2.66,76.24
V0160C0,市高光復西側往東,正向放置,2017-03-03,08:00:00,2.0,3210.0,3264.5,109.0,3101.0,0.0,62.258644,12.475,23.455
V0160C0,市高光復西側往東,正向放置,2017-03-03,09:00:00,2.0,3547.0,3608.0,122.0,3425.0,0.0,48.4183,18.04,19.57
V0160C0,市高光復西側往東,正向放置,2017-03-03,10:00:00,2.0,3167.0,3215.0,96.0,3071.0,0.0,54.089626,15.135,21.91
V0160C0,市高光復西側往東,正向放置,2017-03-03,11:00:00,2.0,2822.0,2859.0,74.0,2748.0,0.0,75.0884,7.63,26.765
V0160C0,市高光復西側往東,正向放置,2017-03-03,12:00:00,2.0,2038.0,2057.0,38.0,2000.0,0.0,76.73741,5.2,25.09
V0160C0,市高光復西側往東,正向放置,2017-03-03,13:00:00,2.0,2297.0,2322.5,51.0,2246.0,0.0,77.2814,5.89,30.055
V0160C0,市高光復西側往東,正向放置,2017-03-03,14:00:00,2.0,2228.0,2252.5,49.0,2179.0,0.0,75.98683,5.85,24.075
V0160C0,市高光復西側往東,正向放置,2017-03-03,15:00:00,2.0,1682.0,1698.5,33.0,1649.0,0.0,77.62513,4.23,29.21
V0160C0,市高光復西側往東,正向放置,2017-03-03,16:00:00,2.0,2894.0,2941.5,95.0,2799.0,0.0,52.22023,14.4,18.84
V0160C0,市高光復西側往東,正向放置,2017-03-03,17:00:00,2.0,2765.0,2802.0,74.0,2691.0,0.0,73.608154,7.8450003,23.619999
V0160C0,市高光復西側往東,正向放置,2017-03-03,18:00:00,2.0,2330.0,2366.5,73.0,2257.0,0.0,68.99231,7.5950003,16.1
V0160C0,市高光復西側往東,正向放置,2017-03-03,19:00:00,2.0,2727.0,2772.5,91.0,2636.0,0.0,69.154785,8.764999,20.075
V0160C0,市高光復西側往東,正向放置,2017-03-03,20:00:00,2.0,1992.0,2018.5,53.0,1939.0,0.0,74.38739,5.475,23.349998
V0160C0,市高光復西側往東,正向放置,2017-03-03,21:00:00,2.0,1471.0,1492.5,43.0,1428.0,0.0,76.02715,3.975,19.634998
V0160C0,市高光復西側往東,正向放置,2017-03-03,22:00:00,2.0,2006.0,2028.0,44.0,1962.0,0.0,75.26254,5.3050003,27.400002
V0160C0,市高光復西側往東,正向放置,2017-03-03,23:00:00,2.0,2062.0,2079.5,35.0,2027.0,0.0,76.40669,5.255,34.225
V0160C0,市高光復西側往東,正向放置,2017-03-04,00:00:00,2.0,1099.0,1108.0,18.0,1081.0,0.0,80.2078,2.54,54.535
V0160C0,市高光復西側往東,正向放置,2017-03-04,01:00:00,2.0,775.0,780.5,11.0,764.0,0.0,81.05174,1.72,92.325
V0160C0,市高光復西側往東,正向放置,2017-03-04,02:00:00,2.0,640.0,642.5,5.0,635.0,0.0,82.4991,1.3399999,122.335
V0160C0,市高光復西側往東,正向放置,2017-03-04,03:00:00,2.0,471.0,473.5,5.0,466.0,0.0,82.498344,0.95,148.1
V0160C0,市高光復西側往東,正向放置,2017-03-04,04:00:00,2.0,488.0,490.0,4.0,484.0,0.0,82.37041,1.0,158.4
