EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,00:00:00,2.0,1057.0,1063.0,12.0,1045.0,0.0,72.01597,2.725,77.32
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,01:00:00,2.0,727.0,735.0,16.0,711.0,0.0,73.18989,1.885,112.55
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,02:00:00,2.0,544.0,551.0,14.0,530.0,0.0,73.0654,1.375,153.75
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,03:00:00,2.0,439.0,440.0,2.0,437.0,0.0,73.766396,1.0550001,175.625
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,04:00:00,2.0,422.0,422.0,0.0,422.0,0.0,74.46758,1.0,178.295
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,05:00:00,2.0,445.0,446.5,3.0,442.0,0.0,74.591805,1.12,176.81
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,06:00:00,2.0,524.0,527.0,6.0,518.0,0.0,73.14428,1.38,157.015
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,07:00:00,2.0,1225.0,1244.5,39.0,1186.0,0.0,72.15081,3.46,78.23
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,08:00:00,2.0,3392.0,3433.0,82.0,3310.0,0.0,65.699295,11.025,22.1
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,09:00:00,2.0,3291.0,3332.5,83.0,3208.0,0.0,44.950756,19.425,22.33
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,10:00:00,2.0,3092.0,3137.5,91.0,3001.0,0.0,64.43541,10.25,24.75
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,11:00:00,2.0,3124.0,3159.0,70.0,3054.0,0.0,63.329807,10.79,23.965
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,12:00:00,2.0,3075.0,3113.0,76.0,2999.0,0.0,65.65478,10.025,24.2
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,13:00:00,2.0,2878.0,2922.5,89.0,2789.0,0.0,64.114944,9.875,26.21
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,14:00:00,2.0,3143.0,3188.5,91.0,3052.0,0.0,58.21586,13.17,23.685
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,15:00:00,2.0,3075.0,3123.5,97.0,2978.0,0.0,29.551687,26.36,22.735
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,16:00:00,2.0,3147.0,3202.0,110.0,3037.0,0.0,31.074015,26.235,23.01
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,17:00:00,2.0,3108.0,3163.5,111.0,2997.0,0.0,31.257576,25.465,23.335
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,18:00:00,2.0,2768.0,2813.0,90.0,2678.0,0.0,29.394855,27.14,26.52
V0390G0,市高台鐵機場往西,正向放置,2017-03-03,19:00:00,2.0,2381.0,2452.0,142.0,2239.0,0.0,21.6516,32.99,31.36
