EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V03A0G0,市高光復西側往西,正向放置,2017-03-03,00:00:00,2.0,1244.0,1252.0,16.0,1228.0,0.0,81.77772,2.95,64.100006
V03A0G0,市高光復西側往西,正向放置,2017-03-03,01:00:00,2.0,887.0,891.5,9.0,878.0,0.0,83.19462,1.975,95.8
V03A0G0,市高光復西側往西,正向放置,2017-03-03,02:00:00,2.0,622.0,627.0,10.0,612.0,0.0,84.33047,1.39,133.1
V03A0G0,市高光復西側往西,正向放置,2017-03-03,03:00:00,2.0,483.0,485.0,4.0,479.0,0.0,83.872734,1.085,165.4
V03A0G0,市高光復西側往西,正向放置,2017-03-03,04:00:00,2.0,458.0,460.0,4.0,454.0,0.0,84.61526,0.975,170.58499
V03A0G0,市高光復西側往西,正向放置,2017-03-03,05:00:00,2.0,478.0,481.5,7.0,471.0,0.0,85.053345,1.01,165.775
V03A0G0,市高光復西側往西,正向放置,2017-03-03,06:00:00,2.0,541.0,545.0,8.0,533.0,0.0,82.96011,1.24,153.36
V03A0G0,市高光復西側往西,正向放置,2017-03-03,07:00:00,2.0,1365.0,1385.5,41.0,1324.0,0.0,81.87974,3.365,68.06
V03A0G0,市高光復西側往西,正向放置,2017-03-03,08:00:00,2.0,3924.0,3968.5,89.0,3835.0,0.0,71.09549,12.25,18.785
V03A0G0,市高光復西側往西,正向放置,2017-03-03,09:00:00,2.0,3982.0,4035.5,107.0,3875.0,0.0,62.075634,14.755,17.965
V03A0G0,市高光復西側往西,正向放置,2017-03-03,10:00:00,2.0,3586.0,3626.0,80.0,3506.0,0.0,70.708824,11.285,20.525
V03A0G0,市高光復西側往西,正向放置,2017-03-03,11:00:00,2.0,3679.0,3709.0,60.0,3619.0,0.0,68.884514,11.88,19.91
V03A0G0,市高光復西側往西,正向放置,2017-03-03,12:00:00,2.0,3582.0,3624.5,85.0,3497.0,0.0,70.2666,11.91,20.925
V03A0G0,市高光復西側往西,正向放置,2017-03-03,13:00:00,2.0,3455.0,3485.5,61.0,3394.0,0.0,70.972595,10.674999,21.085
V03A0G0,市高光復西側往西,正向放置,2017-03-03,14:00:00,2.0,3644.0,3684.5,81.0,3563.0,0.0,68.47285,11.975,19.935
V03A0G0,市高光復西側往西,正向放置,2017-03-03,15:00:00,2.0,3683.0,3711.5,57.0,3626.0,0.0,54.553482,15.645,19.34
V03A0G0,市高光復西側往西,正向放置,2017-03-03,16:00:00,2.0,3754.0,3798.5,89.0,3665.0,0.0,55.013287,15.875,18.99
V03A0G0,市高光復西側往西,正向放置,2017-03-03,17:00:00,2.0,3710.0,3753.5,87.0,3623.0,0.0,54.67544,15.715,19.17
V03A0G0,市高光復西側往西,正向放置,2017-03-03,18:00:00,2.0,3550.0,3608.0,116.0,3434.0,0.0,49.64727,17.560001,20.2
V03A0G0,市高光復西側往西,正向放置,2017-03-03,19:00:00,2.0,3227.0,3299.0,144.0,3083.0,0.0,42.484055,19.814999,23.015
V03A0G0,市高光復西側往西,正向放置,2017-03-03,20:00:00,2.0,3278.0,3333.5,111.0,3167.0,0.0,54.823048,15.26,22.51
V03A0G0,市高光復西側往西,正向放置,2017-03-03,21:00:00,2.0,2943.0,2965.0,44.0,2899.0,0.0,72.14345,8.875,25.625
V03A0G0,市高光復西側往西,正向放置,2017-03-03,22:00:00,2.0,3175.0,3214.0,78.0,3097.0,0.0,69.949585,10.18,23.145
V03A0G0,市高光復西側往西,正向放置,2017-03-03,23:00:00,2.0,2519.0,2540.5,43.0,2476.0,0.0,76.687485,6.865,30.445
V03A0G0,市高光復西側往西,正向放置,2017-03-04,00:00:00,2.0,1600.0,1611.5,23.0,1577.0,0.0,81.010376,3.8,48.605
V03A0G0,市高光復西側往西,正向放置,2017-03-04,01:00:00,2.0,1228.0,1237.0,18.0,1210.0,0.0,82.7283,2.865,66.285
V03A0G0,市高光復西側往西,正向放置,2017-03-04,02:00:00,2.0,849.0,853.5,9.0,840.0,0.0,83.99753,1.94,100.649994
V03A0G0,市高光復西側往西,正向放置,2017-03-04,03:00:00,2.0,726.0,730.0,8.0,718.0,0.0,84.665405,1.59,118.34
V03A0G0,市高光復西側往西,正向放置,2017-03-04,04:00:00,2.0,681.0,683.0,4.0,677.0,0.0,84.35529,1.52,123.37
V03A0G0,市高光復西側往西,正向放置,2017-03-04,05:00:00,2.0,673.0,680.5,15.0,658.0,0.0,85.020325,1.465,126.38
V03A0G0,市高光復西側往西,正向放置,2017-03-04,06:00:00,2.0,705.0,714.5,19.0,686.0,0.0,81.80608,1.74,118.75
V03A0G0,市高光復西側往西,正向放置,2017-03-04,07:00:00,2.0,1010.0,1022.0,24.0,986.0,0.0,81.72875,2.465,88.744995
V03A0G0,市高光復西側往西,正向放置,2017-03-04,08:00:00,2.0,1841.0,1867.0,52.0,1789.0,0.0,81.02899,4.655,43.65
V03A0G0,市高光復西側往西,正向放置,2017-03-04,09:00:00,2.0,2675.0,2706.5,63.0,2612.0,0.0,77.95054,7.165,28.61
V03A0G0,市高光復西側往西,正向放置,2017-03-04,10:00:00,2.0,2846.0,2878.0,64.0,2782.0,0.0,77.19033,7.8,26.529999
V03A0G0,市高光復西側往西,正向放置,2017-03-04,11:00:00,2.0,2972.0,3002.0,60.0,2912.0,0.0,75.73852,8.33,25.25
V03A0G0,市高光復西側往西,正向放置,2017-03-04,12:00:00,2.0,3247.0,3277.5,61.0,3186.0,0.0,75.43333,9.1,22.75
V03A0G0,市高光復西側往西,正向放置,2017-03-04,13:00:00,2.0,3264.0,3297.5,67.0,3197.0,0.0,75.45943,9.085,22.66
V03A0G0,市高光復西側往西,正向放置,2017-03-04,14:00:00,2.0,3397.0,3425.5,57.0,3340.0,0.0,71.976585,10.26,21.76
V03A0G0,市高光復西側往西,正向放置,2017-03-04,15:00:00,2.0,3295.0,3329.0,68.0,3227.0,0.0,74.2579,9.549999,22.31
V03A0G0,市高光復西側往西,正向放置,2017-03-04,16:00:00,2.0,3256.0,3289.5,67.0,3189.0,0.0,75.16106,9.225,22.375
V03A0G0,市高光復西側往西,正向放置,2017-03-04,17:00:00,2.0,3391.0,3424.0,66.0,3325.0,0.0,69.24144,10.855,21.555
V03A0G0,市高光復西側往西,正向放置,2017-03-04,18:00:00,2.0,3547.0,3582.5,71.0,3476.0,0.0,55.224117,14.77,20.085
V03A0G0,市高光復西側往西,正向放置,2017-03-04,19:00:00,2.0,3173.0,3218.5,91.0,3082.0,0.0,59.98441,12.52,23.49
V03A0G0,市高光復西側往西,正向放置,2017-03-04,20:00:00,2.0,2768.0,2798.5,61.0,2707.0,0.0,73.34984,8.205,27.125
V03A0G0,市高光復西側往西,正向放置,2017-03-04,21:00:00,2.0,2782.0,2819.5,75.0,2707.0,0.0,73.91812,8.200001,26.95
V03A0G0,市高光復西側往西,正向放置,2017-03-04,22:00:00,2.0,3162.0,3200.5,77.0,3085.0,0.0,68.878204,10.385,23.4
V03A0G0,市高光復西側往西,正向放置,2017-03-04,23:00:00,2.0,2491.0,2511.0,40.0,2451.0,0.0,76.374565,6.8,30.95
V03A0G0,市高光復西側往西,正向放置,2017-03-05,00:00:00,2.0,1597.0,1607.5,21.0,1576.0,0.0,80.39854,3.955,49.415
V03A0G0,市高光復西側往西,正向放置,2017-03-05,01:00:00,2.0,1214.0,1223.0,18.0,1196.0,0.0,82.20936,2.9099998,65.16
V03A0G0,市高光復西側往西,正向放置,2017-03-05,02:00:00,2.0,882.0,885.0,6.0,876.0,0.0,83.521835,1.95,93.465
V03A0G0,市高光復西側往西,正向放置,2017-03-05,03:00:00,2.0,738.0,742.0,8.0,730.0,0.0,84.06721,1.655,114.884995
V03A0G0,市高光復西側往西,正向放置,2017-03-05,04:00:00,2.0,683.0,684.0,2.0,681.0,0.0,85.17842,1.4849999,124.31
V03A0G0,市高光復西側往西,正向放置,2017-03-05,05:00:00,2.0,668.0,672.5,9.0,659.0,0.0,85.37865,1.525,128.645
V03A0G0,市高光復西側往西,正向放置,2017-03-05,06:00:00,2.0,658.0,662.5,9.0,649.0,0.0,84.3634,1.45,131.16501
V03A0G0,市高光復西側往西,正向放置,2017-03-05,07:00:00,2.0,890.0,901.0,22.0,868.0,0.0,83.0533,2.125,92.93
V03A0G0,市高光復西側往西,正向放置,2017-03-05,08:00:00,2.0,1378.0,1395.5,35.0,1343.0,0.0,81.541985,3.415,58.434998
V03A0G0,市高光復西側往西,正向放置,2017-03-05,09:00:00,2.0,1977.0,2001.5,49.0,1928.0,0.0,80.53332,5.105,39.065002
V03A0G0,市高光復西側往西,正向放置,2017-03-05,10:00:00,2.0,2129.0,2150.5,43.0,2086.0,0.0,80.831314,5.335,36.010002
V03A0G0,市高光復西側往西,正向放置,2017-03-05,11:00:00,2.0,2489.0,2521.0,64.0,2425.0,0.0,79.06618,6.565,30.4
V03A0G0,市高光復西側往西,正向放置,2017-03-05,12:00:00,2.0,2929.0,2958.0,58.0,2871.0,0.0,78.28881,7.7349997,25.575
V03A0G0,市高光復西側往西,正向放置,2017-03-05,13:00:00,2.0,2712.0,2735.5,47.0,2665.0,0.0,79.18657,6.95,27.759998
V03A0G0,市高光復西側往西,正向放置,2017-03-05,14:00:00,2.0,2874.0,2904.5,61.0,2813.0,0.0,78.28016,7.595,26.0
V03A0G0,市高光復西側往西,正向放置,2017-03-05,15:00:00,2.0,3096.0,3129.0,66.0,3030.0,0.0,76.365074,8.525,23.825
V03A0G0,市高光復西側往西,正向放置,2017-03-05,16:00:00,2.0,3266.0,3301.5,71.0,3195.0,0.0,73.90304,9.52,22.375
V03A0G0,市高光復西側往西,正向放置,2017-03-05,17:00:00,2.0,3223.0,3257.0,68.0,3155.0,0.0,73.26703,9.559999,22.810001
V03A0G0,市高光復西側往西,正向放置,2017-03-05,18:00:00,2.0,3268.0,3298.5,61.0,3207.0,0.0,68.73878,10.65,22.425
V03A0G0,市高光復西側往西,正向放置,2017-03-05,19:00:00,2.0,3010.0,3051.0,82.0,2928.0,0.0,70.336395,9.555,24.935001
V03A0G0,市高光復西側往西,正向放置,2017-03-05,20:00:00,2.0,2680.0,2716.5,73.0,2607.0,0.0,73.853775,7.95,27.89
V03A0G0,市高光復西側往西,正向放置,2017-03-05,21:00:00,2.0,2894.0,2928.0,68.0,2826.0,0.0,72.81022,8.690001,25.71
V03A0G0,市高光復西側往西,正向放置,2017-03-05,22:00:00,2.0,2853.0,2884.0,62.0,2791.0,0.0,74.5704,8.19,26.2
V03A0G0,市高光復西側往西,正向放置,2017-03-05,23:00:00,2.0,1972.0,1986.0,28.0,1944.0,0.0,78.51124,5.13,40.29
V03A0G0,市高光復西側往西,正向放置,2017-03-06,00:00:00,2.0,1190.0,1197.5,15.0,1175.0,0.0,81.552574,2.885,74.59
V03A0G0,市高光復西側往西,正向放置,2017-03-06,01:00:00,2.0,776.0,777.5,3.0,773.0,0.0,84.39799,1.64,108.175
V03A0G0,市高光復西側往西,正向放置,2017-03-06,02:00:00,2.0,501.0,505.5,9.0,492.0,0.0,80.88952,1.23,156.095
V03A0G0,市高光復西側往西,正向放置,2017-03-06,03:00:00,2.0,371.0,372.0,2.0,369.0,0.0,83.31568,0.735,191.625
V03A0G0,市高光復西側往西,正向放置,2017-03-06,04:00:00,2.0,322.0,324.5,5.0,317.0,0.0,83.36777,0.66,205.0
V03A0G0,市高光復西側往西,正向放置,2017-03-06,05:00:00,2.0,296.0,297.0,2.0,294.0,0.0,82.5671,0.59999996,211.33499
V03A0G0,市高光復西側往西,正向放置,2017-03-06,06:00:00,2.0,451.0,457.0,12.0,439.0,0.0,80.09277,1.09,175.9
V03A0G0,市高光復西側往西,正向放置,2017-03-06,07:00:00,2.0,1441.0,1462.5,43.0,1398.0,0.0,78.86444,3.825,69.845
V03A0G0,市高光復西側往西,正向放置,2017-03-06,08:00:00,2.0,3747.0,3779.0,64.0,3683.0,0.0,60.243176,14.175,19.2
V03A0G0,市高光復西側往西,正向放置,2017-03-06,09:00:00,2.0,3807.0,3850.0,86.0,3721.0,0.0,58.126743,15.035,18.904999
V03A0G0,市高光復西側往西,正向放置,2017-03-06,10:00:00,2.0,3706.0,3746.0,80.0,3626.0,0.0,62.754295,13.615,19.345001
V03A0G0,市高光復西側往西,正向放置,2017-03-06,11:00:00,2.0,3352.0,3386.5,69.0,3283.0,0.0,72.0708,10.115,22.065
V03A0G0,市高光復西側往西,正向放置,2017-03-06,12:00:00,2.0,3184.0,3214.5,61.0,3123.0,0.0,73.585,9.285,23.2
V03A0G0,市高光復西側往西,正向放置,2017-03-06,13:00:00,2.0,3301.0,3339.5,77.0,3224.0,0.0,72.56514,9.985001,22.46
V03A0G0,市高光復西側往西,正向放置,2017-03-06,14:00:00,2.0,3660.0,3695.5,71.0,3589.0,0.0,65.32106,12.780001,19.895
V03A0G0,市高光復西側往西,正向放置,2017-03-06,15:00:00,2.0,3530.0,3595.5,131.0,3399.0,0.0,56.57529,16.59,20.66
V03A0G0,市高光復西側往西,正向放置,2017-03-06,16:00:00,2.0,3596.0,3659.5,127.0,3469.0,0.0,51.48526,17.01,19.96
V03A0G0,市高光復西側往西,正向放置,2017-03-06,17:00:00,2.0,3490.0,3539.0,98.0,3392.0,0.0,56.37387,14.860001,20.814999
V03A0G0,市高光復西側往西,正向放置,2017-03-06,18:00:00,2.0,3612.0,3651.5,79.0,3533.0,0.0,60.90134,13.66,19.89
V03A0G0,市高光復西側往西,正向放置,2017-03-06,19:00:00,2.0,3318.0,3381.5,127.0,3191.0,0.0,48.065826,17.814999,22.15
V03A0G0,市高光復西側往西,正向放置,2017-03-06,20:00:00,2.0,3212.0,3263.0,102.0,3110.0,0.0,49.686028,16.86,23.09
V03A0G0,市高光復西側往西,正向放置,2017-03-06,21:00:00,2.0,2736.0,2769.5,67.0,2669.0,0.0,74.03347,7.97,26.654999
V03A0G0,市高光復西側往西,正向放置,2017-03-06,22:00:00,2.0,2736.0,2764.5,57.0,2679.0,0.0,74.514206,7.835,27.625
V03A0G0,市高光復西側往西,正向放置,2017-03-06,23:00:00,2.0,1955.0,1970.5,31.0,1924.0,0.0,78.6304,5.0699997,42.55
V03A0G0,市高光復西側往西,正向放置,2017-03-07,00:00:00,2.0,1248.0,1257.5,19.0,1229.0,0.0,81.55806,2.9850001,67.41
V03A0G0,市高光復西側往西,正向放置,2017-03-07,01:00:00,2.0,849.0,852.5,7.0,842.0,0.0,83.71979,1.8900001,97.965
V03A0G0,市高光復西側往西,正向放置,2017-03-07,02:00:00,2.0,603.0,605.0,4.0,599.0,0.0,82.87293,1.3199999,131.565
V03A0G0,市高光復西側往西,正向放置,2017-03-07,03:00:00,2.0,349.0,350.0,2.0,347.0,0.0,84.4316,0.71000004,134.565
V03A0G0,市高光復西側往西,正向放置,2017-03-07,04:00:00,2.0,390.0,390.5,1.0,389.0,0.0,84.11318,0.795,157.34
V03A0G0,市高光復西側往西,正向放置,2017-03-07,05:00:00,2.0,423.0,426.5,7.0,416.0,0.0,84.24348,0.92499995,180.35
V03A0G0,市高光復西側往西,正向放置,2017-03-07,06:00:00,2.0,545.0,551.5,13.0,532.0,0.0,83.992294,1.24,153.355
V03A0G0,市高光復西側往西,正向放置,2017-03-07,07:00:00,2.0,1405.0,1425.0,40.0,1365.0,0.0,81.16758,3.54,70.46
V03A0G0,市高光復西側往西,正向放置,2017-03-07,08:00:00,2.0,3921.0,3972.5,103.0,3818.0,0.0,68.154205,13.025,19.04
V03A0G0,市高光復西側往西,正向放置,2017-03-07,09:00:00,2.0,3924.0,3962.5,77.0,3847.0,0.0,60.180977,14.945,18.4
V03A0G0,市高光復西側往西,正向放置,2017-03-07,10:00:00,2.0,3688.0,3725.0,74.0,3614.0,0.0,67.15151,12.335,19.689999
V03A0G0,市高光復西側往西,正向放置,2017-03-07,11:00:00,2.0,3623.0,3659.0,72.0,3551.0,0.0,66.2244,12.370001,20.055
V03A0G0,市高光復西側往西,正向放置,2017-03-07,12:00:00,2.0,3464.0,3502.0,76.0,3388.0,0.0,68.21604,11.405,21.224998
V03A0G0,市高光復西側往西,正向放置,2017-03-07,13:00:00,2.0,3367.0,3400.5,67.0,3300.0,0.0,66.95697,11.235,21.585
V03A0G0,市高光復西側往西,正向放置,2017-03-07,14:00:00,2.0,3520.0,3550.0,60.0,3460.0,0.0,60.423573,13.425,20.615
V03A0G0,市高光復西側往西,正向放置,2017-03-07,15:00:00,2.0,3672.0,3706.5,69.0,3603.0,0.0,51.581455,16.325,19.365
V03A0G0,市高光復西側往西,正向放置,2017-03-07,16:00:00,2.0,3494.0,3531.5,75.0,3419.0,0.0,48.115303,16.68,20.46
V03A0G0,市高光復西側往西,正向放置,2017-03-07,17:00:00,2.0,3500.0,3540.5,81.0,3419.0,0.0,50.96313,15.8,20.225
V03A0G0,市高光復西側往西,正向放置,2017-03-07,18:00:00,2.0,3332.0,3375.5,87.0,3245.0,0.0,47.013565,16.46,21.575
V03A0G0,市高光復西側往西,正向放置,2017-03-07,19:00:00,2.0,3131.0,3188.5,115.0,3016.0,0.0,41.233448,18.695,23.16
V03A0G0,市高光復西側往西,正向放置,2017-03-07,20:00:00,2.0,3131.0,3171.0,80.0,3051.0,0.0,54.883877,13.879999,23.385
V03A0G0,市高光復西側往西,正向放置,2017-03-07,21:00:00,2.0,2727.0,2757.0,60.0,2667.0,0.0,70.85167,8.515,27.189999
V03A0G0,市高光復西側往西,正向放置,2017-03-07,22:00:00,2.0,2748.0,2779.0,62.0,2686.0,0.0,74.09707,7.98,27.224998
V03A0G0,市高光復西側往西,正向放置,2017-03-07,23:00:00,2.0,1955.0,1972.5,35.0,1920.0,0.0,77.64514,5.19,41.260002
V03A0G0,市高光復西側往西,正向放置,2017-03-08,00:00:00,2.0,1197.0,1204.0,14.0,1183.0,0.0,81.46269,2.85,70.3
V03A0G0,市高光復西側往西,正向放置,2017-03-08,01:00:00,2.0,812.0,814.5,5.0,807.0,0.0,83.23376,1.8199999,109.51
V03A0G0,市高光復西側往西,正向放置,2017-03-08,02:00:00,2.0,581.0,583.5,5.0,576.0,0.0,83.97156,1.2850001,139.75
