EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,00:00:00,2.0,634.0,638.0,8.0,626.0,0.0,56.28555,1.96,141.7
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,01:00:00,2.0,408.0,408.0,0.0,408.0,0.0,59.386078,1.03,188.465
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,02:00:00,2.0,236.0,237.5,3.0,233.0,0.0,55.84276,0.645,226.20999
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,03:00:00,2.0,176.0,176.5,1.0,175.0,0.0,56.55273,0.45999998,237.33499
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,04:00:00,2.0,108.0,108.0,0.0,108.0,0.0,56.337498,0.25,244.33
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,05:00:00,2.0,124.0,124.5,1.0,123.0,0.0,59.38919,0.215,243.75
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,06:00:00,2.0,243.0,248.5,11.0,232.0,0.0,53.529507,0.90999997,222.125
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,07:00:00,2.0,757.0,779.0,42.0,707.0,0.0,51.251396,3.405,132.2
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,08:00:00,2.0,2185.0,2236.5,103.0,2082.0,0.0,44.382496,16.939999,53.545
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,09:00:00,2.0,2160.0,2223.5,127.0,2033.0,0.0,41.145508,19.615,73.5
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,10:00:00,2.0,2102.0,2158.5,113.0,1989.0,0.0,43.09017,19.45,53.535
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,11:00:00,2.0,2023.0,2073.0,100.0,1923.0,0.0,49.34249,10.610001,39.379997
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,12:00:00,2.0,2081.0,2122.5,83.0,1998.0,0.0,48.27399,11.620001,38.655
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,13:00:00,2.0,2008.0,2053.0,90.0,1918.0,0.0,48.650875,10.785,38.760002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,14:00:00,2.0,2104.0,2158.5,109.0,1995.0,0.0,46.4493,12.725,37.665
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,15:00:00,2.0,2275.0,2337.5,125.0,2150.0,0.0,41.549118,17.21,37.449997
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,16:00:00,2.0,2144.0,2191.0,94.0,2050.0,0.0,46.346745,12.815,36.864998
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,17:00:00,2.0,2129.0,2187.0,110.0,2004.0,0.0,43.91001,17.835,37.965
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,18:00:00,2.0,2250.0,2300.5,101.0,2149.0,0.0,40.287106,20.5,41.55
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,19:00:00,2.0,2156.0,2205.5,99.0,2057.0,0.0,36.94932,22.2,47.765
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,20:00:00,2.0,2140.0,2185.5,91.0,2042.0,0.0,37.619144,21.51,48.48
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,21:00:00,2.0,1738.0,1792.0,108.0,1624.0,0.0,46.34007,12.35,49.175
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,22:00:00,2.0,1627.0,1669.5,85.0,1542.0,0.0,46.805603,10.674999,48.765
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-03,23:00:00,2.0,1231.0,1251.5,41.0,1190.0,0.0,49.857445,6.87,72.76
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,00:00:00,2.0,848.0,851.5,7.0,841.0,0.0,56.765274,2.6750002,110.12
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,01:00:00,2.0,548.0,549.5,3.0,545.0,0.0,59.387096,1.45,154.33499
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,02:00:00,2.0,364.0,364.5,1.0,363.0,0.0,58.929398,0.95,197.25
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,03:00:00,2.0,271.0,271.0,0.0,271.0,0.0,59.778374,0.575,218.625
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,04:00:00,2.0,202.0,202.5,1.0,201.0,0.0,60.090393,0.36,233.125
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,05:00:00,2.0,215.0,216.0,2.0,213.0,0.0,58.694557,0.545,230.705
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,06:00:00,2.0,269.0,273.0,8.0,261.0,0.0,57.37684,0.745,217.705
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,07:00:00,2.0,481.0,488.0,14.0,467.0,0.0,56.114944,1.55,170.89
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,08:00:00,2.0,1070.0,1076.5,13.0,1057.0,0.0,55.83671,3.5500002,85.59
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,09:00:00,2.0,1446.0,1469.5,47.0,1399.0,0.0,52.321156,6.085,60.915
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,10:00:00,2.0,1675.0,1700.0,50.0,1625.0,0.0,52.40875,6.9,48.585
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,11:00:00,2.0,1815.0,1857.0,84.0,1731.0,0.0,50.0522,9.705,45.265
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,12:00:00,2.0,2133.0,2188.5,111.0,2007.0,0.0,47.084557,12.78,38.085
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,13:00:00,2.0,1966.0,2006.5,81.0,1885.0,0.0,48.643307,10.54,40.795
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,14:00:00,2.0,1954.0,1991.5,75.0,1879.0,0.0,49.21692,10.1,41.875
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,15:00:00,2.0,2047.0,2102.5,111.0,1936.0,0.0,45.099342,14.775,39.025
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,16:00:00,2.0,1906.0,1961.5,109.0,1776.0,0.0,46.238262,14.485001,44.074997
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,17:00:00,2.0,1897.0,1945.5,97.0,1800.0,0.0,46.972588,15.6,42.265
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,18:00:00,2.0,2181.0,2225.5,89.0,2092.0,0.0,43.50802,17.625,39.864998
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,19:00:00,2.0,2010.0,2065.0,110.0,1900.0,0.0,42.28024,16.465,43.11
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,20:00:00,2.0,1440.0,1472.5,65.0,1375.0,0.0,49.585068,8.385,56.54
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,21:00:00,2.0,1318.0,1345.5,55.0,1263.0,0.0,50.22899,7.3,65.88
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,22:00:00,2.0,1404.0,1443.5,79.0,1325.0,0.0,48.565243,8.415,59.725002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-04,23:00:00,2.0,1123.0,1137.5,29.0,1094.0,0.0,53.048157,4.6000004,78.94
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,00:00:00,2.0,721.0,724.0,6.0,715.0,0.0,57.632748,2.1,127.01
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,01:00:00,2.0,467.0,467.0,0.0,467.0,0.0,59.208416,1.225,172.39
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,02:00:00,2.0,350.0,351.5,3.0,347.0,0.0,54.076,1.2049999,197.6
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,03:00:00,2.0,239.0,239.5,1.0,238.0,0.0,59.03527,0.57,227.455
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,04:00:00,2.0,216.0,216.0,0.0,216.0,0.0,60.733982,0.4,229.375
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,05:00:00,2.0,202.0,202.5,1.0,201.0,0.0,59.54673,0.425,232.16501
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,06:00:00,2.0,226.0,229.0,6.0,220.0,0.0,57.7385,0.58500004,223.70999
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,07:00:00,2.0,394.0,398.5,9.0,385.0,0.0,57.08221,1.185,189.2
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,08:00:00,2.0,729.0,736.5,15.0,714.0,0.0,56.917202,2.2649999,126.74
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,09:00:00,2.0,966.0,973.0,14.0,952.0,0.0,56.336334,3.085,89.42
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,10:00:00,2.0,1220.0,1239.0,38.0,1182.0,0.0,55.16606,4.265,69.61
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,11:00:00,2.0,1421.0,1441.5,41.0,1380.0,0.0,53.928616,5.675,57.515
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,12:00:00,2.0,1767.0,1794.0,54.0,1713.0,0.0,51.448742,8.14,46.875
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,13:00:00,2.0,1669.0,1690.5,43.0,1626.0,0.0,53.989,6.425,50.065002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,14:00:00,2.0,1661.0,1682.5,43.0,1618.0,0.0,53.112865,6.4700003,50.305
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,15:00:00,2.0,1826.0,1879.5,107.0,1719.0,0.0,47.498264,11.835,42.76
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,16:00:00,2.0,1874.0,1934.0,120.0,1754.0,0.0,47.315285,12.095,43.485
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,17:00:00,2.0,1913.0,1969.0,110.0,1792.0,0.0,47.030125,12.98,42.550003
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,18:00:00,2.0,1969.0,2032.0,126.0,1829.0,0.0,44.54884,15.4,41.635002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,19:00:00,2.0,1675.0,1715.0,80.0,1595.0,0.0,47.086296,11.775,49.07
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,20:00:00,2.0,1458.0,1490.5,65.0,1393.0,0.0,49.111675,7.665,53.260002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,21:00:00,2.0,1285.0,1314.5,59.0,1226.0,0.0,50.58695,7.145,68.244995
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,22:00:00,2.0,1387.0,1419.5,65.0,1322.0,0.0,49.853687,7.145,62.315
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-05,23:00:00,2.0,842.0,850.5,17.0,825.0,0.0,55.45387,3.025,112.035
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,00:00:00,2.0,524.0,525.0,2.0,522.0,0.0,57.907635,1.53,158.63501
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,01:00:00,2.0,289.0,289.0,0.0,289.0,0.0,59.117405,0.685,211.0
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,02:00:00,2.0,212.0,212.0,0.0,212.0,0.0,58.79,0.465,231.455
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,03:00:00,2.0,112.0,112.0,0.0,112.0,0.0,57.635357,0.19,246.66501
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,04:00:00,2.0,103.0,103.5,1.0,102.0,0.0,59.807476,0.14,247.91501
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,05:00:00,2.0,91.0,92.5,3.0,88.0,0.0,58.605274,0.15,249.16501
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,06:00:00,2.0,189.0,191.5,5.0,184.0,0.0,56.077568,0.54999995,232.91501
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,07:00:00,2.0,763.0,780.0,34.0,729.0,0.0,52.144287,3.4850001,132.765
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,08:00:00,2.0,2002.0,2043.0,82.0,1920.0,0.0,44.15178,15.754999,45.91
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,09:00:00,2.0,2115.0,2163.0,95.0,2016.0,0.0,38.912815,22.060001,74.26
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,10:00:00,2.0,2145.0,2198.0,106.0,2039.0,0.0,38.50916,23.5,78.31
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,11:00:00,2.0,1947.0,1985.5,77.0,1870.0,0.0,48.589554,10.264999,44.46
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,12:00:00,2.0,1924.0,1958.5,69.0,1855.0,0.0,49.296425,9.285,43.980003
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,13:00:00,2.0,1842.0,1881.0,78.0,1764.0,0.0,49.959488,8.889999,42.97
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,14:00:00,2.0,1993.0,2031.5,77.0,1916.0,0.0,47.73287,10.74,40.485
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,15:00:00,2.0,2120.0,2167.5,95.0,2025.0,0.0,46.33336,12.54,37.905
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,16:00:00,2.0,1962.0,2014.0,104.0,1858.0,0.0,47.210506,11.465,40.6
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,17:00:00,2.0,2032.0,2091.5,119.0,1913.0,0.0,44.232777,15.725,40.735
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,18:00:00,2.0,2150.0,2197.5,95.0,2055.0,0.0,40.050762,19.595,44.620003
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,19:00:00,2.0,2181.0,2226.0,90.0,2081.0,0.0,37.20508,24.75,46.3
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,20:00:00,2.0,2013.0,2063.0,100.0,1913.0,0.0,40.107132,17.905,45.2
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,21:00:00,2.0,1551.0,1591.5,81.0,1470.0,0.0,48.33959,9.375,50.79
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,22:00:00,2.0,1417.0,1454.5,75.0,1342.0,0.0,48.725296,8.55,56.64
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-06,23:00:00,2.0,950.0,963.5,27.0,923.0,0.0,53.920425,3.875,92.25
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,00:00:00,2.0,575.0,577.0,4.0,571.0,0.0,58.444736,1.62,148.85
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,01:00:00,2.0,292.0,292.0,0.0,292.0,0.0,60.37534,0.69,211.75
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,02:00:00,2.0,194.0,194.0,0.0,194.0,0.0,59.43175,0.425,231.625
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,03:00:00,2.0,133.0,134.0,2.0,131.0,0.0,58.39458,0.275,244.58499
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,04:00:00,2.0,105.0,105.0,0.0,105.0,0.0,59.36314,0.17,248.33
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,05:00:00,2.0,99.0,99.5,1.0,98.0,0.0,59.25283,0.15,247.25
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,06:00:00,2.0,222.0,228.0,12.0,210.0,0.0,55.708015,0.70000005,226.59
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,07:00:00,2.0,780.0,799.5,39.0,741.0,0.0,54.02669,3.12,126.95
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,08:00:00,2.0,2190.0,2236.5,93.0,2097.0,0.0,44.534744,18.16,44.135002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,09:00:00,2.0,2183.0,2237.5,109.0,2074.0,0.0,39.110294,24.335,64.61
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,10:00:00,2.0,2255.0,2302.0,94.0,2161.0,0.0,39.299328,20.865,49.22
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,11:00:00,2.0,2094.0,2152.0,116.0,1978.0,0.0,46.554054,12.2,39.555
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,12:00:00,2.0,2032.0,2079.0,94.0,1938.0,0.0,47.813072,11.059999,38.4
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,13:00:00,2.0,1922.0,1962.5,81.0,1841.0,0.0,49.372383,10.0,41.4
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,14:00:00,2.0,2203.0,2265.5,123.0,2066.0,0.0,39.004917,20.85,45.93
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,15:00:00,2.0,2229.0,2285.5,113.0,2116.0,0.0,39.60374,20.2,43.434998
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,16:00:00,2.0,2208.0,2255.5,95.0,2103.0,0.0,41.652084,17.905,43.059998
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,17:00:00,2.0,2082.0,2141.5,119.0,1963.0,0.0,42.608624,17.1,39.885002
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,18:00:00,2.0,2135.0,2191.5,113.0,2022.0,0.0,40.810066,16.130001,41.265
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,19:00:00,2.0,2047.0,2091.5,88.0,1951.0,0.0,36.553726,21.23,47.08
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,20:00:00,2.0,2131.0,2178.5,95.0,2036.0,0.0,38.383614,19.985,42.89
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,21:00:00,2.0,1640.0,1694.0,108.0,1532.0,0.0,46.60754,11.065001,48.25
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,22:00:00,2.0,1440.0,1479.0,78.0,1362.0,0.0,47.72471,9.135,57.265
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-07,23:00:00,2.0,976.0,995.5,39.0,937.0,0.0,53.13975,4.335,87.675
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,00:00:00,2.0,595.0,597.5,5.0,590.0,0.0,57.30874,1.79,142.675
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,01:00:00,2.0,333.0,333.5,1.0,332.0,0.0,58.62561,0.85,199.75
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,02:00:00,2.0,192.0,192.0,0.0,192.0,0.0,59.797134,0.39499998,228.45999
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,03:00:00,2.0,136.0,136.5,1.0,135.0,0.0,58.209408,0.28,243.92
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,04:00:00,2.0,108.0,108.0,0.0,108.0,0.0,59.0,0.185,245.42
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,05:00:00,2.0,96.0,97.5,3.0,93.0,0.0,58.06354,0.175,247.25
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,06:00:00,2.0,227.0,232.5,11.0,216.0,0.0,54.71004,0.77,224.29001
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,07:00:00,2.0,769.0,782.5,25.0,732.0,0.0,53.800797,2.8,128.775
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,08:00:00,2.0,2123.0,2179.5,113.0,2010.0,0.0,44.62453,15.46,41.525
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,09:00:00,2.0,2138.0,2196.5,116.0,2014.0,0.0,39.837215,19.895,60.21
V6380E0,正氣橋接基隆路出口,正向放置,2017-03-08,10:00:00,2.0,2163.0,2207.5,89.0,2074.0,0.0,38.888355,21.915,47.33
