EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,00:00:00,2.0,764.0,771.5,15.0,749.0,0.0,59.07153,2.375,136.86
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,01:00:00,2.0,428.0,430.0,4.0,424.0,0.0,60.434254,1.1,192.13501
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,02:00:00,2.0,258.0,259.5,3.0,255.0,0.0,63.530003,0.635,213.22
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,03:00:00,2.0,206.0,206.5,1.0,205.0,0.0,63.81524,0.465,219.08
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,04:00:00,2.0,140.0,140.0,0.0,140.0,0.0,63.642857,0.335,235.25
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,05:00:00,2.0,189.0,189.0,0.0,189.0,0.0,64.46481,0.425,221.965
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,06:00:00,2.0,255.0,256.0,2.0,253.0,0.0,61.906467,0.67,213.57501
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,07:00:00,2.0,632.0,643.5,23.0,609.0,0.0,59.446518,2.145,161.335
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,08:00:00,2.0,2186.0,2227.0,82.0,2104.0,0.0,52.218536,9.825,55.035004
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,09:00:00,2.0,2786.0,2834.0,96.0,2690.0,0.0,47.8673,14.099999,32.97
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,10:00:00,2.0,2460.0,2500.5,81.0,2379.0,0.0,48.553333,12.015,41.795
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,11:00:00,2.0,2114.0,2147.5,67.0,2047.0,0.0,50.694965,9.35,62.165
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,12:00:00,2.0,1878.0,1904.0,52.0,1826.0,0.0,53.730576,7.3,73.81
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,13:00:00,2.0,1866.0,1901.5,71.0,1795.0,0.0,53.55147,7.525,72.93
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,14:00:00,2.0,1994.0,2028.0,68.0,1926.0,0.0,51.886,8.525,71.655
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,15:00:00,2.0,2135.0,2161.5,53.0,2082.0,0.0,51.994053,8.875,65.96
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,16:00:00,2.0,2023.0,2051.5,57.0,1966.0,0.0,50.62197,8.985,53.335
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,17:00:00,2.0,1728.0,1804.0,152.0,1576.0,0.0,35.715622,17.414999,34.85
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,18:00:00,2.0,1867.0,1912.5,91.0,1776.0,0.0,47.15449,10.54,38.025
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,19:00:00,2.0,1743.0,1769.0,52.0,1691.0,0.0,50.74972,7.6000004,44.175
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,20:00:00,2.0,1890.0,1923.0,66.0,1824.0,0.0,53.09893,7.8650002,61.85
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,21:00:00,2.0,1790.0,1820.0,60.0,1730.0,0.0,54.463486,6.97,64.744995
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,22:00:00,2.0,1994.0,2025.5,63.0,1931.0,0.0,53.18663,8.085,58.945
V7010A0,環東出城接麥二橋,正向放置,2017-03-03,23:00:00,2.0,1889.0,1916.5,55.0,1834.0,0.0,54.220295,7.4049997,77.625
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,00:00:00,2.0,1092.0,1104.0,24.0,1068.0,0.0,58.63247,3.565,108.915
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,01:00:00,2.0,754.0,758.5,9.0,745.0,0.0,60.45991,2.255,138.525
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,02:00:00,2.0,483.0,485.5,5.0,478.0,0.0,62.63857,1.265,176.33
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,03:00:00,2.0,379.0,380.0,2.0,377.0,0.0,63.046673,0.92499995,185.235
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,04:00:00,2.0,316.0,317.0,2.0,314.0,0.0,63.15642,0.8,197.63501
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,05:00:00,2.0,288.0,288.0,0.0,288.0,0.0,63.44163,0.67,203.675
V7010A0,環東出城接麥二橋,正向放置,2017-03-04,06:00:00,2.0,324.0,325.5,3.0,321.0,0.0,62.251385,0.84999996,201.65
