EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VGYS640,松仁-松平 往南,正向放置,2017-03-03,00:00:00,2.0,181.0,192.10526,3.0,178.0,0.0,50.802822,0.375,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,01:00:00,2.0,122.0,131.7857,2.0,120.0,0.0,57.66459,0.135,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,02:00:00,2.0,106.0,107.5,3.0,103.0,0.0,56.594997,0.13,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,03:00:00,2.0,59.0,60.5,3.0,56.0,0.0,56.59695,0.049999997,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,04:00:00,2.0,67.0,67.0,0.0,67.0,0.0,55.375225,0.049999997,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,05:00:00,2.0,51.0,51.5,1.0,50.0,0.0,56.472355,0.035,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,06:00:00,2.0,106.0,106.5,1.0,105.0,0.0,53.74651,0.075,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,07:00:00,2.0,290.0,295.0,10.0,280.0,0.0,53.420933,0.85,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,08:00:00,2.0,733.0,739.5,13.0,720.0,0.0,49.314697,2.6,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,09:00:00,2.0,905.0,940.16943,39.0,866.0,0.0,44.584366,4.49,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,10:00:00,2.0,726.0,737.0,22.0,704.0,0.0,45.122066,3.135,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,11:00:00,2.0,611.0,619.5,17.0,594.0,0.0,46.30329,2.6,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,12:00:00,2.0,568.0,576.5,17.0,551.0,0.0,47.48794,2.315,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,13:00:00,2.0,544.0,552.0,16.0,528.0,0.0,48.46914,2.16,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,14:00:00,2.0,554.0,592.1053,17.0,537.0,0.0,47.339928,2.43,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,15:00:00,2.0,617.0,626.5,19.0,598.0,0.0,46.680195,2.58,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,16:00:00,2.0,594.0,601.5,15.0,579.0,0.0,46.89722,2.35,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,17:00:00,2.0,584.0,605.5932,23.0,561.0,0.0,46.718357,2.635,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,18:00:00,2.0,573.0,606.2069,26.0,547.0,0.0,44.119022,2.67,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,19:00:00,2.0,579.0,586.0,14.0,565.0,0.0,44.209446,2.515,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,20:00:00,2.0,527.0,540.5,27.0,500.0,0.0,44.576397,2.24,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,21:00:00,2.0,515.0,528.5,27.0,488.0,0.0,45.183495,2.1399999,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,22:00:00,2.0,570.0,578.5,17.0,553.0,0.0,46.16642,2.1399999,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-03,23:00:00,2.0,388.0,392.5,9.0,379.0,0.0,48.328484,1.175,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,00:00:00,2.0,248.0,251.0,6.0,242.0,0.0,51.249516,0.555,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,01:00:00,2.0,167.0,169.8305,0.0,167.0,0.0,55.859703,0.235,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,02:00:00,2.0,131.0,132.0,2.0,129.0,0.0,54.91649,0.16,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,03:00:00,2.0,103.0,104.0,2.0,101.0,0.0,54.969707,0.095,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,04:00:00,2.0,87.0,87.0,0.0,87.0,0.0,54.124596,0.06,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,05:00:00,2.0,70.0,70.0,0.0,70.0,0.0,54.2,0.015,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,06:00:00,2.0,122.0,125.5,7.0,115.0,0.0,51.770985,0.25,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,07:00:00,2.0,202.0,204.5,5.0,197.0,0.0,56.44821,0.375,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,08:00:00,2.0,369.0,374.0,10.0,359.0,0.0,51.63225,1.125,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,09:00:00,2.0,491.0,496.5,11.0,480.0,0.0,51.537598,1.525,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,10:00:00,2.0,531.0,536.5,11.0,520.0,0.0,49.606647,1.7649999,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,11:00:00,2.0,632.0,639.5,15.0,617.0,0.0,49.121075,2.3899999,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,12:00:00,2.0,595.0,600.0,10.0,585.0,0.0,48.07558,2.165,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,13:00:00,2.0,603.0,607.5,9.0,594.0,0.0,48.36637,2.18,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,14:00:00,2.0,627.0,637.5,21.0,606.0,0.0,46.37834,2.43,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,15:00:00,2.0,587.0,594.0,14.0,573.0,0.0,47.94884,2.2649999,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,16:00:00,2.0,607.0,619.0,24.0,583.0,0.0,47.345486,2.28,0.0
VGYS640,松仁-松平 往南,正向放置,2017-03-04,17:00:00,2.0,744.0,765.0,42.0,702.0,0.0,44.284344,3.27,0.0
