EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,00:00:00,2.0,123.0,145.71428,26.0,97.0,0.0,43.854797,1.61,76.104996
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,01:00:00,2.0,92.0,100.0,6.0,86.0,0.0,45.846954,1.14,70.009995
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,02:00:00,2.0,69.0,70.0,2.0,67.0,0.0,47.823475,0.67499995,52.265
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,03:00:00,2.0,39.0,40.16949,1.0,38.0,0.0,45.898205,0.375,39.615
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,04:00:00,2.0,29.0,29.5,1.0,28.0,0.0,46.31276,0.265,26.275
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,05:00:00,2.0,40.0,41.0,2.0,38.0,0.0,48.05,0.37,32.565
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,06:00:00,2.0,78.0,86.5,17.0,61.0,0.0,42.43769,1.0350001,54.95
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,07:00:00,2.0,625.0,679.5,68.0,253.0,0.0,45.83698,4.215,93.195
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,08:00:00,2.0,1067.0,1600.709,63.0,577.0,-4.0,46.575912,14.174999,63.13
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,09:00:00,2.0,866.0,2097.5454,101.0,590.0,-4.0,43.532753,47.475,42.06
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,10:00:00,2.0,876.0,1244.4425,80.0,751.0,-5.0,45.74087,18.1,66.28
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,11:00:00,2.0,779.0,908.6792,109.0,657.0,-2.0,43.885624,11.49,93.505005
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,12:00:00,2.0,701.0,813.6785,151.0,534.0,-1.0,45.200718,10.365,93.56
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,13:00:00,2.0,646.0,705.1052,70.0,576.0,0.0,45.041485,8.71,104.369995
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,14:00:00,2.0,699.0,739.0,80.0,613.0,0.0,44.700302,8.950001,94.35
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,15:00:00,2.0,687.0,736.20337,77.0,595.0,0.0,44.75405,8.885,104.39
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,16:00:00,2.0,625.0,722.3948,143.0,479.0,-1.0,44.523865,9.645,100.899994
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,17:00:00,2.0,710.0,786.921,103.0,598.0,-1.0,44.616802,10.02,100.494995
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,18:00:00,2.0,866.0,1030.5208,81.0,697.0,-2.0,44.423607,11.955,84.11
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,19:00:00,2.0,864.0,1088.3262,102.0,750.0,-2.0,41.46365,18.83,75.415
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,20:00:00,2.0,706.0,772.5263,80.0,628.0,-2.0,42.930286,10.49,93.94
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,21:00:00,2.0,490.0,520.5,61.0,429.0,0.0,43.969715,6.2749996,121.97
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,22:00:00,2.0,503.0,533.5,60.0,435.0,0.0,43.150665,6.685,113.149994
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-03,23:00:00,2.0,422.0,453.74576,54.0,368.0,0.0,43.857655,5.545,112.685
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,00:00:00,2.0,219.0,231.0,24.0,195.0,0.0,45.63854,2.53,98.345
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,01:00:00,2.0,125.0,128.0,6.0,119.0,0.0,45.8008,1.345,75.119995
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,02:00:00,2.0,81.0,81.5,1.0,80.0,0.0,47.38,0.78999996,58.635002
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,03:00:00,2.0,78.0,79.830505,1.0,77.0,0.0,46.02923,0.765,70.18
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,04:00:00,2.0,80.0,81.5,3.0,77.0,0.0,46.8005,0.78999996,59.025
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,05:00:00,2.0,55.0,60.5,11.0,44.0,0.0,46.83618,0.685,47.355003
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,06:00:00,2.0,81.0,90.5,19.0,62.0,0.0,42.82642,1.115,58.9
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,07:00:00,2.0,142.0,165.5,47.0,95.0,0.0,44.321407,2.115,77.51
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,08:00:00,2.0,513.0,578.5,128.0,374.0,0.0,44.961395,7.49,99.635
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,09:00:00,2.0,600.0,656.2881,99.0,497.0,0.0,45.91436,8.195,104.729996
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,10:00:00,2.0,709.0,775.04236,92.0,580.0,0.0,44.582054,8.67,103.100006
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,11:00:00,2.0,700.0,835.60376,149.0,511.0,0.0,45.453,10.195,100.485
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,12:00:00,2.0,783.0,933.7647,115.0,649.0,0.0,44.643524,12.725,87.925
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,13:00:00,2.0,760.0,857.5,75.0,670.0,0.0,44.95133,11.014999,91.229996
VGYS7A0,往松仁路出口匝道3+970,正向放置,2017-03-04,14:00:00,2.0,759.0,819.7414,77.0,669.0,0.0,44.044117,11.135,95.83501
