EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VHEPV00,光復南-信義往北,正向放置,2017-03-03,00:00:00,2.0,180.0,194.21053,9.0,171.0,0.0,50.18778,1.3399999,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,01:00:00,2.0,131.0,138.94736,2.0,129.0,0.0,50.473125,0.9,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,02:00:00,2.0,101.0,102.0,2.0,99.0,0.0,50.229603,0.7,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,03:00:00,2.0,69.0,73.0,8.0,61.0,0.0,51.28797,0.49,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,04:00:00,2.0,48.0,49.5,3.0,45.0,0.0,55.55958,0.325,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,05:00:00,2.0,65.0,68.13559,4.0,61.0,0.0,49.276,0.485,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,06:00:00,2.0,90.0,93.0,6.0,84.0,0.0,47.17911,0.66499996,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,07:00:00,2.0,163.0,171.0,16.0,147.0,0.0,49.87914,1.1099999,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,08:00:00,2.0,369.0,381.0,24.0,345.0,0.0,41.377316,3.0,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,09:00:00,2.0,513.0,533.0,44.0,467.0,2.0,36.418655,4.675,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,10:00:00,2.0,558.0,584.5,53.0,505.0,0.0,35.423225,5.51,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,11:00:00,2.0,541.0,556.0,36.0,502.0,3.0,36.33826,4.715,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,12:00:00,2.0,539.0,556.0,34.0,505.0,0.0,41.062138,4.4049997,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,13:00:00,2.0,494.0,503.0,18.0,476.0,0.0,40.188137,3.965,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,14:00:00,2.0,487.0,510.50845,30.0,457.0,0.0,40.43595,4.13,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,15:00:00,2.0,594.0,623.0,58.0,536.0,0.0,31.770035,6.125,0.0
VHEPV00,光復南-信義往北,正向放置,2017-03-03,16:00:00,2.0,567.0,593.5,53.0,514.0,0.0,35.186543,5.525,0.0
