EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,00:00:00,3.0,263.0,286.3158,18.0,245.0,0.0,42.754486,1.54,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,01:00:00,3.0,171.0,188.72726,4.0,167.0,0.0,44.381752,0.91333336,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,02:00:00,3.0,175.0,175.0,0.0,175.0,0.0,44.066116,0.90000004,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,03:00:00,3.0,121.0,126.2069,2.0,119.0,0.0,47.174545,0.62666667,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,04:00:00,3.0,139.0,140.0,2.0,137.0,0.0,49.041153,0.6833334,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,05:00:00,3.0,95.0,98.793106,1.0,94.0,0.0,44.187473,0.5166667,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,06:00:00,3.0,69.0,74.5,11.0,58.0,0.0,43.63623,0.40666664,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,07:00:00,3.0,192.0,223.44827,48.0,144.0,0.0,43.142086,1.2800001,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,08:00:00,3.0,459.0,491.5,65.0,394.0,0.0,42.72449,2.6000001,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,09:00:00,3.0,505.0,569.47363,72.0,433.0,0.0,38.620888,3.3466666,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,10:00:00,3.0,635.0,683.5,97.0,538.0,0.0,40.34241,3.87,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,11:00:00,3.0,592.0,664.65515,101.0,491.0,0.0,36.87591,4.0533333,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,12:00:00,3.0,610.0,659.5,99.0,511.0,0.0,40.67651,3.6900003,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,13:00:00,3.0,554.0,614.4828,80.0,474.0,0.0,38.464153,3.5433338,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,14:00:00,3.0,638.0,694.0,112.0,526.0,0.0,39.275425,4.126667,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,15:00:00,3.0,658.0,719.4828,75.0,583.0,0.0,38.73313,4.186667,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,16:00:00,3.0,684.0,734.0,100.0,584.0,0.0,39.272076,4.21,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,17:00:00,3.0,687.0,760.8621,97.0,590.0,0.0,39.761078,4.3266664,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,18:00:00,3.0,812.0,873.5,123.0,689.0,0.0,38.96797,5.0333333,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,19:00:00,3.0,783.0,873.62067,123.0,660.0,0.0,36.473656,5.3700004,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,20:00:00,3.0,786.0,849.0,126.0,660.0,0.0,36.776413,5.286667,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,21:00:00,3.0,738.0,814.13794,98.0,640.0,0.0,39.10733,4.7633333,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,22:00:00,3.0,798.0,845.0,94.0,704.0,0.0,38.924988,4.883333,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-03,23:00:00,3.0,593.0,651.2069,73.0,520.0,0.0,39.724266,3.8099997,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,00:00:00,3.0,503.0,521.5,37.0,466.0,0.0,42.601295,2.7233334,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,01:00:00,3.0,390.0,412.75864,18.0,372.0,0.0,43.82495,2.0466669,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,02:00:00,3.0,282.0,284.0,4.0,278.0,0.0,46.09943,1.36,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,03:00:00,3.0,249.0,258.6207,2.0,247.0,0.0,44.65811,1.25,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,04:00:00,3.0,286.0,290.0,8.0,278.0,0.0,43.835243,1.4166666,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,05:00:00,3.0,295.0,307.75864,5.0,290.0,0.0,41.666374,1.5933332,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,06:00:00,3.0,121.0,125.5,9.0,112.0,0.0,42.594627,0.68666667,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,07:00:00,3.0,132.0,148.96552,24.0,108.0,0.0,44.765453,0.8166666,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,08:00:00,3.0,255.0,273.0,36.0,219.0,0.0,41.44914,1.5833334,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,09:00:00,3.0,306.0,341.0526,36.0,270.0,0.0,42.37618,1.7733334,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,10:00:00,3.0,430.0,456.5,53.0,377.0,0.0,43.32151,2.3866665,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,11:00:00,3.0,480.0,517.75867,41.0,439.0,0.0,40.127625,2.8633335,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,12:00:00,3.0,594.0,627.5,67.0,527.0,0.0,39.5517,3.5833333,0.0
VHXS600,松仁-松勇 往北,正向放置,2017-03-04,13:00:00,3.0,582.0,635.6897,65.0,517.0,0.0,40.58699,3.6233332,0.0
