EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,04:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,05:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,06:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,07:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,08:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,09:00:00,2.0,797.0,803.5,13.0,784.0,0.0,34.60469,9.19,39.755
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,10:00:00,2.0,1330.0,1340.5,21.0,1309.0,0.0,33.672894,17.865,72.994995
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,11:00:00,2.0,1311.0,1317.0,12.0,1299.0,0.0,33.402542,16.5,79.375
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,12:00:00,2.0,1154.0,1165.5,23.0,1131.0,0.0,54.498734,6.2,106.189995
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,13:00:00,2.0,1113.0,1125.0,24.0,1089.0,0.0,59.269035,4.29,106.71001
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,14:00:00,2.0,1136.0,1161.356,12.0,1124.0,0.0,55.02813,5.82,117.16499
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,15:00:00,2.0,1226.0,1233.5,15.0,1211.0,0.0,34.03806,13.28,93.57
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,16:00:00,2.0,1156.0,1184.7457,18.0,1138.0,0.0,26.349308,17.025,94.925
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,17:00:00,2.0,1146.0,1155.5,19.0,1127.0,0.0,27.847208,14.915001,101.575
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,18:00:00,2.0,142.0,143.5,3.0,139.0,0.0,54.790775,0.67999995,15.525
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,19:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,20:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,21:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,22:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-03,23:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-04,00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-04,01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-04,02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-04,03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9QP11,基隆路-松壽 往北,正向放置,2017-03-04,04:00:00,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
