EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,00:00:00,3.0,123.0,133.1579,7.0,116.0,0.0,39.35683,0.7633333,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,01:00:00,3.0,90.0,103.63636,10.0,80.0,0.0,39.59011,0.5833333,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,02:00:00,3.0,19.0,19.0,0.0,19.0,0.0,37.0,0.1,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,03:00:00,3.0,51.0,57.413795,9.0,42.0,0.0,28.02353,0.29333332,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,04:00:00,3.0,55.0,55.0,0.0,55.0,0.0,36.36182,0.29,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,05:00:00,3.0,55.0,61.034485,8.0,47.0,0.0,42.22182,0.28666666,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,06:00:00,3.0,50.0,56.0,12.0,38.0,0.0,24.3196,0.27666667,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,07:00:00,3.0,105.0,127.75862,37.0,68.0,0.0,33.03,0.8533333,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,08:00:00,3.0,304.0,330.5,53.0,251.0,0.0,33.535362,2.1866667,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,09:00:00,3.0,437.0,495.0,83.0,354.0,0.0,32.70254,2.7866669,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,10:00:00,3.0,409.0,438.5,59.0,350.0,0.0,35.274864,2.8500001,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,11:00:00,3.0,363.0,398.27588,44.0,319.0,0.0,34.06854,2.17,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,12:00:00,3.0,438.0,466.0,56.0,382.0,0.0,32.03064,3.0566666,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,13:00:00,3.0,410.0,450.00003,50.0,360.0,0.0,29.29522,2.42,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,14:00:00,3.0,415.0,429.0,28.0,387.0,0.0,30.73935,2.9333334,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,15:00:00,3.0,455.0,507.93103,72.0,383.0,0.0,29.023054,2.7833335,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,16:00:00,3.0,448.0,463.0,30.0,418.0,0.0,28.653193,3.5466664,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,17:00:00,3.0,442.0,492.41382,68.0,374.0,0.0,28.913237,3.2033336,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,18:00:00,3.0,479.0,502.5,47.0,432.0,0.0,29.825197,3.5833333,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,19:00:00,3.0,522.0,564.82764,48.0,474.0,0.0,27.247911,3.43,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,20:00:00,3.0,449.0,468.5,39.0,410.0,0.0,29.985945,3.25,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,21:00:00,3.0,417.0,460.34482,56.0,361.0,0.0,31.656475,2.8866665,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,22:00:00,3.0,425.0,440.5,31.0,394.0,0.0,28.325129,3.2099998,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-03,23:00:00,3.0,337.0,376.0714,28.0,309.0,0.0,34.02759,2.1766665,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,00:00:00,3.0,225.0,233.5,17.0,208.0,0.0,38.9792,1.2733333,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,01:00:00,3.0,146.0,166.07141,18.0,128.0,0.0,30.087944,0.86999995,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,02:00:00,3.0,116.0,124.0,16.0,100.0,0.0,35.411377,0.6666667,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,03:00:00,3.0,102.0,113.275856,15.0,87.0,0.0,33.576862,0.50666666,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,04:00:00,3.0,90.0,92.5,5.0,85.0,0.0,34.19167,0.5,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,05:00:00,3.0,70.0,84.82759,24.0,46.0,0.0,20.497286,0.38333336,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,06:00:00,3.0,76.0,81.0,10.0,66.0,0.0,32.594208,0.42666665,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,07:00:00,3.0,80.0,96.2069,26.0,54.0,0.0,27.40125,0.5466667,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,08:00:00,3.0,122.0,131.0,18.0,104.0,0.0,35.944344,0.8066667,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,09:00:00,3.0,195.0,209.48276,15.0,180.0,0.0,36.449177,1.11,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,10:00:00,3.0,234.0,250.5,33.0,201.0,0.0,39.73765,1.43,0.0
VI9RW20,松壽-松仁 往東,正向放置,2017-03-04,11:00:00,3.0,263.0,282.41382,20.0,243.0,0.0,36.474224,1.5866667,0.0
