EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,00:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,01:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,02:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,03:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,04:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,05:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,06:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,07:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,08:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,09:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,10:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,11:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,12:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,13:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,14:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,15:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,16:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,17:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
VI9S600,松仁-松壽 往北,正向放置,2017-03-03,18:00:00,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
