EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,00:00:00,3.0,117.0,139.2857,26.0,91.0,0.0,52.720516,0.18666667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,01:00:00,3.0,70.0,77.89473,8.0,62.0,0.0,51.314857,0.06666666,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,02:00:00,3.0,45.0,49.0,8.0,37.0,0.0,59.176888,0.040000003,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,03:00:00,3.0,58.0,64.0,12.0,46.0,0.0,54.878273,0.06333333,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,04:00:00,3.0,41.0,50.5,19.0,22.0,0.0,36.462685,0.02,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,05:00:00,3.0,30.0,33.0,6.0,24.0,0.0,53.265667,0.016666668,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,06:00:00,3.0,57.0,67.0,20.0,37.0,0.0,47.157894,0.123333335,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,07:00:00,3.0,182.0,207.25,50.0,127.0,0.0,40.539776,0.7166667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,08:00:00,3.0,570.0,653.758,139.0,432.0,-1.0,47.77421,2.05,-0.0066666664
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,09:00:00,3.0,961.0,1070.0,218.0,743.0,0.0,50.866074,3.3266666,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,10:00:00,3.0,713.0,804.0,182.0,531.0,0.0,47.66841,2.6266668,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,11:00:00,3.0,608.0,675.5,135.0,473.0,0.0,48.25941,2.2666667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,12:00:00,3.0,642.0,727.7586,123.0,519.0,0.0,42.81897,2.3233335,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,13:00:00,3.0,564.0,615.0,102.0,462.0,0.0,50.249718,1.8133334,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,14:00:00,3.0,590.0,652.5,125.0,465.0,0.0,50.128166,1.87,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,15:00:00,3.0,722.0,801.0,158.0,564.0,0.0,47.101597,2.5166667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,16:00:00,3.0,674.0,745.0,142.0,532.0,0.0,44.72358,2.5933332,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,17:00:00,3.0,620.0,718.9655,150.0,470.0,0.0,47.276302,2.1466668,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,18:00:00,3.0,772.0,852.0,160.0,612.0,0.0,46.48538,2.6899998,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,19:00:00,3.0,912.0,1011.35596,165.0,747.0,0.0,46.198456,3.08,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,20:00:00,3.0,711.0,794.7457,141.0,570.0,0.0,45.61944,2.5166667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,21:00:00,3.0,478.0,533.5,111.0,367.0,0.0,43.61906,1.8066667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,22:00:00,3.0,463.0,506.5,87.0,376.0,0.0,48.728554,1.35,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-03,23:00:00,3.0,281.0,308.5,55.0,226.0,0.0,49.427048,0.91,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,00:00:00,3.0,170.0,191.0,42.0,128.0,0.0,52.73565,0.37666667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,01:00:00,3.0,104.0,110.0,12.0,92.0,0.0,51.38731,0.123333335,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,02:00:00,3.0,62.0,68.5,13.0,49.0,0.0,53.385483,0.1,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,03:00:00,3.0,28.0,32.5,9.0,19.0,0.0,57.25,0.033333335,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,04:00:00,3.0,67.0,74.0,14.0,53.0,0.0,55.20761,0.10666666,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,05:00:00,3.0,35.0,38.0,6.0,29.0,0.0,51.91686,0.033333335,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,06:00:00,3.0,74.0,83.5,19.0,55.0,0.0,47.60892,0.15666667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,07:00:00,3.0,165.0,184.0,38.0,127.0,0.0,40.31558,0.5466667,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,08:00:00,3.0,171.0,193.0,44.0,127.0,0.0,43.29912,0.52,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,09:00:00,3.0,302.0,339.661,64.0,238.0,0.0,47.915928,0.8833334,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,10:00:00,3.0,357.0,403.5,93.0,264.0,0.0,41.6602,1.3800001,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,11:00:00,3.0,435.0,483.5,97.0,338.0,0.0,41.954185,1.5266666,0.0
VIKQP20,仁愛四段-基隆一段往東,正向放置,2017-03-04,12:00:00,3.0,519.0,579.0,120.0,399.0,0.0,43.79543,1.9499999,0.0
