EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,00:00:00,3.0,142.0,153.1579,7.0,135.0,0.0,32.00986,0.88333327,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,01:00:00,3.0,91.0,97.89474,4.0,87.0,0.0,35.228462,0.55333334,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,02:00:00,3.0,74.0,75.0,2.0,72.0,0.0,32.025402,0.42666665,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,03:00:00,3.0,45.0,46.0,2.0,43.0,0.0,38.933334,0.25,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,04:00:00,3.0,52.0,52.0,0.0,52.0,0.0,34.94481,0.29,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,05:00:00,3.0,54.0,56.896553,2.0,52.0,0.0,36.85278,0.31333333,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,06:00:00,3.0,40.0,41.0,2.0,38.0,0.0,24.3,0.30666667,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,07:00:00,3.0,118.0,124.0,12.0,106.0,0.0,40.248646,0.67333335,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,08:00:00,3.0,365.0,372.0,14.0,351.0,0.0,32.551205,2.2766666,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,09:00:00,3.0,470.0,481.0,22.0,448.0,0.0,30.10566,3.1866665,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,10:00:00,3.0,452.0,467.0,30.0,422.0,0.0,30.89438,2.9866667,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,11:00:00,3.0,411.0,421.0,20.0,391.0,0.0,30.866203,2.6366668,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,12:00:00,3.0,438.0,446.5,17.0,421.0,0.0,29.492466,3.0266669,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,13:00:00,3.0,438.0,448.0,22.0,415.0,1.0,26.638472,3.3700001,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,14:00:00,3.0,449.0,464.5,35.0,412.0,2.0,28.96853,3.3166666,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,15:00:00,3.0,540.0,557.5,43.0,493.0,4.0,27.99513,3.4333334,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,16:00:00,3.0,496.0,509.5,27.0,469.0,0.0,26.995886,3.7666664,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,17:00:00,3.0,522.0,531.5,19.0,503.0,0.0,25.66184,4.1466665,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,18:00:00,3.0,631.0,651.0,40.0,591.0,0.0,25.14808,5.24,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,19:00:00,3.0,660.0,680.0,40.0,620.0,0.0,25.241789,4.9633336,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,20:00:00,3.0,542.0,556.5,29.0,513.0,0.0,27.181587,4.0066667,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,21:00:00,3.0,396.0,404.5,17.0,379.0,0.0,25.432728,2.993333,0.0
VIWRJ60,松高路-松仁 往西,正向放置,2017-03-03,22:00:00,3.0,391.0,404.5,27.0,364.0,0.0,26.225576,3.0333335,0.0
