EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,00:00:00,2.0,200.0,210.5263,0.0,200.0,0.0,58.2648,0.83500004,217.61
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,01:00:00,2.0,111.0,118.928566,0.0,111.0,0.0,60.16432,0.42499998,235.29001
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,02:00:00,2.0,11.0,13.5,5.0,6.0,0.0,65.72727,0.1,249.56
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,03:00:00,2.0,31.0,33.0,4.0,27.0,0.0,25.095806,3.675,241.04001
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,04:00:00,2.0,15.0,16.0,2.0,13.0,0.0,60.67,0.05,250.0
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,05:00:00,2.0,24.0,24.0,0.0,24.0,0.0,70.21,0.05,250.0
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,06:00:00,2.0,62.0,64.0,4.0,58.0,0.0,61.81,0.215,246.925
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,07:00:00,2.0,204.0,205.5,3.0,201.0,0.0,64.36,0.665,220.54001
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,08:00:00,2.0,501.0,503.0,4.0,497.0,0.0,57.34,1.89,169.025
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,09:00:00,2.0,524.0,524.5,1.0,523.0,0.0,56.35,2.05,163.985
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,10:00:00,2.0,493.0,494.5,3.0,490.0,0.0,54.36,1.925,165.635
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,11:00:00,2.0,428.0,429.5,3.0,425.0,0.0,56.28,1.665,173.515
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,12:00:00,2.0,430.0,430.5,1.0,429.0,0.0,55.88,1.665,177.04001
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,13:00:00,2.0,412.0,419.49152,1.0,411.0,0.0,54.82,1.66,172.51
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,14:00:00,2.0,465.0,466.5,3.0,462.0,0.0,54.6,1.86,168.69
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,15:00:00,2.0,500.0,500.5,1.0,499.0,0.0,53.18,2.025,167.015
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,16:00:00,2.0,508.0,512.0,8.0,500.0,0.0,53.86,2.1,165.99
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,17:00:00,2.0,505.0,507.0,4.0,501.0,0.0,53.95,2.025,164.515
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,18:00:00,2.0,575.0,575.5,1.0,574.0,0.0,52.7,2.365,157.89
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,19:00:00,2.0,595.0,595.5,1.0,594.0,0.0,50.33,2.525,158.985
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,20:00:00,2.0,534.0,534.5,1.0,533.0,0.0,51.43,2.215,162.785
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,21:00:00,2.0,437.0,460.5263,1.0,436.0,0.0,53.3,1.94,172.95999
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,22:00:00,2.0,427.0,427.5,1.0,426.0,0.0,53.7,1.715,177.635
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-03,23:00:00,2.0,335.0,335.0,0.0,335.0,0.0,54.440002,1.315,192.565
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,00:00:00,2.0,247.0,247.5,1.0,246.0,0.0,56.76,0.94,209.725
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,01:00:00,2.0,163.0,164.0,2.0,161.0,0.0,59.09,0.635,224.4
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,02:00:00,2.0,90.0,92.0,4.0,86.0,0.0,61.36,0.325,239.35
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,03:00:00,2.0,51.0,51.0,0.0,51.0,0.0,65.69,0.135,246.55
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,04:00:00,2.0,48.0,48.0,0.0,48.0,0.0,64.83,0.14,246.985
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,05:00:00,2.0,41.0,42.0,2.0,39.0,0.0,58.63,0.15,248.685
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,06:00:00,2.0,56.0,56.0,0.0,56.0,0.0,65.59,0.16,245.8
VJERC50,基隆路-忠孝東 往南,正向放置,2017-03-04,07:00:00,2.0,126.0,127.5,3.0,123.0,0.0,64.54,0.45,233.175
