EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,00:00:00,3.0,452.0,525.283,24.0,428.0,0.0,46.264492,1.0733334,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,01:00:00,3.0,288.0,324.44446,8.0,280.0,0.0,49.79531,0.5733333,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,02:00:00,3.0,191.0,206.7857,4.0,187.0,0.0,50.350784,0.28,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,03:00:00,3.0,136.0,147.85715,4.0,132.0,0.0,49.219856,0.16333334,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,04:00:00,3.0,114.0,120.00001,4.0,110.0,0.0,50.282284,0.13333334,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,05:00:00,3.0,91.0,93.05085,1.0,90.0,0.0,47.12967,0.07333333,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,06:00:00,3.0,118.0,132.0,6.0,112.0,0.0,51.344746,0.16,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,07:00:00,3.0,287.0,330.5454,32.0,255.0,0.0,47.48021,0.7933333,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,08:00:00,3.0,753.0,833.5714,50.0,703.0,0.0,45.528896,2.4,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,09:00:00,3.0,810.0,939.6226,40.0,770.0,0.0,45.010025,2.6,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,10:00:00,3.0,933.0,956.0,46.0,887.0,0.0,45.06447,2.6466668,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,11:00:00,3.0,840.0,906.3158,42.0,798.0,0.0,45.428623,2.5366666,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,12:00:00,3.0,844.0,895.3448,43.0,801.0,0.0,44.802017,2.71,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,13:00:00,3.0,801.0,944.4231,35.0,766.0,0.0,43.570736,2.68,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,14:00:00,3.0,842.0,853.5,23.0,819.0,0.0,40.860584,2.5666666,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,15:00:00,3.0,956.0,980.0,48.0,908.0,0.0,41.118618,3.08,0.0
VJFPW00,光復南-忠孝東往北,正向放置,2017-03-03,16:00:00,3.0,1097.0,1131.0,68.0,1029.0,0.0,42.978123,3.6233332,0.0
