EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIVS602,松仁-松高 往北,往南,2017-03-03,00:00:00,3.0,479.0,511.57892,14.0,465.0,0.0,49.225597,1.1666666,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,01:00:00,3.0,394.0,422.63156,15.0,379.0,0.0,51.421574,1.01,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,02:00:00,3.0,296.0,297.5,3.0,293.0,0.0,54.641724,0.30999997,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,03:00:00,3.0,232.0,232.5,1.0,231.0,0.0,54.806637,0.19999999,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,04:00:00,3.0,269.0,269.5,1.0,268.0,0.0,57.769886,0.26,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,05:00:00,3.0,260.0,270.51724,3.0,257.0,0.0,58.18719,0.26333332,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,06:00:00,3.0,174.0,176.0,4.0,170.0,0.0,53.552357,0.16666667,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,07:00:00,3.0,336.0,347.0,22.0,314.0,0.0,55.064583,0.5566667,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,08:00:00,3.0,1178.0,1197.5,39.0,1137.0,0.0,52.50096,2.8,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,09:00:00,3.0,1489.0,1520.5084,50.0,1439.0,0.0,45.984306,4.98,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,10:00:00,3.0,1352.5,1395.0,84.0,1267.0,0.0,42.311,6.17,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,11:00:00,3.0,1192.0,1234.5847,65.0,1127.0,0.0,44.12277,5.016667,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,12:00:00,3.0,1123.0,1168.75,91.0,1030.0,0.0,43.581257,4.7633333,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,13:00:00,3.0,1077.0,1115.8899,67.0,1009.0,0.0,42.98818,3.6899998,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,14:00:00,3.0,1074.0,1109.6271,62.0,1012.0,0.0,45.5035,4.9933333,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,15:00:00,3.0,1215.0,1255.0,80.0,1135.0,0.0,39.800117,5.186667,0.0
VIVS602,松仁-松高 往北,往南,2017-03-03,16:00:00,3.0,1047.0,1084.5,75.0,972.0,0.0,43.07467,3.5366666,0.0
