EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIWRJ00,松智路-松高 往北,往南,2017-03-03,00:00:00,3.0,189.0,237.89473,74.0,115.0,0.0,47.744183,1.4033333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,01:00:00,3.0,109.0,132.54544,25.0,84.0,0.0,55.13202,0.6333333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,02:00:00,3.0,84.0,92.0,16.0,68.0,0.0,56.688454,0.42666665,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,03:00:00,3.0,69.0,79.655174,16.0,53.0,0.0,62.220287,0.3733333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,04:00:00,3.0,49.0,56.37931,11.0,38.0,0.0,57.588364,0.26333335,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,05:00:00,3.0,48.0,56.896553,14.0,34.0,0.0,63.852505,0.26666668,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,06:00:00,3.0,43.0,48.5,11.0,32.0,0.0,53.88209,0.26666665,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,07:00:00,3.0,143.0,180.51724,63.0,80.0,0.0,49.05832,1.0066667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,08:00:00,3.0,470.0,572.0,204.0,266.0,0.0,48.23506,2.9833333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,09:00:00,3.0,710.0,883.9655,289.0,421.0,0.0,40.9551,5.146667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,10:00:00,3.0,810.0,987.5,355.0,455.0,0.0,37.914223,6.5866666,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,11:00:00,3.0,657.0,827.58624,286.0,371.0,0.0,38.159164,5.6,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,12:00:00,3.0,643.0,780.0,274.0,369.0,0.0,36.762207,5.4600005,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,13:00:00,3.0,658.0,824.4828,278.0,380.0,0.0,40.462036,5.0800004,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,14:00:00,3.0,697.0,844.0,294.0,403.0,0.0,38.753788,5.6499996,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,15:00:00,3.0,769.0,969.82764,337.0,432.0,0.0,37.15018,6.2900004,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,16:00:00,3.0,824.0,986.5,325.0,499.0,0.0,37.127876,6.4833336,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,17:00:00,3.0,769.0,963.10345,324.0,445.0,0.0,39.317505,5.9300003,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,18:00:00,3.0,869.0,1050.0,362.0,507.0,0.0,38.06642,6.816667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,19:00:00,3.0,818.0,1030.862,357.0,461.0,0.0,40.561687,6.273333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,20:00:00,3.0,844.0,1019.5,351.0,493.0,0.0,35.78884,6.9666657,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,21:00:00,3.0,629.0,782.06903,254.0,375.0,0.0,38.882874,4.9599996,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,22:00:00,3.0,700.0,839.5,279.0,421.0,0.0,37.42386,5.623333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-03,23:00:00,3.0,520.0,646.5517,210.0,310.0,0.0,43.112576,3.7266667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,00:00:00,3.0,355.0,430.0,150.0,205.0,0.0,45.48431,2.36,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,01:00:00,3.0,182.0,206.89656,36.0,146.0,0.0,55.10423,0.9266667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,02:00:00,3.0,148.0,165.5,35.0,113.0,0.0,57.547497,0.71000004,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,03:00:00,3.0,115.0,130.34483,22.0,93.0,0.0,59.547394,0.58,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,04:00:00,3.0,199.0,227.14287,26.0,173.0,0.0,59.863865,0.86666673,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,05:00:00,3.0,178.0,196.03448,23.0,155.0,0.0,60.582134,0.75,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,06:00:00,3.0,56.0,62.0,12.0,44.0,0.0,52.140175,0.32333332,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,07:00:00,3.0,109.0,138.10345,49.0,60.0,0.0,44.87147,0.78999996,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,08:00:00,3.0,234.0,281.0,94.0,140.0,0.0,47.935047,1.5866667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,09:00:00,3.0,300.0,379.13794,133.0,167.0,0.0,46.5583,2.01,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,10:00:00,3.0,393.0,471.5,157.0,236.0,0.0,44.93397,2.7733333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,11:00:00,3.0,450.0,556.0345,175.0,275.0,0.0,44.61614,3.0566666,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,12:00:00,3.0,555.0,664.0,218.0,337.0,0.0,41.23377,3.9499998,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,13:00:00,3.0,625.0,776.2414,249.0,373.0,0.0,40.168507,4.736666,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,14:00:00,3.0,695.0,841.9153,288.0,407.0,0.0,42.063927,5.0333333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,15:00:00,3.0,722.0,888.10345,273.0,449.0,0.0,40.34349,5.4233336,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,16:00:00,3.0,717.0,859.0,284.0,433.0,0.0,41.06788,5.0733333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,17:00:00,3.0,712.0,884.4828,286.0,426.0,0.0,38.331966,5.646667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,18:00:00,3.0,827.0,997.0,340.0,487.0,0.0,38.957314,6.41,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,19:00:00,3.0,735.0,896.3794,263.0,472.0,0.0,38.323452,5.7433333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,20:00:00,3.0,685.0,833.0,296.0,389.0,0.0,34.85161,5.89,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,21:00:00,3.0,617.0,761.3793,238.0,379.0,0.0,33.72365,5.4900002,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,22:00:00,3.0,640.0,777.5,275.0,365.0,0.0,36.13633,5.22,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-04,23:00:00,3.0,514.0,635.1724,200.0,314.0,0.0,44.057487,3.6666667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,00:00:00,3.0,287.0,340.5,107.0,180.0,0.0,48.88021,1.7999998,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,01:00:00,3.0,191.0,233.57141,54.0,137.0,0.0,53.662983,1.0133333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,02:00:00,3.0,166.0,180.5,29.0,137.0,0.0,60.616753,0.76,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,03:00:00,3.0,151.0,171.20691,29.0,122.0,0.0,63.979736,0.66333336,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,04:00:00,3.0,214.0,231.8644,28.0,186.0,0.0,63.042942,0.88000005,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,05:00:00,3.0,219.0,239.48276,25.0,194.0,0.0,62.499268,0.93333334,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,06:00:00,3.0,57.0,65.0,16.0,41.0,0.0,62.49035,0.29,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,07:00:00,3.0,88.0,110.68966,38.0,50.0,0.0,47.7608,0.63666666,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,08:00:00,3.0,153.0,185.0,64.0,89.0,0.0,48.338955,1.0333333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,09:00:00,3.0,245.0,314.48276,118.0,127.0,0.0,46.355877,1.7633333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,10:00:00,3.0,326.0,395.5,139.0,187.0,0.0,45.92399,2.2366667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,11:00:00,3.0,375.0,464.4828,148.0,227.0,0.0,45.617626,2.51,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,12:00:00,3.0,573.0,683.0,220.0,353.0,0.0,41.08532,4.0066667,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,13:00:00,3.0,500.0,615.0,189.0,311.0,0.0,42.7881,3.6266663,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,14:00:00,3.0,610.0,733.0,246.0,364.0,0.0,41.229576,4.2833333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,15:00:00,3.0,643.0,792.4138,246.0,397.0,0.0,37.738163,5.0133333,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,16:00:00,3.0,671.0,807.5,273.0,398.0,0.0,39.648182,5.1266665,0.0
VIWRJ00,松智路-松高 往北,往南,2017-03-05,17:00:00,3.0,649.0,802.75867,254.0,395.0,0.0,40.42166,4.6633334,0.0
