EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,00:00:00,2.0,602.0,752.1052,225.0,377.0,0.0,45.733788,5.24,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,01:00:00,2.0,324.0,411.42856,120.0,204.0,0.0,45.793793,2.66,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,02:00:00,2.0,120.0,150.0,60.0,60.0,0.0,48.784164,0.635,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,03:00:00,2.0,124.0,155.0,62.0,62.0,0.0,47.565,0.755,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,04:00:00,2.0,277.0,332.5,111.0,166.0,0.0,47.999096,1.965,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,05:00:00,2.0,328.0,398.0,140.0,188.0,0.0,44.363476,2.6750002,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,06:00:00,2.0,639.0,753.5,229.0,410.0,0.0,44.653194,5.35,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,07:00:00,2.0,844.0,1016.5,345.0,499.0,0.0,38.31635,8.645,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,08:00:00,2.0,1623.0,1923.0,600.0,1023.0,0.0,24.593357,26.205,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,09:00:00,2.0,1878.0,2233.5,711.0,1167.0,0.0,31.295664,24.3,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,10:00:00,2.0,1640.0,1938.5,597.0,1043.0,0.0,37.088036,17.994999,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,11:00:00,2.0,1435.0,1715.5,561.0,874.0,0.0,39.895863,14.745001,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,12:00:00,2.0,774.0,919.0,290.0,484.0,0.0,45.816628,6.44,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,13:00:00,2.0,747.0,903.05084,282.0,465.0,0.0,44.843483,6.455,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,14:00:00,2.0,612.0,730.0,236.0,376.0,0.0,44.048626,5.24,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,15:00:00,2.0,572.0,677.0,210.0,362.0,0.0,45.13007,4.69,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,16:00:00,2.0,662.0,785.0,246.0,416.0,0.0,44.089336,5.75,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,17:00:00,2.0,851.0,1007.5,313.0,538.0,0.0,45.585217,7.1499996,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,18:00:00,2.0,1613.0,1914.0,602.0,1011.0,0.0,34.171722,19.0,0.0
VJFQQ00,逸仙路-忠孝 往北,往南,2017-03-03,19:00:00,2.0,1807.0,2226.207,690.0,1117.0,0.0,29.99786,25.45,0.0
