EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,00:00:00,1.0,86.0,93.21429,2.0,84.0,0.0,40.22,2.16,89.85
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,01:00:00,1.0,34.0,36.42857,0.0,34.0,0.0,40.41,0.8,47.98
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,02:00:00,1.0,27.0,27.0,0.0,27.0,0.0,38.44,0.62,28.42
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,03:00:00,1.0,17.0,17.5,1.0,16.0,0.0,40.65,0.38,31.32
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,04:00:00,1.0,12.0,12.0,0.0,12.0,0.0,38.58,0.22,23.93
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,05:00:00,1.0,23.0,23.0,0.0,23.0,0.0,40.96,0.48,40.47
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,06:00:00,1.0,57.0,58.5,3.0,54.0,0.0,39.840004,1.33,64.32
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,07:00:00,1.0,144.0,148.0,8.0,136.0,0.0,42.19,3.4,99.43
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,08:00:00,1.0,538.0,663.00006,25.0,515.0,-2.0,39.92,23.46,52.24
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,09:00:00,1.0,781.0,844.2105,42.0,739.0,0.0,36.29,37.17,37.31
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,10:00:00,1.0,541.0,575.6897,31.0,510.0,0.0,39.54,17.5,62.72
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,11:00:00,1.0,367.0,374.5,15.0,352.0,0.0,40.04,9.37,101.45
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,12:00:00,1.0,319.0,326.0,14.0,305.0,0.0,40.07,7.97,119.08
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,13:00:00,1.0,329.0,358.0,58.0,271.0,0.0,40.15,10.12,104.0
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,14:00:00,1.0,323.0,328.0,10.0,313.0,0.0,39.98,7.88,107.18
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,15:00:00,1.0,371.0,376.5,11.0,360.0,0.0,40.55,8.97,97.4
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,16:00:00,1.0,406.0,412.0,12.0,394.0,0.0,39.28,10.78,88.98
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,17:00:00,1.0,400.0,434.5,69.0,331.0,0.0,39.42,13.1,94.55
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,18:00:00,1.0,476.0,502.0,52.0,424.0,0.0,39.8,14.72,78.18
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,19:00:00,1.0,607.0,627.5,41.0,566.0,0.0,33.89,28.68,55.42
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,20:00:00,1.0,373.0,376.5,7.0,366.0,0.0,38.41,9.78,106.68
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,21:00:00,1.0,266.0,269.5,7.0,259.0,0.0,39.4,6.53,133.4
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,22:00:00,1.0,262.0,294.5,65.0,197.0,0.0,38.57,8.62,110.5
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-03,23:00:00,1.0,195.0,202.5,15.0,180.0,0.0,39.23,4.77,139.35
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-04,00:00:00,1.0,122.0,125.08474,2.0,120.0,0.0,38.91,2.9,115.1
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-04,01:00:00,1.0,74.0,74.5,1.0,73.0,0.0,39.53,1.67,83.15
VGYS7A1,松德路出口匝道0+060,未指定,2017-03-04,02:00:00,1.0,42.0,42.0,0.0,42.0,0.0,39.12,0.82,68.62
