EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VHKPV40,光復南-信義往南,未指定,2017-03-03,00:00:00,2.0,287.0,334.73682,62.0,225.0,0.0,42.153175,1.64,97.384995
VHKPV40,光復南-信義往南,未指定,2017-03-03,01:00:00,2.0,260.0,302.10526,54.0,206.0,0.0,43.00138,1.19,113.44
VHKPV40,光復南-信義往南,未指定,2017-03-03,02:00:00,2.0,181.0,199.5,37.0,144.0,0.0,44.590717,0.725,124.975
VHKPV40,光復南-信義往南,未指定,2017-03-03,03:00:00,2.0,135.0,150.0,30.0,105.0,0.0,44.64585,0.5,116.255
VHKPV40,光復南-信義往南,未指定,2017-03-03,04:00:00,2.0,103.0,114.5,23.0,80.0,0.0,44.63437,0.385,105.2
VHKPV40,光復南-信義往南,未指定,2017-03-03,05:00:00,2.0,80.0,87.5,15.0,65.0,0.0,45.4385,0.32,82.725
VHKPV40,光復南-信義往南,未指定,2017-03-03,06:00:00,2.0,122.0,132.0,20.0,102.0,0.0,43.566883,0.425,106.64
VHKPV40,光復南-信義往南,未指定,2017-03-03,07:00:00,2.0,213.0,225.0,24.0,189.0,0.0,39.370983,1.12,130.34
VHKPV40,光復南-信義往南,未指定,2017-03-03,08:00:00,2.0,568.0,587.0,38.0,530.0,0.0,40.05556,3.15,101.975
VHKPV40,光復南-信義往南,未指定,2017-03-03,09:00:00,2.0,687.0,706.0,38.0,649.0,0.0,37.355286,4.785,98.009995
VHKPV40,光復南-信義往南,未指定,2017-03-03,10:00:00,2.0,698.0,718.0,40.0,658.0,0.0,36.358955,4.93,86.675
VHKPV40,光復南-信義往南,未指定,2017-03-03,11:00:00,2.0,489.0,545.5,113.0,376.0,0.0,37.960308,5.875,88.485
VHKPV40,光復南-信義往南,未指定,2017-03-03,12:00:00,2.0,591.0,613.0,44.0,547.0,0.0,36.780815,3.785,98.36
VHKPV40,光復南-信義往南,未指定,2017-03-03,13:00:00,2.0,534.0,556.2712,26.0,508.0,0.0,37.240227,3.6,74.259995
VHKPV40,光復南-信義往南,未指定,2017-03-03,14:00:00,2.0,591.0,638.61017,84.0,499.0,0.0,34.591595,5.505,86.075
VHKPV40,光復南-信義往南,未指定,2017-03-03,15:00:00,2.0,676.0,706.0,60.0,616.0,0.0,33.112427,5.115,97.215
VHKPV40,光復南-信義往南,未指定,2017-03-03,16:00:00,2.0,442.0,453.0,22.0,420.0,0.0,32.43448,3.045,72.630005
