EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VEUPN60,和平東路三段425號前,往西,2017-03-03,00:00:00,2.0,85.0,91.57895,4.0,81.0,0.0,52.39871,0.295,243.23001
VEUPN60,和平東路三段425號前,往西,2017-03-03,01:00:00,2.0,58.0,62.142857,0.0,58.0,0.0,52.36276,0.15,247.08499
VEUPN60,和平東路三段425號前,往西,2017-03-03,02:00:00,2.0,46.0,47.0,2.0,44.0,0.0,56.739132,0.1,248.75
VEUPN60,和平東路三段425號前,往西,2017-03-03,03:00:00,2.0,25.0,25.0,0.0,25.0,0.0,55.116802,0.035,245.83
VEUPN60,和平東路三段425號前,往西,2017-03-03,04:00:00,2.0,26.0,26.5,1.0,25.0,0.0,53.962307,0.08,241.67
VEUPN60,和平東路三段425號前,往西,2017-03-03,05:00:00,2.0,33.0,33.5,1.0,32.0,0.0,53.45091,0.09,245.0
VEUPN60,和平東路三段425號前,往西,2017-03-03,06:00:00,2.0,55.0,59.5,9.0,46.0,0.0,50.524548,0.275,249.16501
VEUPN60,和平東路三段425號前,往西,2017-03-03,07:00:00,2.0,193.0,206.0,26.0,167.0,0.0,48.137722,1.3299999,221.88
VEUPN60,和平東路三段425號前,往西,2017-03-03,08:00:00,2.0,440.0,465.5,51.0,389.0,0.0,47.627186,2.585,176.435
VEUPN60,和平東路三段425號前,往西,2017-03-03,09:00:00,2.0,492.0,503.5,23.0,469.0,0.0,48.653904,2.495,161.055
VEUPN60,和平東路三段425號前,往西,2017-03-03,10:00:00,2.0,415.0,431.5,33.0,382.0,0.0,48.758434,2.3,182.08499
VEUPN60,和平東路三段425號前,往西,2017-03-03,11:00:00,2.0,349.0,360.0,22.0,327.0,0.0,49.23301,1.725,198.125
VEUPN60,和平東路三段425號前,往西,2017-03-03,12:00:00,2.0,365.0,380.5,31.0,334.0,0.0,49.274246,1.8600001,194.35
VEUPN60,和平東路三段425號前,往西,2017-03-03,13:00:00,2.0,285.0,296.5,23.0,262.0,0.0,50.00937,1.675,209.54001
VEUPN60,和平東路三段425號前,往西,2017-03-03,14:00:00,2.0,290.0,299.5,19.0,271.0,0.0,49.360897,1.435,209.95999
VEUPN60,和平東路三段425號前,往西,2017-03-03,15:00:00,2.0,318.0,327.5,19.0,299.0,0.0,48.804405,1.555,205.295
VEUPN60,和平東路三段425號前,往西,2017-03-03,16:00:00,2.0,310.0,320.0,20.0,290.0,0.0,49.696133,1.5,206.17
VEUPN60,和平東路三段425號前,往西,2017-03-03,17:00:00,2.0,310.0,325.0,30.0,280.0,0.0,48.39613,1.715,203.29001
VEUPN60,和平東路三段425號前,往西,2017-03-03,18:00:00,2.0,325.0,347.0,44.0,281.0,0.0,48.000984,1.99,203.045
VEUPN60,和平東路三段425號前,往西,2017-03-03,19:00:00,2.0,292.0,306.0,28.0,264.0,0.0,48.05712,1.5799999,211.125
VEUPN60,和平東路三段425號前,往西,2017-03-03,20:00:00,2.0,293.0,305.0,24.0,269.0,0.0,47.87525,1.58,207.465
VEUPN60,和平東路三段425號前,往西,2017-03-03,21:00:00,2.0,272.0,287.0,30.0,242.0,0.0,46.79691,1.55,210.41501
VEUPN60,和平東路三段425號前,往西,2017-03-03,22:00:00,2.0,235.0,247.5,25.0,210.0,0.0,49.58962,1.235,217.58499
VEUPN60,和平東路三段425號前,往西,2017-03-03,23:00:00,2.0,214.0,224.0,20.0,194.0,0.0,47.87168,1.15,225.75
VEUPN60,和平東路三段425號前,往西,2017-03-04,00:00:00,2.0,114.0,117.0,6.0,108.0,0.0,52.783337,0.395,243.5
VEUPN60,和平東路三段425號前,往西,2017-03-04,01:00:00,2.0,95.0,95.0,0.0,95.0,0.0,54.893894,0.22500001,243.33499
VEUPN60,和平東路三段425號前,往西,2017-03-04,02:00:00,2.0,61.0,62.0,2.0,59.0,0.0,53.884262,0.225,235.0
VEUPN60,和平東路三段425號前,往西,2017-03-04,03:00:00,2.0,58.0,59.0,2.0,56.0,0.0,54.895515,0.155,246.83499
VEUPN60,和平東路三段425號前,往西,2017-03-04,04:00:00,2.0,41.0,41.0,0.0,41.0,0.0,53.949028,0.085,245.41501
VEUPN60,和平東路三段425號前,往西,2017-03-04,05:00:00,2.0,37.0,37.0,0.0,37.0,0.0,52.514862,0.074999996,241.25
VEUPN60,和平東路三段425號前,往西,2017-03-04,06:00:00,2.0,70.0,72.5,5.0,65.0,0.0,50.214287,0.31,243.5
VEUPN60,和平東路三段425號前,往西,2017-03-04,07:00:00,2.0,119.0,124.0,10.0,109.0,0.0,49.224957,0.575,245.83
VEUPN60,和平東路三段425號前,往西,2017-03-04,08:00:00,2.0,182.0,191.0,18.0,164.0,0.0,49.020164,0.99,227.92
VEUPN60,和平東路三段425號前,往西,2017-03-04,09:00:00,2.0,285.0,292.5,15.0,270.0,0.0,48.844807,1.365,208.45999
VEUPN60,和平東路三段425號前,往西,2017-03-04,10:00:00,2.0,398.0,411.0,26.0,372.0,0.0,48.564648,2.03,182.84
VEUPN60,和平東路三段425號前,往西,2017-03-04,11:00:00,2.0,387.0,395.5,17.0,370.0,0.0,47.633953,1.885,185.225
VEUPN60,和平東路三段425號前,往西,2017-03-04,12:00:00,2.0,404.0,415.0,22.0,382.0,0.0,48.151363,2.285,182.85
VEUPN60,和平東路三段425號前,往西,2017-03-04,13:00:00,2.0,363.0,370.5,15.0,348.0,0.0,48.507133,1.815,179.0
VEUPN60,和平東路三段425號前,往西,2017-03-04,14:00:00,2.0,271.0,276.5,11.0,260.0,0.0,49.281105,1.24,193.20999
VEUPN60,和平東路三段425號前,往西,2017-03-04,15:00:00,2.0,289.0,295.0,12.0,277.0,0.0,49.97692,1.385,189.58499
VEUPN60,和平東路三段425號前,往西,2017-03-04,16:00:00,2.0,354.0,359.5,11.0,343.0,0.0,48.885086,1.615,181.975
VEUPN60,和平東路三段425號前,往西,2017-03-04,17:00:00,2.0,312.0,318.5,13.0,299.0,0.0,49.131283,1.505,192.925
VEUPN60,和平東路三段425號前,往西,2017-03-04,18:00:00,2.0,335.0,345.0,20.0,315.0,0.0,49.1757,1.635,192.175
VEUPN60,和平東路三段425號前,往西,2017-03-04,19:00:00,2.0,295.0,299.5,9.0,286.0,0.0,47.510574,1.56,199.33
VEUPN60,和平東路三段425號前,往西,2017-03-04,20:00:00,2.0,220.0,227.0,14.0,206.0,0.0,49.368908,1.05,217.04001
VEUPN60,和平東路三段425號前,往西,2017-03-04,21:00:00,2.0,156.0,162.5,13.0,143.0,0.0,50.779804,0.74,212.455
VEUPN60,和平東路三段425號前,往西,2017-03-04,22:00:00,2.0,201.0,205.5,9.0,192.0,0.0,51.769054,0.8,219.83499
VEUPN60,和平東路三段425號前,往西,2017-03-04,23:00:00,2.0,159.0,165.5,13.0,146.0,0.0,50.59415,0.705,230.58
VEUPN60,和平東路三段425號前,往西,2017-03-05,00:00:00,2.0,84.0,85.0,2.0,82.0,0.0,51.573566,0.31,228.75
VEUPN60,和平東路三段425號前,往西,2017-03-05,01:00:00,2.0,67.0,67.0,0.0,67.0,0.0,53.414776,0.19,217.91501
VEUPN60,和平東路三段425號前,往西,2017-03-05,02:00:00,2.0,61.0,61.0,0.0,61.0,0.0,55.184425,0.14,248.33499
VEUPN60,和平東路三段425號前,往西,2017-03-05,03:00:00,2.0,27.0,27.0,0.0,27.0,0.0,54.69926,0.06,195.83
VEUPN60,和平東路三段425號前,往西,2017-03-05,04:00:00,2.0,29.0,29.0,0.0,29.0,0.0,55.519997,0.07,195.41501
VEUPN60,和平東路三段425號前,往西,2017-03-05,05:00:00,2.0,24.0,24.5,1.0,23.0,0.0,55.83,0.05,191.25
VEUPN60,和平東路三段425號前,往西,2017-03-05,06:00:00,2.0,55.0,56.5,3.0,52.0,0.0,54.25727,0.21,221.67
VEUPN60,和平東路三段425號前,往西,2017-03-05,07:00:00,2.0,94.0,98.0,8.0,86.0,0.0,53.650745,0.365,236.67
VEUPN60,和平東路三段425號前,往西,2017-03-05,08:00:00,2.0,134.0,139.5,11.0,123.0,0.0,48.600147,0.615,216.83499
VEUPN60,和平東路三段425號前,往西,2017-03-05,09:00:00,2.0,188.0,193.5,11.0,177.0,0.0,49.969894,0.865,181.75
VEUPN60,和平東路三段425號前,往西,2017-03-05,10:00:00,2.0,269.0,278.0,18.0,251.0,0.0,49.27505,1.5,210.16501
VEUPN60,和平東路三段425號前,往西,2017-03-05,11:00:00,2.0,324.0,332.5,17.0,307.0,0.0,50.720367,1.56,205.175
VEUPN60,和平東路三段425號前,往西,2017-03-05,12:00:00,2.0,325.0,335.0,20.0,305.0,0.0,49.904613,1.595,179.61499
VEUPN60,和平東路三段425號前,往西,2017-03-05,13:00:00,2.0,341.0,349.0,16.0,325.0,0.0,49.518562,1.6,195.44
VEUPN60,和平東路三段425號前,往西,2017-03-05,14:00:00,2.0,298.0,306.5,17.0,281.0,0.0,51.318592,1.315,185.675
VEUPN60,和平東路三段425號前,往西,2017-03-05,15:00:00,2.0,274.0,287.5,27.0,247.0,0.0,49.37927,1.4399999,187.205
VEUPN60,和平東路三段425號前,往西,2017-03-05,16:00:00,2.0,245.0,252.5,15.0,230.0,0.0,51.704285,1.095,201.33
VEUPN60,和平東路三段425號前,往西,2017-03-05,17:00:00,2.0,239.0,244.5,11.0,228.0,0.0,50.31782,1.05,206.83499
VEUPN60,和平東路三段425號前,往西,2017-03-05,18:00:00,2.0,288.0,293.5,11.0,277.0,0.0,50.59271,1.185,213.6
VEUPN60,和平東路三段425號前,往西,2017-03-05,19:00:00,2.0,231.0,240.0,18.0,213.0,0.0,50.077057,1.09,225.29001
VEUPN60,和平東路三段425號前,往西,2017-03-05,20:00:00,2.0,180.0,187.0,14.0,166.0,0.0,48.981777,0.865,218.0
