EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VHJS620,信義五段-松仁路往東,往西,2017-03-03,00:00:00,2.0,172.0,196.60715,23.0,149.0,0.0,47.467556,0.435,146.43
VHJS620,信義五段-松仁路往東,往西,2017-03-03,01:00:00,2.0,124.0,138.94736,16.0,108.0,0.0,47.560562,0.285,128.84
VHJS620,信義五段-松仁路往東,往西,2017-03-03,02:00:00,2.0,94.0,100.5,13.0,81.0,0.0,48.62777,0.15,132.54001
VHJS620,信義五段-松仁路往東,往西,2017-03-03,03:00:00,2.0,70.0,73.0,6.0,64.0,0.0,49.430714,0.075,101.14
VHJS620,信義五段-松仁路往東,往西,2017-03-03,04:00:00,2.0,91.0,94.5,7.0,84.0,0.0,50.111423,0.115,116.5
VHJS620,信義五段-松仁路往東,往西,2017-03-03,05:00:00,2.0,76.0,80.0,8.0,68.0,0.0,47.48369,0.135,95.585
VHJS620,信義五段-松仁路往東,往西,2017-03-03,06:00:00,2.0,65.0,69.5,9.0,56.0,0.0,50.572308,0.08,78.925
VHJS620,信義五段-松仁路往東,往西,2017-03-03,07:00:00,2.0,151.0,164.5,27.0,124.0,0.0,49.036423,0.48499998,99.99
VHJS620,信義五段-松仁路往東,往西,2017-03-03,08:00:00,2.0,520.0,556.0,72.0,448.0,0.0,44.323265,2.635,106.185
VHJS620,信義五段-松仁路往東,往西,2017-03-03,09:00:00,2.0,668.0,725.5,115.0,553.0,0.0,42.667603,4.76,107.649994
VHJS620,信義五段-松仁路往東,往西,2017-03-03,10:00:00,2.0,601.0,671.0,140.0,461.0,0.0,41.9616,3.5049999,106.91
VHJS620,信義五段-松仁路往東,往西,2017-03-03,11:00:00,2.0,488.0,547.0,118.0,370.0,0.0,42.85932,2.625,116.915
VHJS620,信義五段-松仁路往東,往西,2017-03-03,12:00:00,2.0,467.0,507.5,81.0,386.0,0.0,40.903725,2.2749999,132.95
VHJS620,信義五段-松仁路往東,往西,2017-03-03,13:00:00,2.0,398.0,428.5,61.0,337.0,0.0,44.22603,1.835,123.19
VHJS620,信義五段-松仁路往東,往西,2017-03-03,14:00:00,2.0,431.0,462.5,63.0,368.0,0.0,44.644432,1.935,115.38
VHJS620,信義五段-松仁路往東,往西,2017-03-03,15:00:00,2.0,435.0,466.5,63.0,372.0,0.0,43.93724,2.08,115.785
VHJS620,信義五段-松仁路往東,往西,2017-03-03,16:00:00,2.0,413.0,475.0,124.0,289.0,0.0,36.912685,3.7400002,125.705
VHJS620,信義五段-松仁路往東,往西,2017-03-03,17:00:00,2.0,450.0,492.5,85.0,365.0,0.0,42.22778,2.685,126.7
VHJS620,信義五段-松仁路往東,往西,2017-03-03,18:00:00,2.0,463.0,505.0,84.0,379.0,0.0,42.79242,2.22,120.865005
VHJS620,信義五段-松仁路往東,往西,2017-03-03,19:00:00,2.0,485.0,583.0,196.0,289.0,0.0,38.485878,2.7849998,125.515
VHJS620,信義五段-松仁路往東,往西,2017-03-03,20:00:00,2.0,438.0,496.0,116.0,322.0,0.0,41.01354,1.76,115.095
VHJS620,信義五段-松仁路往東,往西,2017-03-03,21:00:00,2.0,372.0,408.0,72.0,300.0,0.0,45.044674,1.27,113.08
VHJS620,信義五段-松仁路往東,往西,2017-03-03,22:00:00,2.0,375.0,423.0,96.0,279.0,0.0,38.472027,2.105,134.925
VHJS620,信義五段-松仁路往東,往西,2017-03-03,23:00:00,2.0,280.0,319.32202,68.0,212.0,0.0,40.689823,1.29,126.59
VHJS620,信義五段-松仁路往東,往西,2017-03-04,00:00:00,2.0,235.0,255.25424,32.0,203.0,0.0,46.649277,0.685,133.425
VHJS620,信義五段-松仁路往東,往西,2017-03-04,01:00:00,2.0,194.0,201.0,14.0,180.0,0.0,48.731857,0.385,156.02
VHJS620,信義五段-松仁路往東,往西,2017-03-04,02:00:00,2.0,139.0,145.0,12.0,127.0,0.0,49.515327,0.19,133.065
VHJS620,信義五段-松仁路往東,往西,2017-03-04,03:00:00,2.0,126.0,135.0,18.0,108.0,0.0,49.796665,0.21000001,140.54999
VHJS620,信義五段-松仁路往東,往西,2017-03-04,04:00:00,2.0,115.0,119.0,8.0,107.0,0.0,51.082436,0.115,144.085
VHJS620,信義五段-松仁路往東,往西,2017-03-04,05:00:00,2.0,114.0,117.5,7.0,107.0,0.0,48.684475,0.19,140.25
VHJS620,信義五段-松仁路往東,往西,2017-03-04,06:00:00,2.0,76.0,79.5,7.0,69.0,0.0,50.11842,0.105,91.595
VHJS620,信義五段-松仁路往東,往西,2017-03-04,07:00:00,2.0,122.0,134.5,25.0,97.0,0.0,43.982456,0.6,89.7
VHJS620,信義五段-松仁路往東,往西,2017-03-04,08:00:00,2.0,243.0,262.0,38.0,205.0,0.0,44.509056,1.0250001,124.95
VHJS620,信義五段-松仁路往東,往西,2017-03-04,09:00:00,2.0,314.0,331.0,34.0,280.0,0.0,46.768024,1.11,128.605
VHJS620,信義五段-松仁路往東,往西,2017-03-04,10:00:00,2.0,361.0,389.0,56.0,305.0,0.0,47.057205,1.25,118.76
VHJS620,信義五段-松仁路往東,往西,2017-03-04,11:00:00,2.0,383.0,400.5,35.0,348.0,0.0,46.815014,1.4200001,94.715
VHJS620,信義五段-松仁路往東,往西,2017-03-04,12:00:00,2.0,478.0,513.5,71.0,407.0,0.0,44.14862,2.25,106.524994
VHJS620,信義五段-松仁路往東,往西,2017-03-04,13:00:00,2.0,489.0,517.0,56.0,433.0,0.0,43.6701,2.495,120.665
VHJS620,信義五段-松仁路往東,往西,2017-03-04,14:00:00,2.0,429.0,454.5,51.0,378.0,0.0,44.623356,2.075,121.8
VHJS620,信義五段-松仁路往東,往西,2017-03-04,15:00:00,2.0,390.0,418.0,56.0,334.0,0.0,44.690434,1.995,112.4
VHJS620,信義五段-松仁路往東,往西,2017-03-04,16:00:00,2.0,415.0,437.5,45.0,370.0,0.0,45.50983,1.8699999,96.225
VHJS620,信義五段-松仁路往東,往西,2017-03-04,17:00:00,2.0,432.0,462.5,61.0,371.0,0.0,43.435764,2.315,115.115
VHJS620,信義五段-松仁路往東,往西,2017-03-04,18:00:00,2.0,478.0,517.5,79.0,399.0,0.0,42.425503,2.44,123.84
