EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9R760,松壽-市府 往西,往西,2017-03-03,00:00:00,3.0,277.0,301.57892,19.0,258.0,0.0,40.734657,0.7366666,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,01:00:00,3.0,189.0,201.42857,2.0,185.0,2.0,38.43688,0.34,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,02:00:00,3.0,150.0,151.0,2.0,148.0,0.0,37.564465,0.27666667,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,03:00:00,3.0,116.0,120.0,8.0,108.0,0.0,40.878624,0.12666667,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,04:00:00,3.0,109.0,116.5,15.0,94.0,0.0,33.361744,0.16000001,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,05:00:00,3.0,91.0,95.0,8.0,83.0,0.0,39.05791,0.093333334,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,06:00:00,3.0,49.0,50.5,3.0,46.0,0.0,45.69306,0.08,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,07:00:00,3.0,148.0,161.5,27.0,121.0,0.0,37.11831,0.6433334,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,08:00:00,3.0,378.0,399.0,44.0,333.0,1.0,41.25836,1.3466667,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,09:00:00,3.0,656.0,695.0,78.0,578.0,0.0,37.016582,3.2266667,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,10:00:00,3.0,671.0,725.0,108.0,563.0,0.0,29.702372,5.773333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,11:00:00,3.0,675.0,733.5,121.0,552.0,2.0,27.798609,5.063333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,12:00:00,3.0,744.0,806.5,133.0,607.0,4.0,25.919518,5.9066663,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,13:00:00,3.0,734.0,797.5,135.0,595.0,4.0,26.364141,5.7233334,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,14:00:00,3.0,703.0,740.5,81.0,619.0,3.0,28.761553,4.3266664,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,15:00:00,3.0,772.0,831.0,118.0,654.0,0.0,30.951853,4.9300003,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,16:00:00,3.0,779.0,836.0,122.0,653.0,4.0,27.910988,5.6,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,17:00:00,3.0,749.0,804.5,113.0,635.0,1.0,28.512043,5.0099998,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,18:00:00,3.0,880.0,935.0,116.0,761.0,3.0,30.001467,6.3333335,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,19:00:00,3.0,837.0,924.0,186.0,645.0,6.0,21.357838,7.9233327,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,20:00:00,3.0,830.0,931.0,208.0,619.0,3.0,22.1373,7.4933333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,21:00:00,3.0,749.0,809.0,126.0,620.0,3.0,25.41294,5.67,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,22:00:00,3.0,703.0,766.2712,103.0,599.0,1.0,27.682487,5.066666,0.0
VI9R760,松壽-市府 往西,往西,2017-03-03,23:00:00,3.0,629.0,656.5,61.0,565.0,3.0,33.159683,3.0666666,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,00:00:00,3.0,449.0,458.5,19.0,430.0,0.0,38.131474,1.38,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,01:00:00,3.0,403.0,413.0,20.0,383.0,0.0,36.32387,1.2033333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,02:00:00,3.0,265.0,271.5,13.0,252.0,0.0,38.406868,3.4766665,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,03:00:00,3.0,244.0,249.5,11.0,233.0,0.0,42.047703,0.41,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,04:00:00,3.0,200.0,203.5,7.0,193.0,0.0,41.52085,0.34333333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,05:00:00,3.0,146.0,148.0,4.0,142.0,0.0,42.34096,0.19333334,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,06:00:00,3.0,74.0,76.0,4.0,70.0,0.0,40.09297,0.13000001,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,07:00:00,3.0,94.0,103.5,19.0,75.0,0.0,39.630108,0.37,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,08:00:00,3.0,175.0,186.5,23.0,152.0,0.0,41.44434,0.6166667,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,09:00:00,3.0,308.5,322.0,27.0,277.0,0.0,38.775463,1.0133333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,10:00:00,3.0,381.5,399.87286,30.0,350.0,0.0,34.214424,2.01,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,11:00:00,3.0,487.0,512.70337,43.0,444.0,0.0,32.57994,2.7966669,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,12:00:00,3.0,679.0,713.0,82.0,590.0,7.0,28.825628,4.1666665,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,13:00:00,3.0,653.0,690.0,76.0,576.0,1.0,30.676125,4.526666,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,14:00:00,3.0,721.0,758.0,84.0,632.0,5.0,33.958187,4.14,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,15:00:00,3.0,769.0,812.0,100.0,662.0,7.0,34.146763,4.3766665,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,16:00:00,3.0,797.0,836.5,87.0,706.0,4.0,32.797615,4.7833333,0.0
VI9R760,松壽-市府 往西,往西,2017-03-04,17:00:00,3.0,762.0,811.0,110.0,646.0,6.0,34.376762,4.393333,0.0
