EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,00:00:00,2.0,186.0,205.78947,19.0,167.0,0.0,58.93376,0.65999997,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,01:00:00,2.0,109.0,119.99999,2.0,107.0,0.0,62.425045,0.225,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,02:00:00,2.0,82.0,83.5,3.0,79.0,0.0,62.208538,0.125,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,03:00:00,2.0,46.0,48.62069,2.0,44.0,0.0,63.39261,0.065,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,04:00:00,2.0,25.0,26.0,2.0,23.0,0.0,61.395195,0.03,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,05:00:00,2.0,54.0,58.448277,5.0,49.0,0.0,62.03685,0.09,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,06:00:00,2.0,49.0,55.0,12.0,37.0,0.0,57.46571,0.20500001,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,07:00:00,2.0,232.0,275.17242,68.0,164.0,0.0,54.97664,1.21,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,08:00:00,2.0,950.0,1013.0,126.0,824.0,0.0,55.710148,3.865,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,09:00:00,2.0,983.0,1088.7932,139.0,844.0,0.0,54.758118,4.355,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,10:00:00,2.0,890.0,994.5,209.0,681.0,0.0,51.735622,5.09,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,11:00:00,2.0,762.0,912.8571,180.0,582.0,0.0,52.370354,4.52,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,12:00:00,2.0,904.0,1022.0,236.0,668.0,0.0,51.502434,5.1549997,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,13:00:00,2.0,900.0,1041.7241,214.0,686.0,0.0,51.637955,5.38,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,14:00:00,2.0,928.0,1039.5,223.0,705.0,0.0,51.47706,5.375,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,15:00:00,2.0,1135.0,1328.7932,299.0,836.0,0.0,50.57273,7.425,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,16:00:00,2.0,1136.0,1279.5,287.0,849.0,0.0,50.213135,7.3500004,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,17:00:00,2.0,1129.0,1298.2759,252.0,877.0,0.0,52.411064,6.26,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,18:00:00,2.0,1255.0,1322.5,135.0,1120.0,0.0,55.607357,5.0600004,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,19:00:00,2.0,1293.0,1402.2415,125.0,1168.0,0.0,55.373016,5.4,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,20:00:00,2.0,1071.0,1193.0,244.0,827.0,0.0,51.42277,6.34,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,21:00:00,2.0,770.0,872.069,146.0,624.0,0.0,53.994804,3.845,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,22:00:00,2.0,867.0,948.0,162.0,705.0,0.0,55.03392,3.925,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-03,23:00:00,2.0,615.0,687.931,100.0,515.0,0.0,54.755512,2.845,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,00:00:00,2.0,278.0,287.5,19.0,259.0,0.0,60.183594,0.84000003,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,01:00:00,2.0,162.0,169.65518,4.0,158.0,0.0,62.514442,0.345,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,02:00:00,2.0,117.0,117.5,1.0,116.0,0.0,62.940254,0.21000001,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,03:00:00,2.0,86.0,91.55173,5.0,81.0,0.0,62.22163,0.14500001,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,04:00:00,2.0,100.0,103.0,6.0,94.0,0.0,61.93,0.225,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,05:00:00,2.0,91.0,95.68966,3.0,88.0,0.0,63.69143,0.13,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,06:00:00,2.0,81.0,86.5,11.0,70.0,0.0,59.197773,0.25,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,07:00:00,2.0,143.0,168.6207,40.0,103.0,0.0,53.126926,0.805,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,08:00:00,2.0,356.0,391.0,70.0,286.0,0.0,54.374603,1.67,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,09:00:00,2.0,530.0,593.2759,87.0,443.0,0.0,56.795662,2.24,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,10:00:00,2.0,607.0,644.5,75.0,532.0,0.0,57.260246,2.225,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,11:00:00,2.0,601.0,667.3684,66.0,535.0,0.0,58.142212,2.1599998,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,12:00:00,2.0,680.0,715.0,70.0,610.0,0.0,58.025562,2.4099998,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,13:00:00,2.0,652.0,709.65515,68.0,584.0,0.0,58.191406,2.3600001,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,14:00:00,2.0,722.0,760.5,77.0,645.0,0.0,58.132877,2.585,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,15:00:00,2.0,764.0,829.65515,76.0,688.0,0.0,58.294895,2.705,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,16:00:00,2.0,811.0,849.0,76.0,735.0,0.0,57.55588,2.88,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,17:00:00,2.0,830.0,900.5172,81.0,749.0,0.0,57.82212,2.9850001,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,18:00:00,2.0,953.0,990.0,74.0,879.0,0.0,57.579163,3.33,0.0
VIKPW61,仁愛路四段-國父紀念館門口旁,西,2017-03-04,19:00:00,2.0,799.0,864.82764,74.0,725.0,0.0,56.968937,3.045,0.0
