EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIWR760,松高路-興雅路 往西,往西,2017-03-03,00:00:00,3.0,1418.0,1711.5789,416.0,1002.0,0.0,42.961517,9.076667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,01:00:00,3.0,800.0,968.9474,241.0,559.0,0.0,44.498077,4.6666665,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,02:00:00,3.0,254.0,306.72412,85.0,169.0,0.0,46.768307,1.15,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,03:00:00,3.0,274.0,319.5,91.0,183.0,0.0,45.37248,1.2933334,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,04:00:00,3.0,513.0,602.5,179.0,334.0,0.0,48.030193,2.5666666,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,05:00:00,3.0,830.0,965.0,270.0,560.0,0.0,42.25346,4.9066668,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,06:00:00,3.0,1547.0,1796.5,499.0,1048.0,0.0,42.527077,9.54,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,07:00:00,3.0,2111.0,2449.0,676.0,1435.0,0.0,35.42479,15.7699995,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,08:00:00,3.0,4015.0,4636.5,1243.0,2772.0,0.0,23.089998,46.10667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,09:00:00,3.0,4522.0,5231.0,1418.0,3104.0,0.0,30.11866,40.72667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,10:00:00,3.0,4000.0,4602.5,1205.0,2795.0,0.0,36.60353,29.909998,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,11:00:00,3.0,3668.0,4238.5,1141.0,2527.0,0.0,39.25155,25.993332,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,12:00:00,3.0,1981.0,2315.5,669.0,1312.0,0.0,42.550297,12.4800005,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,13:00:00,3.0,1619.0,1890.5,543.0,1076.0,0.0,42.37476,9.973332,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,14:00:00,3.0,1337.0,1668.75,441.0,896.0,0.0,43.633816,8.606667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,15:00:00,3.0,1470.0,1722.0,504.0,966.0,0.0,43.806904,8.756667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,16:00:00,3.0,1490.0,1729.5,479.0,1011.0,0.0,41.650723,9.433333,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,17:00:00,3.0,1809.0,2095.0,572.0,1237.0,0.0,43.258526,10.956666,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,18:00:00,3.0,4009.0,4633.0,1248.0,2761.0,0.0,32.282013,33.343334,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,19:00:00,3.0,4576.0,5301.0,1450.0,3126.0,0.0,29.772453,42.186665,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,20:00:00,3.0,4450.0,5161.0,1422.0,3028.0,0.0,29.460394,41.22333,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,21:00:00,3.0,3997.0,4620.5,1247.0,2750.0,0.0,29.438282,36.98,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,22:00:00,3.0,3590.0,4147.5,1115.0,2475.0,0.0,32.70981,29.679998,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-03,23:00:00,3.0,1999.0,2316.0,634.0,1365.0,0.0,40.155884,13.06,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,00:00:00,3.0,1410.0,1636.5,453.0,957.0,0.0,42.712013,8.64,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,01:00:00,3.0,828.0,968.5,281.0,547.0,0.0,43.38837,4.846667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,02:00:00,3.0,248.0,299.4828,83.0,165.0,0.0,47.585804,1.1133333,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,03:00:00,3.0,274.0,317.0,86.0,188.0,0.0,46.4665,1.2933334,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,04:00:00,3.0,561.0,660.5,199.0,362.0,0.0,45.092907,3.04,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,05:00:00,3.0,844.0,972.5,257.0,587.0,0.0,42.588604,4.97,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,06:00:00,3.0,1502.0,1748.5,493.0,1009.0,0.0,43.617676,9.003333,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,07:00:00,3.0,1936.0,2242.5,613.0,1323.0,0.0,36.094994,14.03,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,08:00:00,3.0,4034.0,4664.5,1261.0,2773.0,0.0,23.41088,46.043335,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,09:00:00,3.0,4505.0,5211.5,1413.0,3092.0,0.0,29.472849,41.55,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,10:00:00,3.0,4075.0,4697.0,1244.0,2831.0,0.0,35.97045,31.046667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,11:00:00,3.0,3649.0,4224.5,1151.0,2498.0,0.0,39.369934,25.873335,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,12:00:00,3.0,1927.0,2241.0,628.0,1299.0,0.0,43.467075,11.633332,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,13:00:00,3.0,1693.0,1973.5,561.0,1132.0,0.0,43.699074,10.22,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,14:00:00,3.0,1463.0,1687.0,448.0,1015.0,0.0,42.20047,8.96,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,15:00:00,3.0,1499.0,1744.0,490.0,1009.0,0.0,43.55197,9.043334,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,16:00:00,3.0,1512.0,1742.5,461.0,1051.0,0.0,42.333736,9.363334,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,17:00:00,3.0,2157.0,2521.0,728.0,1429.0,0.0,42.825306,13.423333,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,18:00:00,3.0,4039.0,4672.5,1267.0,2772.0,0.0,33.785202,32.376667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,19:00:00,3.0,4518.0,5243.0,1450.0,3068.0,0.0,30.089607,40.706665,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,20:00:00,3.0,4555.0,5271.5,1433.0,3122.0,0.0,29.870296,40.96667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,21:00:00,3.0,3970.0,4594.0,1248.0,2722.0,0.0,29.778543,36.523335,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,22:00:00,3.0,3560.0,4115.0,1110.0,2450.0,0.0,32.24592,30.336668,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-04,23:00:00,3.0,1945.0,2260.5,631.0,1314.0,0.0,40.63026,12.63,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,00:00:00,3.0,1473.0,1693.5,441.0,1032.0,0.0,42.652706,8.849999,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,01:00:00,3.0,823.0,945.0,244.0,579.0,0.0,44.477318,4.6266665,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,02:00:00,3.0,272.0,324.40677,94.0,178.0,0.0,46.96478,1.2466667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,03:00:00,3.0,274.0,319.5,91.0,183.0,0.0,48.57135,1.17,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,04:00:00,3.0,565.0,661.5,193.0,372.0,0.0,45.857204,3.0,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,05:00:00,3.0,813.0,944.0,262.0,551.0,0.0,43.688107,4.69,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,06:00:00,3.0,1488.0,1732.0,488.0,1000.0,0.0,41.808292,9.34,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,07:00:00,3.0,2079.0,2437.5,717.0,1362.0,0.0,35.206566,15.653333,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,08:00:00,3.0,4004.0,4623.0,1238.0,2766.0,0.0,22.564293,47.49,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,09:00:00,3.0,4534.0,5235.0,1402.0,3132.0,0.0,29.27958,41.47667,0.0
VIWR760,松高路-興雅路 往西,往西,2017-03-05,10:00:00,3.0,3976.0,4596.0,1240.0,2736.0,0.0,35.599827,30.99,0.0
