EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,00:00:00,3.0,322.0,348.42105,18.0,304.0,0.0,41.536896,1.4466667,219.47002
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,01:00:00,3.0,262.0,284.4643,7.0,255.0,0.0,43.65996,1.4,229.33333
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,02:00:00,3.0,174.0,178.5,9.0,165.0,0.0,50.32138,0.85666674,243.12666
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,03:00:00,3.0,127.0,130.0,6.0,121.0,0.0,46.766853,0.62333333,246.20667
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,04:00:00,3.0,97.0,101.5,9.0,88.0,0.0,51.249485,0.44999996,249.38
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,05:00:00,3.0,89.0,93.5,9.0,80.0,0.0,48.13618,0.47333336,243.37334
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,06:00:00,3.0,151.0,160.0,18.0,133.0,0.0,45.15119,0.72333336,243.92
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,07:00:00,3.0,722.5,773.5,102.0,620.0,0.0,56.418663,3.2766666,182.92334
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,08:00:00,3.0,1196.5,1257.0763,108.0,1082.0,0.0,46.424973,14.84,129.95332
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,09:00:00,3.0,1294.5,1359.2924,116.0,1168.0,0.0,40.567665,11.786667,118.82
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,10:00:00,3.0,1076.0,1120.7288,80.0,996.0,0.0,39.215855,15.68,129.64667
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,11:00:00,3.0,986.0,1028.5,85.0,901.0,0.0,40.037544,11.006667,140.54333
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,12:00:00,3.0,1128.5,1173.25,89.0,1029.0,0.0,41.222588,7.11,138.46
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,13:00:00,3.0,857.0,893.38983,66.0,791.0,0.0,45.030277,13.993333,143.12334
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,14:00:00,3.0,1290.0,1335.0,90.0,1200.0,0.0,49.37518,15.286666,134.01332
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,15:00:00,3.0,1107.5,1152.0,89.0,1004.0,0.0,38.896954,16.359999,125.41
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,16:00:00,3.0,1043.0,1088.7034,82.0,961.0,0.0,38.48237,10.256666,139.10333
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,17:00:00,3.0,1155.0,1213.5,117.0,1038.0,0.0,41.441593,9.259999,127.29667
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,18:00:00,3.0,1162.0,1211.5,99.0,1063.0,0.0,39.22549,8.76,130.63335
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,19:00:00,3.0,1125.0,1169.5,89.0,1036.0,0.0,40.669487,12.599999,128.05
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,20:00:00,3.0,1088.0,1151.5,127.0,961.0,0.0,39.764175,11.886666,136.89667
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,21:00:00,3.0,779.0,820.678,56.0,723.0,0.0,38.195286,6.78,161.19666
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,22:00:00,3.0,753.0,779.0,52.0,701.0,0.0,41.25199,15.573334,158.72333
VJCTT60,忠孝東路五段416號前,往西,2017-03-03,23:00:00,3.0,648.0,672.5,49.0,599.0,0.0,40.128056,9.033334,173.13335
VJCTT60,忠孝東路五段416號前,往西,2017-03-04,00:00:00,3.0,458.0,468.5,21.0,437.0,0.0,41.823185,2.5133333,205.74666
VJCTT60,忠孝東路五段416號前,往西,2017-03-04,01:00:00,3.0,367.0,375.0,16.0,351.0,0.0,42.18106,1.5166665,218.02333
