EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJES820,忠孝東-松仁往東,往西,2017-03-03,00:00:00,3.0,304.0,332.6316,24.0,280.0,0.0,48.624474,0.64666665,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,01:00:00,3.0,193.0,204.21051,2.0,191.0,0.0,52.179638,0.20333332,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,02:00:00,3.0,167.0,168.0,2.0,165.0,0.0,53.28222,0.15333334,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,03:00:00,3.0,94.0,94.5,1.0,93.0,0.0,56.582977,0.026666665,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,04:00:00,3.0,62.0,62.0,0.0,62.0,0.0,53.5679,0.0066666664,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,05:00:00,3.0,64.0,66.206894,0.0,64.0,0.0,55.639378,0.023333333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,06:00:00,3.0,77.0,80.0,6.0,71.0,0.0,51.76831,0.060000002,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,07:00:00,3.0,246.0,262.5,33.0,213.0,0.0,46.708214,0.6166666,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,08:00:00,3.0,618.0,644.0,52.0,566.0,0.0,45.25254,1.63,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,09:00:00,3.0,891.0,941.0,100.0,791.0,0.0,43.443165,2.9533331,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,10:00:00,3.0,945.0,997.5,105.0,840.0,0.0,43.378307,3.2766666,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,11:00:00,3.0,907.0,958.0,102.0,805.0,0.0,44.780506,2.9533336,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,12:00:00,3.0,800.0,835.0,70.0,730.0,0.0,44.607975,2.4166667,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,13:00:00,3.0,805.0,835.5,61.0,744.0,0.0,44.547363,2.3,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,14:00:00,3.0,788.0,828.5,81.0,707.0,0.0,45.57185,2.4066665,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,15:00:00,3.0,905.0,953.0,96.0,809.0,0.0,43.874275,3.0033333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,16:00:00,3.0,963.0,1001.5,77.0,886.0,0.0,44.005856,2.9466667,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,17:00:00,3.0,885.0,932.5,95.0,790.0,0.0,41.574047,3.14,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,18:00:00,3.0,880.0,934.5,109.0,771.0,0.0,38.386818,3.7266667,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,19:00:00,3.0,902.0,960.0,116.0,786.0,0.0,39.346783,3.5433333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,20:00:00,3.0,875.0,932.0,114.0,761.0,0.0,40.632786,3.4666665,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,21:00:00,3.0,828.0,875.5,95.0,733.0,0.0,42.00111,2.8666668,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,22:00:00,3.0,748.0,783.0,70.0,678.0,0.0,43.443302,2.34,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-03,23:00:00,3.0,741.0,775.0,68.0,673.0,0.0,41.25309,2.4833333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,00:00:00,3.0,518.0,536.0,36.0,482.0,0.0,46.042084,1.15,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,01:00:00,3.0,358.0,360.5,5.0,353.0,0.0,51.23053,0.41,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,02:00:00,3.0,256.0,259.0,6.0,250.0,0.0,55.33465,0.26333332,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,03:00:00,3.0,174.0,175.0,2.0,172.0,0.0,59.50873,0.116666675,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,04:00:00,3.0,168.0,169.0,2.0,166.0,0.0,58.297676,0.08,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,05:00:00,3.0,114.0,118.965515,2.0,112.0,0.0,59.879997,0.040000003,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,06:00:00,3.0,129.0,133.0,8.0,121.0,0.0,54.60814,0.13333333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,07:00:00,3.0,197.0,204.0,14.0,183.0,0.0,49.008022,0.26,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,08:00:00,3.0,274.0,288.5,29.0,245.0,0.0,46.027153,0.6433334,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,09:00:00,3.0,444.0,468.0,48.0,396.0,0.0,45.68347,1.12,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,10:00:00,3.0,578.0,600.0,44.0,534.0,0.0,47.989674,1.4133333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,11:00:00,3.0,675.0,706.5,63.0,612.0,0.0,45.823997,1.9499999,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,12:00:00,3.0,749.0,775.5,53.0,696.0,0.0,46.79342,1.94,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,13:00:00,3.0,777.0,800.5,47.0,730.0,0.0,44.64135,2.1299999,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,14:00:00,3.0,745.0,776.0,62.0,683.0,0.0,44.15647,2.1666667,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,15:00:00,3.0,864.0,900.0,72.0,792.0,0.0,43.9667,2.5900002,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,16:00:00,3.0,811.0,846.5,71.0,740.0,0.0,42.8192,2.4833333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,17:00:00,3.0,826.0,855.0,58.0,768.0,0.0,44.00132,2.3366668,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,18:00:00,3.0,826.0,858.0,64.0,762.0,0.0,43.030872,2.5133333,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,19:00:00,3.0,840.0,873.5,67.0,773.0,0.0,40.636894,2.6966667,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,20:00:00,3.0,753.0,782.5,59.0,694.0,0.0,41.760807,2.25,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,21:00:00,3.0,677.0,705.5,57.0,620.0,0.0,43.22471,1.9499999,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,22:00:00,3.0,719.0,746.0,54.0,665.0,0.0,43.10914,1.9900001,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-04,23:00:00,3.0,689.0,711.5,45.0,644.0,0.0,41.48926,2.0266666,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,00:00:00,3.0,453.0,463.5,21.0,432.0,0.0,47.37033,0.89333326,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,01:00:00,3.0,303.0,308.0,10.0,293.0,0.0,49.511223,0.53333336,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,02:00:00,3.0,228.0,229.5,3.0,225.0,0.0,58.14416,0.17,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,03:00:00,3.0,213.0,214.5,3.0,210.0,0.0,60.54835,0.123333335,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,04:00:00,3.0,161.0,161.5,1.0,160.0,0.0,59.43155,0.093333334,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,05:00:00,3.0,131.0,136.03448,1.0,130.0,0.0,61.02657,0.040000003,0.0
VJES820,忠孝東-松仁往東,往西,2017-03-05,06:00:00,3.0,144.0,146.0,4.0,140.0,0.0,57.50347,0.06666667,0.0
