EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,00:00:00,2.0,20.0,21.052631,0.0,20.0,0.0,70.401,0.155,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,01:00:00,2.0,7.0,10.178571,5.0,2.0,0.0,19.997143,0.049999997,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,02:00:00,2.0,6.0,8.5,5.0,1.0,0.0,6.67,0.04,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,03:00:00,2.0,5.0,5.172414,0.0,5.0,0.0,67.0,0.035,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,04:00:00,2.0,4.0,6.0,4.0,0.0,0.0,0.0,0.035,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,05:00:00,2.0,1.0,1.5517242,1.0,0.0,0.0,0.0,0.01,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,06:00:00,2.0,8.0,12.20339,8.0,0.0,0.0,10.375,0.07,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,07:00:00,2.0,15.0,20.689655,10.0,5.0,0.0,22.669333,0.11,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,08:00:00,2.0,64.0,72.0,16.0,48.0,0.0,58.3425,0.405,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,09:00:00,2.0,98.0,120.0,36.0,62.0,0.0,51.640717,0.735,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,10:00:00,2.0,97.0,104.5,15.0,82.0,0.0,22.455776,1.2149999,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,11:00:00,2.0,69.0,73.44828,4.0,65.0,0.0,32.738697,0.8,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,12:00:00,2.0,96.0,102.5,13.0,83.0,0.0,41.876667,1.005,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,13:00:00,2.0,112.0,128.13559,28.0,84.0,0.0,47.135445,0.98,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,14:00:00,2.0,95.0,108.0,26.0,69.0,0.0,51.166634,0.80999994,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,15:00:00,2.0,83.0,102.93104,33.0,50.0,0.0,35.326626,0.76,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,16:00:00,2.0,140.0,159.5,39.0,101.0,0.0,50.366142,1.29,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,17:00:00,2.0,119.0,147.93103,48.0,71.0,0.0,36.125378,0.97,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,18:00:00,2.0,177.0,194.0,34.0,143.0,0.0,42.838135,1.575,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,19:00:00,2.0,182.0,205.34483,33.0,149.0,0.0,32.79225,2.6149998,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,20:00:00,2.0,134.0,151.5,35.0,99.0,0.0,34.722836,2.625,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,21:00:00,2.0,74.0,92.06897,30.0,44.0,0.0,40.95487,0.88,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,22:00:00,2.0,75.0,83.5,17.0,58.0,0.0,41.479336,0.755,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-03,23:00:00,2.0,68.0,80.17242,19.0,49.0,0.0,37.148827,0.52,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-04,00:00:00,2.0,23.0,23.5,1.0,22.0,0.0,51.95652,0.165,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-04,01:00:00,2.0,13.0,18.103449,9.0,4.0,0.0,16.305386,0.09,0.0
VJFQQ60,忠孝東路四段508號前,往西,2017-03-04,02:00:00,2.0,9.0,13.5,9.0,0.0,0.0,0.0,0.074999996,0.0
