EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,00:00:00,2.0,406.0,430.0,5.0,401.0,0.0,32.66005,3.3200002,184.005
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,01:00:00,2.0,280.0,301.0714,2.0,278.0,0.0,35.208214,2.275,202.17
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,02:00:00,2.0,231.0,233.0,4.0,227.0,0.0,34.06667,1.7650001,221.70999
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,03:00:00,2.0,165.0,166.0,2.0,163.0,0.0,35.114548,1.225,231.815
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,04:00:00,2.0,139.0,139.5,1.0,138.0,0.0,36.38101,0.96500003,241.35501
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,05:00:00,2.0,125.0,126.5,3.0,122.0,0.0,34.749523,0.85,240.8
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,06:00:00,2.0,139.0,141.5,5.0,134.0,0.0,34.401077,1.075,239.25
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,07:00:00,2.0,298.0,301.5,7.0,291.0,0.0,35.365906,2.12,199.26
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,08:00:00,2.0,893.0,911.0,36.0,857.0,0.0,33.62204,7.4350004,139.125
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,09:00:00,2.0,1104.0,1141.5,75.0,1029.0,0.0,33.345272,9.424999,111.965
VK6NY60,市民大道四段與光復南路66巷口對面橋下,往西,2017-03-03,10:00:00,2.0,945.0,960.0,30.0,915.0,0.0,33.567997,8.190001,123.45
